,items
0,Ex Derm Cream
1,Ex-Dmr Tablet
2,Ex-Gtm Syrup
3,Ex-Pod-DS Dry Syrup
4,Exaceef 1000mg/125mg Injection
5,Exacort 6mg Tablet
6,Exact 2 Tablet
7,Exact 3 Tablet
8,Exact 4 Tablet
9,Exact Kid  Tablet
10,Exact ZH Kid 60 mg/30 mg/150 mg Tablet
11,Exadom P 20mg/325mg Tablet
12,Exafib 10 Tablet
13,Exafib 15 Tablet
14,Exafib 2.5mg Tablet
15,Exafib 20mg Tablet
16,Exagt 400mg Tablet
17,Exal 0.125mg Tablet
18,Exal 0.25mg Tablet
19,Exalbic 500mcg Tablet
20,Exam 100mg Tablet ER
21,Exam 100mg Tablet ER
22,Exam 200mg Tablet ER
23,Exam 25mg Tablet
24,Exam 300mg Tablet ER
25,Exam 50mg Tablet ER
26,Exame 100mg Tablet
27,Exame 50mg Tablet
28,Examic 500 mg/250 mg Tablet
29,Examic 500mg Injection
30,Examic 500mg Tablet
31,Examic MF 500mg/250mg Tablet
32,Examin 400mg Tablet
33,Exapace Gel
34,Exapride 250mcg/2ml Injection
35,Exapride Starter  250mcg Injection
36,Exaril DX Syrup
37,Exario 500mg/125mg Tablet
38,Exario Dry Syrup
39,Exario-Cef 200mg/125mg Tablet
40,Exark Syrup
41,Exart Tablet
42,Exatran 500mg Injection
43,Exazam 10mg Tablet
44,Exazel 10% Cream
45,Exazel 15% Cream
46,Exazel 20% Cream
47,Exbid 250mg Tablet
48,Exbid 500mg Tablet
49,Excef 100mg Tablet
50,Excef 200mg Tablet
51,Excef LB Oral Suspension
52,Excelent 1gm Injection
53,Excelspar 200mg Tablet
54,Excemet 25mg Tablet XL
55,Excemet 50mg Tablet XL
56,Excemet AM 5 mg/50 mg Tablet
57,Excess 40mg Tablet
58,Excess D 10mg/40mg Tablet
59,Excess DSR Capsule
60,Excet 10mg Tablet
61,Excex Gel
62,Excita 10mg Tablet
63,Excita 5mg Tablet
64,Exclav 1000mg/200mg Injection
65,Exclav 500 mg/125 mg Tablet
66,Exclo AP 100mg/325mg/250mg Tablet
67,Exclo D 50mg/325mg/10mg Tablet
68,Exclo P 100mg/325mg Tablet
69,Exclo P Oral Suspension
70,Exclo SP 100mg/325mg/15mg Tablet
71,Exclo TH 100mg/4mg Tablet
72,Exclo TP 37.5mg/325mg Tablet
73,Excloten 10mg/1mg Tablet
74,Exclovir 200mg Tablet
75,Exclovir 200mg Tablet
76,Exclovir 400mg Tablet
