,items
0,FOLLIMON 75IU INJECTION
1,FORACET 500MG/15MG TABLET
2,FORCAN 10 MG SUSPENSION
3,FORCAN PLUS  INFUSION 2 MG
4,FORCIGRA 100 MG TABLET
5,FORCIGRA 50 MG TABLET
6,FORMIC 250MG/125MG INJECTION
7,FORMIC 500MG/250MG INJECTION
8,FORMINAL 500 MG TABLET
9,FORMOST 6MCG/100MCG RESPICAP
10,FORSMART 6MCG/200MCG RESPICAP
11,FORSMART 6MCG/400MCG INHALER
12,FORSMART 6MCG/400MCG RESPICAP
13,FORSTAVIR 3 TABLET
14,FORTAFLAM 100 MG/500 MG/15 MG TABLET
15,FORTAFLAM 100 MG/500 MG/15 MG TABLET
16,FORZID 1 GM INJECTION
17,FOSapretero Injection
