,items
0,Fa Clav 1000mg/200mg Injection
1,Fa Clav 500mg/125mg Tablet
2,Fa Gest 250 Injection
3,Fa Gest 500 Injection
4,Faa Plus 0.25mg/20mg Tablet
5,Fabace Plus Tablet
6,Faban 40mg Tablet
7,Faban 80mg Tablet
8,Fabaxt 40mg Tablet
9,Fabceto 10mg/10mg Tablet
10,Fabcort 6 Tablet
11,Fabex 40mg Tablet
12,Fabex 80 Tablet
13,Fabhale 200 Capsule
14,Fabiflu 400 Tablet
15,Fabiflu 800 Co-Pack Tablet
16,Fabiflu Tablet
17,Fabilox 250mg/250mg Tablet
18,Fabilox Kid 125mg/125mg Tablet
19,Fabitax O 200mg Tablet
20,Fabitol 20% Infusion
21,Fabitol G Infusion
22,Fabix OX 200mg/200mg Tablet
23,Fabizol 150mg Tablet
24,Fabizol Powder
25,Fablac-CL 625 Tablet
26,Fablen 120mg Tablet
27,Fablen 120mg Tablet
28,Fablen 40mg Tablet
29,Fablen 80mg Tablet
30,Fabmentin Dry Syrup
31,Fabnar 40mg Tablet
32,Fabova Tablet
33,Fabric 40mg Tablet
34,Fabric 80mg Tablet
35,Fabrimol 250mg/5ml Suspension
36,Fabrimol 250mg/5ml Suspension
37,Fabrimol 500mg Tablet
38,Fabrimol 500mg Tablet
39,Fabsa 2500mcg Injection
40,Fabtox 40mg Tablet
41,Fabuact 40mg Tablet
42,Fabuflox 200mg Tablet
43,Fabuflox 50 Suspension
44,Fabuflox Eye Drop
45,Fabuflox-M Suspension
46,Fabuflox-OZ Suspension
47,Fabuflox-OZ Tablet
48,Fabuish 40 Tablet
49,Fabuish 80 Tablet
50,Fabulas 120mg Tablet
51,Fabulas 40 Tablet
52,Fabulas 80 Tablet
53,Fabulon 40mg Tablet
54,Fabulon 80mg Tablet
55,Fabulous 40mg Tablet
56,Fabulous 80 Tablet
57,Fabumox 250mg Capsule
58,Fabumox 500mg Capsule
59,Fabumox-F Eye/Ear Drops
60,Fabupin 40 Tablet
61,Fabupin 80mg Tablet
62,Fabura 40mg Tablet
63,Fabure 40 Tablet
64,Fabure 80 Tablet
65,Faburic 40 Tablet
66,Fabuset 40 Tablet
67,Fabuset 80 Tablet
68,Fabutan 40mg Tablet
69,Fabutron 40mg Tablet
70,Fabutron 80mg Tablet
71,Fabuzest 80mg Tablet
72,Fabvil Tablet
73,Fabzed 40mg Tablet
74,Fabzed 80mg Tablet
75,Fabzep Tablet
76,Face 20mg Capsule
77,Face Clear Gel
78,Face Glow Cream
79,Face MR 100mg/325mg/250mg Tablet
80,Face R 200mg/20mg Capsule SR
81,Face Shine Cream
82,Facebenz-A Gel
83,Faceclin AT Gel
84,Faceclin Gel
85,Faceclin-A Gel
86,Facepo 100DT Tablet
87,Facepo 200DT Tablet
88,Facepo 50mg Dry Syrup
89,Facer 200mg Tablet SR
90,Facer P 100 mg/500 mg Tablet
91,Facer Sera Tablet
92,Facer TH 100mg/4mg Tablet
93,Facer-MR Tablet
94,Facetop HC Ointment
95,Fachek Forte 1mg/500mg Tablet
96,Faci 100 Dry Syrup
97,Faci 200mg Tablet DT
98,Faci-O Tablet
99,Facicare Cream
100,Facid 20 Tablet
101,Facid 40 Tablet
102,Facid-AC Tablet
103,Facidase 1500IU Injection
104,Facigo 150mg Injection
105,Faciloc 20mg Injection
106,Faciloc 40 Injection
107,Faciloc 60 Injection
108,Faciloc 80 Injection
109,Facinate 10mg/10mg/2.5mg Tablet
110,Facold 5mg/325mg/5mg Tablet
111,Facold Syrup
112,Facort 40mg Injection
113,Facozole 150mg Tablet
114,Fact 20mg Tablet
115,Factoderm Cream
116,Factor A Gel
117,Factus 40mg Tablet SR
118,Fadec 25 Injection
119,Fadec 50 Injection
120,Fadep 20mg Capsule
121,Fadine 20mg Tablet
122,Fadine 40 Tablet
123,Fadol 100mg Injection
124,Fadol-P Tablet
125,Fadox 100mg Tablet DT
126,Fadox 200mg Tablet
127,Fadox CV Dry Syrup
128,Fadox Dry Syrup
129,Fadox O 200mg/200mg Tablet
130,Fadox-CV Tablet
131,Fadox-DS Dry Syrup
132,Fagene 20mg Tablet
133,Fagene 40mg Tablet
134,Fagomet 500mg Tablet SR
135,Fagomet G 2 mg/500 mg Tablet
136,Faimron Syrup
137,Fain 0.5% Gel
138,Fair-Feast Cream
139,Fairclin Ointment
140,Fairgest 200mg Soft Gelatin Capsule
141,Fairy Gel
142,Fairytone Ointment
143,Faithcef 100 LB Tablet DT
144,Faithcef 100 LB Tablet DT
145,Faithcef Dry Syrup
146,Faithcef-AZ LB Tablet
147,Faithcef-CV Tablet
148,Faithcef-LB Tablet DT
149,Faithcef-O Tablet
150,Faithclav 375 Tablet
151,Faithclav 625 LB Tablet
152,Faithclav 625 Tablet
153,Faithclav 625 Tablet
154,Faithclav-Kid Tablet DT
155,Faithcort 4 Tablet
156,Faithcort 8 Tablet
157,Faithflam 100 mg/500 mg Tablet
158,Faithflam SP 100 mg/500 mg/15 mg Tablet
159,Faithflam Tablet MR
160,Faithpod 200 Tablet DT
161,Faithpod 50 Tablet DT
162,Faithpod 50 Tablet DT
163,Faithpod-CV Tablet
164,Faithrab 20mg Tablet
165,Fal Q 300mg Suspension
166,Fal Q EC 300mg Tablet
167,Fal Up Suspension
168,Fal-DP Capsule
169,Falarcin Injection
170,Falcerid 80mg/480mg Tablet
171,Falcerid AT 60mg Injection
172,Falciact 60mg Injection
173,Falciact AL 80mg/480mg Tablet
174,Falciart 60mg Injection
175,Falcibeta Injection
176,Falcibid 60mg Injection
177,Falcicare 60mg Injection
178,Falcicin 150mg Injection
179,Falcicin 150mg Injection
180,Falcicin 80mg/480mg Tablet
181,Falcicos 80mg/480mg Tablet
182,Falcicross Tablet
183,Falcicure 150mg Injection
184,Falcicure 75mg Injection
185,Falcid Injection
186,Falcid Injection
187,Falcidac 60mg Injection
188,Falcide 150mg Injection
189,Falciden 60mg Injection
190,Falciden Kit
191,Falcidium 50mg Tablet
192,Falcidium 60mg Injection
193,Falcidium AB 150mg Injection
194,Falcidox 60mg Injection
195,Falcifast 75mg Injection
196,Falcifine 80mg/480mg Tablet
197,Falcigaurd 50mg Tablet
198,Falcigo 120mg Injection
199,Falcigo 50mg Tablet
200,Falcigo 60mg Injection
201,Falcigo Plus Tablet
202,Falcigo-SP Kit
203,Falcigrip 150mg Injection
204,Falcigrip Tablet
205,Falcihit 120mg Injection
206,Falcihit 60mg Injection
207,Falcihit-LF 80mg/480mg Tablet
208,Falcikil-AL Tablet
209,Falcikyor 150mg Injection
210,Falcikyor 150mg Injection
211,Falcikyor-LM 80mg/480mg Tablet
212,Falcikyor-LM Dry Syrup
213,Falciless 60mg Injection
214,Falcimal 75mg Injection
215,Falcimal LF Dry Syrup
216,Falcimax 50mg Tablet
217,Falcimax 60mg IV Injection
218,Falcimax 80mg/480mg Tablet
219,Falcimax Plus 80mg/480mg Tablet
220,Falcimax-Q 300mg Tablet
221,Falcimid 150mg Injection
222,Falcin 250mg Tablet
223,Falcin 500mg Tablet
224,Falcin Syrup
225,Falcina Injection
226,Falcinate 50mg Tablet
227,Falcinate 60mg Injection
228,Falcinez 50mg Tablet
229,Falcinez 60mg Injection
230,Falcinil 60mg Injection
231,Falcinil Forte 120mg Injection
232,Falcinil Lfx 80 mg/480 mg Tablet
233,Falcinil-LF 20mg/120mg Tablet
234,Falcinil-LF Dry Syrup
235,Falcinok 60mg Injection
236,Falcinok Plus 80mg/480mg Tablet
237,Falcinova Injection
238,Falciout Kit
239,Falcipar 60mg Injection
240,Falcipin 60mg Injection
241,Falcipin 80mg/480mg Tablet
242,Falcipride LF 80mg/480mg Tablet
243,Falcipride LF Dry Syrup
244,Falcipure 60mg Injection
245,Falciquin 300mg Injection
246,Falciquin 300mg Tablet
247,Falciquin 300mg Tablet
248,Falciquin 50mg Suspension
249,Falciquin 600mg Injection
250,Falcirid 20 mg/120 mg Tablet DT
251,Falciset 60mg Injection
252,Falcistar 60mg Injection
253,Falcitab 250mg Tablet
254,Falcitar 60mg Injection
255,Falcitar 60mg Injection
256,Falcithar 40mg Injection
257,Falcither 150mg Injection
258,Falcitop Injection
259,Falcitop Injection
260,Falcitreat 60mg Injection
261,Falciwin 300mg Tablet
262,Falciz 150mg Injection
263,Falcized L 40 mg/240 mg Dry Syrup
264,Falcized L 80 mg/480 mg Tablet
265,Falcizero 60mg Injection
266,Falcizero 60mg Injection
267,Falcizone 80mg/480mg Tablet
268,Falcizone Dry Syrup
269,Falcon 150 Tablet
270,Falcon 200mg Tablet
271,Falcon 5 Tablet
272,Falcon OZ 200 mg/500 mg Tablet
273,Falcure 150mg Injection
274,Falcy 150mg Injection
275,Falcy JR 150mg Injection
276,Falcy LF Dry Syrup
277,Falcyact LF 80mg/480mg Tablet
278,Falcyguard 60mg Injection
279,Falcynate 120mg Injection
280,Falcynate 50mg Tablet
281,Falcynate 60mg Injection
282,Falcynate Kit
283,Falcynate LF Tablet
284,Falcyrid 80 mg/480 mg Injection
285,Falkon 150mg Tablet
286,Falmet 80mg/480mg Tablet
287,Falnate 60mg Injection
288,Falnish Injection
289,Falnish Tablet
290,Falno 50mg Tablet
291,Falno Forte  50mg Tablet
292,Faloart 60mg Injection
293,Falof 75mg Injection
294,Falox 250mg Tablet
295,Falox 500mg Tablet
296,Falpar 150mg Injection
297,Falquest Injection
298,Falquin 600mg Injection
299,Falrap 150mg Injection
300,Falrap 150mg Injection
301,Falrap Kid 150mg Injection
302,Falserch 60mg Injection
303,Falsisafe 120 Combipack Injection
