,items
0,Fe Surge 100mg Injection
1,Feact 200 Softgel Capsule
2,Fealmox CV Dry Syrup
3,Fealmox CV Forte Oral Suspension
4,Fealmox LB 500mg/125mg Tablet
5,Fealmox-CV 625 Tablet
6,Fealxone 1000mg Injection
7,Fealxone S 1000mg/500mg Injection
8,Fearo FD 231mg Syrup
9,Feaxo M 10mg/120mg Tablet
10,Feb Czr 2.5mg Suppository
11,Febactum 1000mg/500mg Injection
12,Febal Forte Injection
13,Febal Plus 1500mcg Injection
14,Febal Plus Tablet
15,Febamol 500mg Tablet
16,Febamol Suspension
17,Febamol Suspension
18,Febarto 40mg Tablet
19,Febarto 40mg Tablet
20,Febarto 80mg Tablet
21,Febbit 40mg Tablet
22,Febcad 40mg Tablet
23,Febcad 40mg Tablet
24,Febcot 40 Tablet
25,Febert Lotion
26,Febexo 80mg Tablet
27,Febexta 40mg Tablet
28,Febgout 40mg Tablet
29,Febilt-S 5 Injection
30,Febin 40 Tablet
31,Febintra 40mg Tablet
32,Febio 40mg Tablet
33,Febiox 40mg Tablet
34,Febistat 40mg Tablet
35,Febitan 250mg Tablet
36,Febl 12.5mg/5mg Tablet
37,Febl Forte 25mg/10mg Tablet
38,Feblast 40mg Tablet
39,Febloric 40mg Tablet
40,Febnac P 100mg/325mg Tablet
41,Febnac SP 100mg/325mg/15mg Tablet
42,Febnish 650 Tablet
43,Febnish Oral Drops
44,Febo 40mg Tablet
45,Feboage 40 Tablet
46,Febocare 40 Tablet
47,Febocare 80 Tablet
48,Febocas 40mg Tablet
49,Febocas 80mg Tablet
50,Febocas 80mg Tablet
51,Febod 40 Tablet
52,Febodec 40mg Tablet
53,Febodec 80mg Tablet
54,Febond 5 Injection
55,Febopax 40mg Tablet
56,Feboput 40mg Tablet
57,Feboric 40mg Tablet
58,Febosung 40 Tablet
59,Febosung 80mg Tablet
60,Feboxa 40 Tablet
61,Feboxa 80 Tablet
62,Feboxit 40 Tablet
63,Feboxtat 40mg Tablet
64,Feboxtat 80mg Tablet
65,Feboxy 40mg Tablet
66,Feboxy 80mg Tablet
67,Feboz 40mg Tablet
68,Febreno 125mg Suspension
69,Febreno 250mg Suspension
70,Febreno 250mg Suspension
71,Febreno 500mg Tablet
72,Febreno 650mg Tablet
73,Febrex 125mg/5ml Syrup
74,Febrex 150mg Drop
75,Febrex 500mg Tablet
76,Febrex 650mg Tablet
77,Febrex Ccf Drop
78,Febrex Ccf Syrup
79,Febrex Ccf Tablet
80,Febrex DS 250mg/5ml Syrup
81,Febrex LP 2.5mg/5mg Syrup
82,Febrex LP 5 mg/30 mg Tablet SR
