,items
0,Foal-BR 150mg Injection
1,Fobact Forte Injection
2,Foben 400mg Chewable Tablet
3,Foben Oral Suspension
4,Fobidime 1000mg Injection
5,Fobidime 250mg Injection
6,Fobidime-TZ 1.125gm Injection
7,Fobigone 100mg Tablet
8,Fobigone 100mg Tablet
9,Fobigone 200mg Tablet
10,Fobigone 400mg Tablet SR
11,Fobsy 40mg Injection
12,Fobsy 40mg Tablet
13,Fobsy D 10mg/40mg Tablet
14,Fobsy D 30mg/40mg Capsule SR
15,Foc-SP Tablet
16,Focep 1000mg/500mg Injection
17,Focime-L 200mg Tablet
18,Focimel 200mg Tablet
19,Focobal 500mcg Injection
20,Focobal G 300mg/500mcg Capsule
21,Focri-O Syrup
22,Focus 30mg Tablet
23,Focus 6mg Tablet
24,Fod 100mg Tablet DT
25,Fod 200mg Tablet DT
26,Fod 50mg Dry Syrup
27,Fod AZ 200mg/250mg Tablet
28,Fod CV 200mg/125mg Tablet
29,Fod CV Dry Syrup
30,Fod CV Plus Dry Syrup
31,Fod O 200mg/200mg Tablet
32,Fod Plus 100mg Dry Syrup
33,Fod Plus 100mg Dry Syrup
34,Fodaz 4000mg/500mg Injection
35,Fodin-M Tablet
36,Fodino 2mg Injection
37,Fodoxin DS 20mg/20mg/5mg Tablet
38,Fodril 125mg Tablet
39,Fodril 500mg Tablet
40,Fodril 500mg Tablet
41,Fodro-M 80mg/250mg Tablet
42,Foegard 5mg Tablet
43,Foephos Sachet Vanilla
44,Foetocin 5IU Injection
45,Fofone-S 500mg/500mg Injection
46,Fogest 200 Capsule
47,Fogum Gel
48,Foifix 50mg Syrup
49,Foivir 200mg Tablet
50,Foivir 400mg Tablet
51,Fokin 100mg Injection
52,Fokin 250mg Injection
53,Fokin 500mg Injection
54,Foksid O Syrup
55,Fol-D Capsule
56,Folacid 5mg Tablet
57,Folax 5mg Tablet
58,Folcef 250mg Tablet
59,Folcet 5mg Tablet
60,Folcet-MT 5mg/10mg Tablet
61,Folci D 10 mg/10 mg/2.5 mg Tablet
62,Folcin 1 Injection
63,Folcin 2 Injection
64,Folcret 6mg Oral Suspension
65,Folcret 6mg Tablet
66,Fole 100mg Tablet
67,Fole 150mg Tablet
68,Fole 200mg Tablet
69,Fole 400mg Tablet
70,Fole I 100mg Capsule
71,Fole I 200mg Capsule
72,Fole K Shampoo
73,Folecef 500 Tablet
74,Folera Tablet
75,Foli Aid Plus Tablet
76,Foliage Tablet
77,Foliboon Tablet
78,Folican Tablet
79,Folicel Tablet
80,Foliclav 228.5 Oral Suspension
81,Foliclav 625 Tablet
82,Folicon 5mg Tablet
83,Foliculin 150IU Injection
84,Foliculin 75IU Injection
85,Foliculin HP 150IU Injection
86,Foliculin HP 75IU Injection
87,Folicyn 5mg Tablet
88,Folide 600mg Tablet
89,Folidex Tablet
90,Folidox 10mg/10mg/2.5mg Tablet
91,Folifact 10mg/10mg Tablet
92,Folifer 5 Injection
93,Folifer Injection
94,Foligem 150IU Injection
95,Foligem 75IU Injection
96,Foligest 150I.U Injection
97,Foligest 75I.U Injection
98,Foligraf 1200IU Injection
99,Foligraf 150IU Injection
100,Foligraf 75IU Injection
101,Foligro Lotion
102,Folijoy Tablet
103,Folik Lmp 20mg/20mg/5mg Tablet
104,Folik Plus 10mg/10mg/2.5mg Tablet
105,Folik Plus OD 10mg/10mg/2.5mg Tablet
106,Folilin Plus 20mg/20mg/5mg Tablet
107,Folima 7.5 Tablet
108,Folimac 5mg Tablet
109,Folimet 5mg Tablet
110,Folimom D Tablet
111,Folimost Gel
112,Folinal 5mg Tablet
113,Folini 20mg Injection
114,Foliripe Tablet
115,Folisar HP 150IU Injection
116,Folisar HP 75IU Injection
117,Folistar Soft Gelatin Capsule
118,Folistat 5mg Tablet
119,Folistic 150IU Injection
120,Folistim 50mg Tablet
121,Folisurge 1200 Injection
122,Folisurge 150 Injection
123,Folisurge 225IU Injection
124,Folisurge 300IU Injection
125,Folisurge 450 Injection
126,Folisurge 75 Injection
127,Folisurge 900 Injection
128,Folisurge 900IU Pen
129,Folithik Tablet
130,Foliton 75IU Injection
131,Folitrax 10 Tablet
132,Folitrax 10mg Injection
133,Folitrax 15 Injection
134,Folitrax 15 Tablet
135,Folitrax 2.5 Tablet
136,Folitrax 20 Injection
137,Folitrax 20 Tablet
138,Folitrax 25 Injection
139,Folitrax 25 Tablet
140,Folitrax 5 Tablet
141,Folitrax 50 Injection
142,Folitrax 7.5 Tablet
143,Folitrax 7.5mg Injection
144,Folivern-F Solution
145,Folivib-Plus Tablet
146,Follicare 150IU HP Injection
147,Follicare 75IU HP Injection
148,Follicure Anti Dandruff Shampoo
149,Follilutin 150IU Injection
150,Follilutin 75IU Injection
151,Folliova 150IU Injection
152,Folliova 75IU Injection
153,Follisti Sure HP 75IU Injection
154,Follitec 75IU Injection
155,Follokon 150IU Injection
156,Follokon 75IU Injection
157,Follow ON 200mg Tablet
158,Folmaa 5mg Tablet
159,Folmine 5mg Tablet
160,Folmine P Tablet
161,Foloup 100mg Tablet
162,Foloup 200 Tablet
163,Foloup 50 DS Oral Suspension
164,Foloup CV 100mg/62.5mg Dry Syrup
165,Foloup CV 100mg/62.5mg Tablet DT
166,Foloup CV 200 mg/125 mg Tablet
167,Foloup CV 50mg/31.25mg Dry Syrup
168,Foloup DS Syrup
169,Folozyme 90mg/48mg/100mg Tablet
170,Folride 1mg Tablet
171,Foltec Plus Tablet
172,Folvite 5mg Tablet
173,Folxor 20mg Injection
174,Folxor 20mg Injection
175,Foly 5mg Tablet
176,Foly-Act Tablet
177,Folybus 10mg/10mg/2.5mg Tablet
178,Fomacid Suspension
179,Fomel T Eye Drop
180,Fomexine 1500mcg Injection
181,Fomigrain 10mg Tablet
182,Fomira Eye Drop
183,Fomtaz Disk Inhaler
184,Fomtide 12mcg/200mcg Inhaler
185,Fomtide 12mcg/400mcg Inhaler
186,Fomtide 200 Inhaler
187,Fomtide 200 Octacap
188,Fomtide 400 CFC Free Inhaler
189,Fomtide 400 Octacaps
