,items
0,Frab 20mg Tablet
1,Frab D Tablet
2,Fracef 1000mg Injection
3,Fracef 250mg Injection
4,Fracef 500mg Injection
5,Fracef S 1000mg/500mg Injection
6,Fracef S 250mg/125mg Injection
7,Fracef S 500mg/250mg Injection
8,Fracef XP 1000mg/125mg Injection
9,Fracid O Oral Suspension
10,Fracox 750mg Tablet
11,Fradic 75mg Injection
12,Fradic 75mg Injection
13,Fradic P 50mg/325mg Tablet
14,Fradic S 50mg/10mg Tablet
15,Fradic SP 50mg/325mg/10mg Tablet
16,Fradox 100mg Tablet
17,Fradox 200mg Tablet
18,Fradox 200mg Tablet
19,Fradox Syrup
20,Fragmin 10000IU Injection
21,Fragmin 2500IU Injection
22,Fragmin 5000IU Injection
23,Fragmin 7500IU Injection
24,Fragmol Plus Tablet
25,Fragmol-D Tablet
26,Fram 5mg Tablet
27,Fram AT 5mg/50mg Tablet
28,Framem 20mg Tablet
29,Framem DSR 30mg/20mg Capsule
30,Framem L 75mg/20mg Capsule SR
31,Framik 100mg Injection
32,Framik 100mg Injection
33,Framik 250mg Injection
34,Framik 500mg Injection
35,Framol M 500mg/325mg Tablet
36,Framol M Oral Suspension
37,Framox 250mg Tablet DT
38,Franac 200mg Tablet SR
39,Franac MR 100mg/325mg/250mg Tablet
40,Franac P 100mg/325mg Tablet
41,Franac P Oral Suspension
42,Franac T 100mg/4mg Tablet
43,Franax 500mg Injection
44,Franax M 500mg/250mg Tablet
45,Francip 500mg Drop
46,Francip 500mg Tablet
47,Francip CF Cream
48,Francip-D Eye/Ear Drops
49,Franide 100mg Tablet
50,Franide Plus 100mg/500mg Tablet
51,Frank 250mg Tablet
52,Frank A 100 mg/500 mg Tablet
53,Frank D 50 mg/10 mg Tablet
54,Frankee 40mg Tablet
55,Frankee-D 40 Tablet
56,Frankof Syrup
57,Frankof-P Syrup Sugar Free
58,Frankoff DX Syrup
59,Frankoff Syrup
60,Franxit 0.5 mg/10 mg Tablet
61,Franxit O 12.5mg/5mg Tablet
62,Fraryl Oral Drops
63,Fraryl Plus Oral Suspension
64,Fraryl Suspension
65,Fraryl Tablet
66,Fraseda 1.5mg Injection
67,Frastim 300mcg Injection
68,Frater Tablet
69,Frather L 80mg/480mg Tablet
70,Frather L Dry Syrup
71,Fratol P 37.5mg/325mg Tablet
72,Fratryp Plus 90mg/48mg/100mg Tablet
73,Fravia IT 20mg/150mg Capsule
74,Fravoq 500mg Tablet
75,Fravoq OZ 250mg/500mg Tablet
76,Fravoq OZ Oral Suspension
77,Frax Tablet
78,Fraxidep E 0.5mg/10mg Tablet
79,Fraxidep Tablet
80,Fraxil 250 Tablet
81,Fraxil 500 Tablet
82,Fraxiparine 2850IU Injection
83,Fraxiparine 3075IU Injection
84,Fraxiparine 3800IU Injection
85,Fraxiparine 4100IU Injection
86,Fraxiparine 5700IU Injection
87,Fraxiparine 6150IU Injection
88,Fraxodi 5700IU Injection
89,Frazid 250mg Injection
90,Frazin 25mg Tablet
91,Frazin D 10mg/25mg Tablet
92,Frazol 200mg Oral Suspension
93,Frazol 400mg Tablet
94,Frazol I 6mg/400mg Tablet
95,Frazol I Oral Suspension
96,Frazone S 500mg/500mg Injection
97,Frc 150mg Injection
98,Fre-Col 20mg/500mg Tablet
99,Fre-Col DPS Oral Drops
100,Freblock AT 5mg/50mg Tablet
101,Freburn 40mg Tablet
102,Freburn DSR Capsule
103,Freburn L Capsule SR
104,Freceff O 100mg Tablet
105,Freceff O 200mg Tablet
106,Frecin 20mg Tablet
107,Frecol-Spas DS Tablet
108,Frecort 40 Injection
109,Fredo 10mg/10mg/2.5mg Tablet
110,Fredo-Plus Tablet
111,Free 40mg Tablet
112,Free 5 Plus Tablet
113,Free Joint 100mg/50mg Tablet
114,Free Slip 0.5mg/10mg Tablet
115,Free Tablet
116,Freeair Nasal Spray
117,Freebect 500mg Tablet
118,Freecan 150mg Tablet
119,Freecast L 5mg/10mg Tablet
120,Freecef 1gm Injection
121,Freecef 200mg Tablet
122,Freecef LB 200mg Tablet DT
123,Freecept 1000mg Injection
124,Freecept 1000mg Injection
125,Freecept 250mg Injection
