,items
0,FuDep Cream
1,FuDep Cream
2,Fual 10mg Tablet
3,Fubac Cream
4,Fubact Cream
5,Fuben Cream
6,Fubeta 16 Tablet
7,Fubeta 8 Tablet
8,Fubeta-PF Tablet
9,Fuboryl 40mg Tablet
10,Fuboryl 80mg Tablet
11,Fuboten 40 Tablet
12,Fubox 40 Tablet
13,Fubox 80 Tablet
14,Fubra 40mg Tablet
15,Fubra 80mg Tablet
16,Fucan 150mg Capsule
17,Fucef 1.5gm Injection
18,Fucef 250mg Injection
19,Fucef 250mg Tablet
20,Fucef 500mg Tablet
21,Fucef 750mg Injection
22,Fucetil 500mg Tablet
23,Fuciaid 2% Cream
24,Fucibet Cream
25,Fucid 2% Cream
26,Fucid 20mg Capsule
27,Fucidin Cream
28,Fucidin Cream
29,Fucidin H Cream
30,Fucidin Ointment
31,Fucidin Ointment
32,Fucifur Cream
33,Fucifur Cream
34,Fucifur-M Cream
35,Fucigud B Cream
36,Fucilite 2% Cream
37,Fucim 250mg Tablet
38,Fucim 500mg Tablet
39,Fucin B Cream
40,Fucin Cream
41,Fucin Ear Drop
42,Fucinage 2% Ointment
43,Fucinex Ointment
44,Fucinova B Cream
45,Fucithalmic Viscous Eye Drop
46,Fucolen 150mg Tablet
47,Fucon 150 Tablet
48,Fucon 150mg Tablet
49,Fucon 200mg Tablet
50,Fucona 150mg Tablet
51,Fucort 6mg Tablet
52,Fucrol 150mg Tablet
53,Fucross 100 Capsule
54,Fucross 200 Capsule
55,Fucross-B Cream
56,Fucross-B Solution
57,Fudac 20mg Ointment
58,Fudac-MR Tablet
59,Fudac-SP Tablet
60,Fudart 500mg Tablet
61,Fudart-MF Tablet
62,Fudec Cream
63,Fudec-B Cream
64,Fudec-M Cream
65,Fuderm Cream
66,Fudic B Cream
67,Fudic BNF Cream
68,Fudic BNF Cream
69,Fudic Cream
70,Fudic Cream
71,Fudine Cream
72,Fudis 20mg Capsule
73,Fudiwald 2% Lotion
74,Fudone 20mg Tablet
75,Fudone 40mg Tablet
76,Fudoshine Tablet
77,Fudox 100 Tablet
78,Fudox 200 Tablet
79,Fudox-DS Dry Syrup
80,Fufiom 0.25% Cream
81,Fugal 2% Cream
82,Fugal B Cream
83,Fuganol 2% Cream
84,Fugare 500mg Tablet
85,Fugare Suspension
86,Fuh 5mg Tablet
87,Fujical-Max Soft Gelatin Capsule
88,Fujigraf 0.5mg Capsule
89,Fujigraf 1mg Capsule
90,Fujigraf 2mg Capsule
91,Fuket 200mg Tablet
92,Fuket Cream
93,Fuket Lotion
94,Fuket Lotion
95,Fuket Soap
96,Ful 150mg Tablet
97,Fulactive 4mg Tablet
98,Fulactive 8mg Tablet
99,Fulcare 250mg Injection
100,Fulcare 500mg Injection
101,Fulcef 1000mg Injection
102,Fulcef 250mg Injection
103,Fulcef 500mg Injection
104,Fulcef-O Tablet
105,Fulcef-S 1000mg/500mg Injection
106,Fulcef-S 250mg/125mg Injection
107,Fulcef-S 500mg/250mg Injection
108,Fulcef-S 500mg/250mg Injection
109,Fulcin Ear Drop
110,Fulclav 1000mg/200mg Injection
111,Fulclav 500mg/125mg Tablet
112,Fulclav Dry Syrup
113,Fulclav Duo Dry Syrup
114,Fulcort 6mg Tablet
115,Fulcover 100mg Capsule
116,Fulcox 20mg Tablet
117,Fulday 10mg Tablet
118,Fulday 10mg Tablet
119,Fulderm Cream
120,Fuldom RD 10mg/20mg Capsule
121,Fuldom-O Capsule
122,Fuldream 10mg Tablet
123,Fule 150mg Tablet
124,Fulec B Cream
125,Fulec B Cream
126,Fulfil  25mg Tablet
127,Fulfil  75mg Tablet SR
128,Fulfit KID 125mg Tablet
129,Fulfit Suspension
130,Fulflo 10mg Tablet
131,Fulflo Tablet
132,Fulfyl 25mg Tablet
133,Fulfyl 50mg Tablet
134,Fulgest 100mg Capsule SR
135,Fulgest 200 Soft Gelatin Capsule
136,Fulgest Injection
137,Fulgest SR 200 Tablet
138,Fulgest SR 300 Tablet
139,Fulgram 250mg Tablet
140,Fulgram 500mg Tablet
141,Fulite Cream
142,Fuljoy 0.5mg/10mg Tablet
143,Fulkast-LC Tablet
144,Full 24 1000mcg Injection
145,Full 24 AM Injection
146,Full ON 0.5mg Tablet
147,Fullact 150mg Tablet
148,Fullact 150mg Tablet
149,Fullcover 10 mg/120 mg Tablet
150,Fullcover Oral Suspension
151,Fullday Tablet
152,Fullform 100mcg/6mcg Inhaler
153,Fullform 200 Rotacap
154,Fullform 200mcg/6mcg Inhaler
155,Fullform 400 Rotacap
156,Fullhale 6 mcg/125 mcg Inhaler
157,Fullhale 6 mcg/250 mcg Inhaler
158,Fullka 150mg Tablet
159,Fulloric 100mg Tablet
160,Fullrab 20mg Tablet
161,Fullrab I.V Injection
162,Fullrab-D Capsule SR
163,Fulmar 150mg Tablet
164,Fulmood 0.5mg Tablet
165,Fulmood 0.5mg Tablet
166,Fulnac 100mg Tablet
167,Fulnac P 100mg/500mg Tablet
168,Fulnest Plus Tablet
169,Fulnite 2mg Tablet
170,Fulo 100mg Capsule
171,Fulomet 100mg/200mg Tablet
172,Fulor 150 Tablet
173,Fulor 200 Tablet
174,Fulor 400 Tablet
175,Fulor-B Cream
176,Fulpan 40mg Tablet
177,Fulpan-D 10mg/20mg Tablet
178,Fulpan-DSR 30mg/40mg Capsule
179,Fulrex D Syrup
180,Fulsed 1mg Injection
181,Fulser 10mg Tablet
182,Fulser 10mg Tablet
183,Fulser D 50mg/10mg Tablet
184,Fulser N 100mg/15mg Tablet
185,Fulser-DP Tablet
186,Fulstop 400 mg/600 mg Tablet
187,Fulstop Suspension
188,Fulstrch M Tablet
189,Fulstrch P Tablet
190,Fulstrch SP Tablet
191,Fulstrch-TP Tablet
192,Fulterm 250mg Injection
193,Fulterm 500mg Injection
194,Fulterm Tablet
195,Fultidic Cream
196,Fultop 0.25mg/20mg Tablet
197,Fultra Tablet DT
198,Fultra-P Tablet
199,Fultress F5 Solution
200,Fultron 200mg Tablet
201,Fulvenat 120mg Injection
202,Fulvenat 250mg Injection
203,Fulveryze 250mg Injection
204,Fulvetraz 250mg Injection
205,Fulviglen 250mg Injection
206,Fulvinem 500mg Tablet
207,Fulwar 150mg Tablet
208,Fulwar 400mg Tablet
209,Fumabact Forte 4000mg/500mg Injection
210,Fumac Cream
211,Fumac Cream
212,Fumac Gel
213,Fumacef 100mg Tablet
214,Fumacef 200mg Tablet
215,Fumacef 50mg Suspension
216,Fumak 500mg Tablet
217,Fumate Cream
218,Fumedil Capsule
219,Fumedil Syrup
220,Fumerabac 200mg/20mg Capsule SR
221,Fumero 200mg Tablet
222,Fumiget 1000mg/500mg Injection
223,Fumiget 2000mg/1000mg Injection
224,Fumox-CV 625 LB Tablet
225,Fumox-CV 625 Tablet
226,Fumoxil 250mg/250mg Capsule
227,Fumpan 40mg Injection
228,Fumycin 150mg Capsule
229,Fumzit 20mg Injection
230,Fumzit D 30mg/20mg Capsule SR
231,Fun 150mg Tablet
232,Funa 150mg Tablet
233,Funaz 150mg Tablet
234,Funaz 200mg Infusion
235,Funazole 200mg Tablet
236,Funbus 1% Dusting Powder
237,Funcan 150mg Tablet
238,Funcan 150mg Tablet
239,Fundys 75mg Tablet SR
240,Fung 150mg Capsule
241,Fung Cid 150mg Tablet
242,Fungad 150 Tablet
243,Fungal 150mg Tablet
244,Fungal 500mg Tablet
245,Fungal F 150mg Tablet
246,Fungal F 200mg Tablet
247,Funganox 100mg Capsule
248,Funganox 200mg Capsule
249,Funganox L 1% Cream
250,Funganox-L 1% Lotion
251,Fungard 150mg Tablet
252,Fungard 50mg Tablet
253,Fungarin 2% Cream
254,Fungarin F Cream
255,Fungazol 150mg Tablet
256,Fungbin 250mg Tablet
257,Fungcure 150mg Tablet
258,Fungdid B Cream
259,Fungeeheal 100 Capsule
260,Fungeeheal 100 Capsule
261,Fungeeheal 200 Capsule
262,Fungeeheal 200 Capsule
263,Fungek 150mg Tablet
264,Fungek 200mg Tablet
265,Fungerase-L Cream
266,Fungfine 250mg Tablet
267,Fungi 150mg Capsule
268,Fungi 150mg Tablet
269,Fungi BC Ear Drop
270,Fungi Drop
271,Fungi Hit 250mg Tablet
272,Fungiask 100mg Capsule
273,Fungiask 200mg Capsule
274,Fungiask 200mg Capsule
275,Fungiauk 100mg Capsule
276,Fungiauk 200mg Capsule
277,Fungiban 150mg Tablet
278,Fungiban 50mg Tablet
279,Fungibid 150mg Tablet
280,Fungicap 100mg Capsule
281,Fungicap 200mg Capsule
282,Fungicare 150mg Tablet
283,Fungicare Cream
284,Fungicaspin 50mg Injection
285,Fungicaspin 70mg Injection
286,Fungicide Lotion
287,Fungicide Tablet
288,Fungicip 150mg Tablet
289,Fungicip 200 Tablet
290,Fungicon 150mg Capsule
291,Fungicon 50mg Capsule
292,Fungicort Cream
293,Fungicort ICZ 200mg Capsule
294,Fungicort ICZ Capsule
295,Fungicort ICZ Capsule
296,Fungicreme Cream
297,Fungicros Cream
298,Fungicros Cream
299,Fungicros Cream
300,Fungicros Nail Lacquer
