,items
0,GL Cet 5mg Tablet
1,GL-Met 80 Tablet
2,GL-Met 80 Tablet
3,GLI-ME SR1 Tablet
4,GLI-ME SR2 Tablet
5,GLIM 1 Tablet
6,GLIM 2 Tablet
7,GLIMER 4 MG TABLET
8,GLIMETOP MV 1  TABLET SR
9,GLIMISAVE DEBUT M 1 TABLET
10,GLIMISAVE DEBUT M 2 TABLET
11,GLIMISAVE MAX V FORTE TABLET
12,GLIMPID 4 MG TABLET
13,GLIMSER M1 TABLET
14,GLIMTAB 2MG TABLET
15,GLISTO MF 2 MG/1000 MG TABLET
16,GLOBAC SAFE 50 MG INJECTION
17,GLOBACTUM 1 GM INJECTION
18,GLUCOBAY 100 MG TABLET
19,GLUTAPEP INFUSION
20,GLYCIGON 30 MG TABLET MR
21,GLYCOR 80 MG TABLET
22,GLYKIND  80 MG TABLET
23,GLZ MEX 30mg/500mg Tablet
24,GLZ MEX 60mg/500mg Tablet
25,GLZ Plus Tablet
