,items
0,HELEXIN 125 MG TABLET DT
1,HELEXIN 250 MG TABLET
2,HELEXIN DRY 125 MG SYRUP
3,HELEXIN DRY 125 MG SYRUP
4,HEMIDAP 25MG TABLET
5,HEMIDAP 75 MG TABLET
6,HEMIDAP 75 MG TABLET
7,HEMOLATE 250MG TABLET
8,HEP-ZO 5gm Injection
9,HEP-ZO 5gm Injection
10,HEPA MERZ OA SYRUP
11,HEPABIG 100 IU INJECTION
12,HEPALIM 25000IU INJECTION
13,HEPALIM 5000IU INJECTION
14,HEPAREN 25000IU INJECTION
15,HERCEPTIN INFUSION
16,HERFLAV 200MG TABLET
17,HERHOPE 2.5MG TABLET
18,HERLET 2.5MG TABLET
19,HERPESAFE 800MG TABLET DT
20,HETHIN F 1000IU INJECTION
21,HEXTRADOL 100 MG INJECTION
22,HEXTRADOL 100 MG INJECTION
23,HEXTRADOL P  TABLET 325 MG/37.5 MG
