,items
0,Hi Drok C 25mg Tablet
1,Hi Norm Syrup
2,Hi Pram C 0.5mg/10mg Tablet
3,Hi-Cuf Syrup
4,Hi-D3 60K Capsule
5,Hiact P P Tablet
6,Hiact P Tablet
7,Hib Pro 0.033mg Injection
8,Hibact Ointment
9,Hibactum 4000mg/500mg Injection
10,Hibe Vaccine Combipack (Each 0.5ml)
11,Hibend 400mg Tablet
12,Hibend Oral Suspension
13,Hiberix 0.033mg Injection
14,Hibesor 25mg Tablet
15,Hibesor 50mg Tablet
16,Hibor 2500IU Injection
17,Hibor 5000IU Injection
18,Hibor 7500IU Injection
19,Hibose 50mg Tablet
20,Hibrid 228.5 Dry Syrup
21,Hibrid 250mg/125mg Tablet
22,Hibrid 500mg/125mg Tablet
23,Hibrid Dry Syrup
24,Hibrid Kid Tablet
25,Hibrom Eye Drop
26,Hical Suspension
27,Hicalm 10mg Tablet
28,Hicalm Plus Tablet
29,Hicam 20mg Injection
30,Hicam 20mg Tablet
31,Hicart Tablet
32,Hicdrate Syrup
33,Hiceclo-SP Tablet
34,Hicef 1000mg Injection
35,Hicef 200mg Tablet
36,Hicef S 1000mg/500mg Injection
37,Hicef T 1000 mg/125 mg Injection
38,Hicef T 250mg/31.25mg Injection
39,Hicefur 1500 Injection
40,Hicefur 500 Tablet
41,Hicefur 750 Injection
42,Hicerin-GM Tablet
43,Hicet Syrup
44,Hicet Tablet
45,Hicet-AX 5mg/60mg Tablet
46,Hicet-AX Syrup
47,Hicet-AX Tablet SR
48,Hicet-DC Tablet
49,Hicet-L Syrup
50,Hicet-L Tablet
51,Hicin 200mg Tablet
52,Hicin OZ Tablet
53,Hicin Syrup
54,Hicipro 125mg Tablet
55,Hicipro 250mg Tablet
56,Hicipro 500mg Tablet
57,Hicipro 500mg Tablet
58,Hicipro M 500mg/300mg Tablet
59,Hicipro OZ 500mg/500mg Tablet
60,Hicipro T 500mg/600mg Tablet
61,Hicipro TZ Forte Tablet
62,Hiclair 150mg Injection
63,Hiclair 150mg Injection
64,Hiclav 500 mg/125 mg Tablet
65,Hiclave DDS Syrup
66,Hiclave DDS Syrup
67,Hiclave Syrup
68,Hiclor 125mg Dry Syrup
69,Hiclox-LB Capsule
70,Hicold Syrup
71,Hicolist 1 MIU Injection
72,Hicolist 2M Injection
73,Hicoly 1Million IU Injection
74,Hicoly 2Million IU Injection
75,Hicoly 3 MIU Injection
76,Hicool Eye Drops
77,Hicool PF Eye Gel
78,Hicope 10 Tablet
79,Hicope 25 Tablet
80,Hicope 25 Tablet
81,Hicope Drop
82,Hicope Syrup
83,Hicycline 250mg Tablet
84,Hidac 20mg Capsule
85,Hidac 20mg Tablet
86,Hidac Plus 50mg/500mg Tablet
87,Hidec 50mg Injection
88,Hidiclo 50mg/325mg Tablet
89,Hidiclo Plus Tablet
90,Hidime 1gm Injection
91,Hidine Eye Drop
92,Hidol 0.25mg Tablet
93,Hidol 1.5mg Tablet
94,Hidoxim CV 100mg/62.5mg Tablet
95,Hidoxim CV 200mg/125mg Tablet
96,Hidrox 125mg Tablet
97,Hidrox 500mg Tablet
98,Hidroxil 250mg Tablet
99,Hidroxil KID 125mg Tablet
100,Hidroxil KID 125mg Tablet
101,Hiefect LB 200mg Tablet
102,Hiend 400 Tablet
103,Hif 150mg Tablet
104,Hif-AS Kit
105,Hifcon 100 Capsule
106,Hifcon 200 Capsule
107,Hifein 75mg Injection
108,Hifein Plus 100mg/325mg Tablet
109,Hifein-MR Tablet
110,Hifein-SP Tablet
111,Hifen 100 DT Tablet
112,Hifen 100mg/5ml Dry Syrup
113,Hifen 200 DT Tablet
114,Hifen 250mg Tablet
115,Hifen 25mg Oral Drops
116,Hifen 400 Tablet
117,Hifen 50mg Dry Syrup
118,Hifen 50mg Redimix Suspension
119,Hifen 50mg Tablet DT
120,Hifen A Tablet
121,Hifen CV 100 mg/62.5 mg Tablet DT
122,Hifen CV 200 Tablet
123,Hifen CV 50 mg/31.25 mg Dry Syrup
124,Hifen LZ 200 mg/600 mg Tablet
125,Hifen Lxx Tablet
126,Hifen Plus 100 mg/100 mg Tablet
127,Hifen Plus 200 mg/200 mg Tablet
128,Hifen-AZ 125 Tablet DT
129,Hifen-AZ 200mg/250mg Tablet
130,Hifenac Gel
131,Hifenac Max Tablet
132,Hifenac SR Tablet
133,Hifenac Spas Tablet
134,Hifenac TA 100mg/325mg/37.5mg Tablet
135,Hifenac TH Tablet
136,Hifenac TH8 Tablet
137,Hifenac Tablet
138,Hifenac-D  Tablet
139,Hifenac-MR Tablet
140,Hifenac-P Tablet
141,Hifezol-P Tablet
142,Hifezol-SP Tablet
143,Hifi 200mg Tablet
144,Hifi 50mg Tablet DT
145,Hifi LB 200mg Tablet
146,Hifi-L Tablet
147,Hifin 250 Tablet
148,Hifin 250 Tablet
149,Hifin OZ Ointment
150,Hifixim 200mg Tablet
151,Hiflo 100 Rotacap
152,Hiflo 100mg Tablet
153,Hiflo 200mg Tablet
154,Hiflo 50mcg/250mcg Rotacap
155,Hiflo 50mcg/500mcg Rotacap
156,Hiflo 5mg Tablet
157,Hiflo Syrup
158,Hiflo Z Capsule
159,Hiflox 250mg Tablet
160,Hiflox 500mg Tablet
161,Hiflox 750mg Tablet
162,Hiflox Eye Drop
163,Hiflox Plus 500 mg/600 mg Tablet
164,Hiflox Plus 500mg/600mg Tablet
165,Hiflyer 250mg Syrup
166,Hiforce 100mg Tablet
167,Hifu 250mg Tablet
168,Hifu 500mg Tablet
169,Higaba M 750mcg/75mg Tablet
170,Higaba NT 75mg/10mg Tablet
171,Higado 35mg/112.5mg Suspension
172,Higado L Capsule
173,Higado L Syrup
174,Higado LS 150mg/500mg Capsule
175,Higado LS Syrup
176,Higado Plus Capsule
177,Higado UD Tablet
178,Higate 400mg Tablet
179,Higati Eye Drop
180,Higati Eye Ointment
181,Higato Tablet
182,Higesic Tablet
183,Higest 200mg Capsule
184,Highcef 250mg Tablet
185,Highcef 500mg Tablet
186,Highgrow Shampoo
187,Highpod 100mg Dry Syrup
188,Highpod 200mg Tablet
189,Highpod 50mg Dry Syrup
190,Highpod OX 200mg/200mg Tablet
191,Hight-UP Syrup
192,Higo 2mg Injection
193,Higo 2mg/5ml Suspension
194,Higo 4mg Tablet
195,Higo 4mg Tablet
196,Higra 100mg Tablet
197,Higra 50mg Tablet
198,Higra Plus 50mg/30mg Tablet
199,Higrin 10mg Tablet
200,Hiikold CZ Tablet
201,Hijest 250 Injection
202,Hike 30 mg/20 mg Capsule
203,Hikem Tablet
204,Hikin Injection
205,Hikold Expectorant
206,Hikold Tablet
207,Hikomox-CV 625 Tablet
208,Hikomox-CV Injection
209,Hil-Sur Tablet
210,Hilactin Syrup
211,Hilcef 125 Oral Suspension
212,Hilcef 250mg Tablet
213,Hilcef 500 Tablet
214,Hilcef-CV 375 Tablet
215,Hilcef-CV 625 Tablet
216,Hilcit A 5mg/30mg Tablet
217,Hilclav 500mg/125mg Tablet
218,Hilclav Dry Syrup
219,Hilclox 250mg/250mg Capsule
220,Hilcort 40 Injection
221,Hilerin 10mg Tablet
222,Hilerin 25mg Tablet
223,Hilfas Kit 150mg/1000mg/2000mg Tablet
224,Hilfer-S Injection
225,Hilgestrone 100mg Capsule
226,Hilgestrone 200mg Injection
227,Hilgestrone 300mg Capsule SR
228,Hilglic 80mg Tablet
229,Hilglim 1mg Tablet
230,Hilglim 2 Tablet
231,Hilid P Suspension
232,Hilin 50 Capsule
233,Hilin Plus Capsule
234,Hilin-Ace Tablet
235,Hilin-GM Tablet
236,Hiliv DS Syrup
237,Hiliv Syrup
238,Hilkof Syrup
239,Hillclav 1000mg/200mg Injection
240,Hillclav Dry Syrup
241,Hillcold Syrup
242,Hillflam MR 100mg/325mg/250mg Tablet
243,Hillflam P 100mg/325mg Tablet
244,Hillflam SP 100mg/325mg/15mg Tablet
245,Hillflo 200mg Tablet
246,Hillflo OZ 200mg/500mg Tablet
247,Hillmont LC 5mg/10mg Tablet
248,Hillmont LC Syrup
249,Hillpan 40mg Tablet
250,Hillpan D 10mg/40mg Tablet
251,Hillpan-DSR Capsule
252,Hilmet 500 Tablet
253,Hilmet 500mg Tablet SR
254,Hilmet 850mg Tablet
255,Hilmet 850mg Tablet
256,Hilmet GB 5 mg/500 mg Tablet
257,Hilmet GC Tablet
258,Hilmet GM 1mg/500mg Tablet
259,Hilmet GM 2mg/500mg Tablet
260,Hilmet V 500mg/0.2mg Tablet
261,Hilmet VG 1mg/500mg/0.2mg Tablet
262,Hilmet VG 2mg/500mg/0.2mg Tablet
263,Hilmox 250mg Capsule
264,Hilmox 500mg Capsule
265,Hilnac P 100mg/325mg Tablet
266,Hilnac P Oral Suspension
267,Hilnac-D Tablet
268,Hilnac-MR Tablet
269,Hilnac-SP Tablet
270,Hilnac-SR Tablet
271,Hilnac-T 4 Tablet
272,Hilnor 5mg Tablet
273,Hilox Kid 125mg Tablet
274,Hilpan 40mg Injection
275,Hilpenta-DSR 30mg/40mg Capsule
276,Hilpio 15 Tablet
277,Hilpraz L 75mg/20mg Capsule
278,Hilsone 1000mg Injection
279,Hilsone 125 Injection
280,Hilsone 16mg Tablet
281,Hilsone 4 Tablet
282,Hilsone Injection
283,Hilstin 16mg Tablet
284,Hilstin 8mg Tablet
285,Hiltel A 40mg/5mg Tablet
286,Hiltrip Tablet
287,Hiltrip-DP Tablet
288,Hilvog 0.3mg Tablet
289,Hilyte 100mg Tablet MD
290,Hilyte-P 100mg/325mg Tablet
291,Hilzol 150mg Tablet
292,Himadol 325mg/37.5mg Tablet
293,Himcet L 5mg Tablet
294,Himcipro 500mg Tablet
295,Himcipro TZ 500mg/600mg Tablet
296,Himdec 25mg Injection
297,Himdec 50mg Injection
298,Himero Injection
299,Himobendazole 200mg Suspension
300,Himocin 200mg Tablet
301,Himocin 400mg Tablet
302,Himocin OZ 200 mg/500 mg Tablet
303,Himoflox 50mg Oral Suspension
304,Himol 100mg Oral Drops
305,Himol 250mg Oral Suspension
306,Himol 650mg Tablet
307,Himolan 125mg Injection
308,Himont AL 75mg/5mg/10mg Tablet SR
309,Himont FX 10mg/120mg Tablet
310,Himont LC 5mg/10mg Tablet
311,Himont LC Kid 2.5mg/4mg Tablet
312,Himoran 100mg Tablet
313,Himoran P Tablet
314,Himospasmine Oral Drops
315,Himox Plus 250mg/250mg/250mg Tablet
316,Himox-B 250mg/8mg Tablet
317,Himox-B 500mg/8mg Tablet
318,Himox-LS Capsule
319,Himrox 150mg Tablet
320,Himspas 20mg/500mg Tablet
321,Himycin Eye Ointment
322,Himzolam 0.25mg Tablet
323,Himzolam 0.5mg Tablet
324,Himzolam 0.5mg Tablet
325,Hinac 100mg Tablet
326,Hinac MR 500mg/50mg/500mg Tablet
327,Hinac Plus 100 mg/500 mg Tablet
328,Hinate Cream
329,Hinate G Cream
330,Hinate S Ointment
331,Hincedox 200mg Tablet DT
332,Hindceff 500 Tablet
333,Hinder Cream
334,Hinderm 100mg Capsule
335,Hinderm 200mg Capsule
336,Hinex 1000mg Injection
337,Hinex 1500 Injection
338,Hinfix 200mg Tablet
339,Hinlevo 500mg Tablet
340,Hinod 50mg Dry Syrup
341,Hinoz DS Suspension
342,Hinoz Suspension
343,Hinrab 20mg Tablet
344,Hinrab 20mg Tablet
345,Hinrab DSR Capsule
346,Hinyclav 500 mg/125 mg Tablet
347,Hinzole Tablet
348,Hiodic MR 100mg/325mg/250mg Tablet
349,Hiodic Plus Tablet
350,Hiodic Tablet SR
351,Hipan 40 Tablet
352,Hipan 40mg Injection
353,Hipan D 10mg/40mg Tablet
354,Hipan-DSR Capsule
355,Hipan-DSR Tablet
356,Hipden 10mg/10mg/2.5mg Tablet
357,Hipen A 250mg Capsule
358,Hipen A 500mg Capsule
359,Hipen Clav 1.2gm Injection
360,Hipen Clav 200 mg/28.5 mg Dry Syrup
361,Hipen Clav 625 Tablet
362,Hipenox 250 mg/250 mg Capsule
363,Hipenp 125mg Drop
364,Hipenp 125mg Syrup
365,Hipenp 125mg Tablet
366,Hipenp 250mg Dry Syrup
367,Hipenp 500mg Capsule
368,Hiperblo-H 50mg/12.5mg Tablet
369,Hiperpan 40mg Tablet
370,Hipex 25 Tablet
371,Hipocyp Syrup
372,Hipodox 100 Tablet DT
373,Hipodox 200 Tablet
374,Hipodox 50 Tablet DT
375,Hipodox Paediatric Oral Suspension
376,Hipodoxic 200 Tablet
377,Hipodoxime 100mg Tablet
378,Hipodoxime 200mg Tablet
379,Hipoflox 50mg Infusion
380,Hipoliv 5gm Injection
381,Hipose 0.5mg Tablet SR
382,Hipower 100mg Tablet
383,Hipower 50mg Tablet
384,Hippocef 1.5gm Injection
385,Hippocef 750mg Injection
386,Hippoclav 1000 mg/200 mg Injection
387,Hippoclav 500 mg/125 mg Tablet
388,Hiprazole 0.25mg Tablet
389,Hiprazole 0.5mg Tablet
390,Hiprazole 1mg Tablet SR
391,Hipres 100mg Tablet
392,Hipres 25 Tablet
393,Hipres 50 Tablet
394,Hipress 50 Tablet
395,Hipride 1mg Tablet
396,Hipril 10mg Tablet
397,Hipril 2.5mg Tablet
398,Hipril 5 Tablet
399,Hipril A Tablet
400,Hipro 250mg Tablet
401,Hipy 650mg Tablet
402,Hipy 650mg Tablet
403,Hipzol 0.5 SR Tablet
404,Hipzol 1 SR Tablet
405,Hipzol-Plus Tablet
406,Hirab 20mg Tablet
407,Hirabezole D 30mg/20mg Capsule
408,Hiraz 40mg Tablet
409,Hirepa 0.5mg Tablet
410,Hirepa 1mg Tablet
411,Hirepa 2mg Tablet
412,Hirepa MF 1mg/500mg Tablet
413,Hirepa MF 2mg/500mg Tablet
414,Hireto 60mg Tablet
415,Hireto 90mg Tablet
416,Hiril 5mg Tablet
417,Hirox 150mg Tablet
418,Hirudal Cream
419,Hirudal Cream
420,His 5mg Tablet
421,His Block M 5mg/10mg Tablet
422,His Block M Syrup
423,His Til 100mg Injection
424,His-Block Tablet
425,His-P 5mg/30mg/30mg Tablet
426,Hiscob G 300mg/500mcg Capsule
427,Hiscob Injection
428,Hiscob NT 75mg/10mg/1500mcg Tablet
429,Hiscob PF Capsule
430,Hiscob-C Injection
431,Hiscob-P Capsule
432,Hiscold Oral Drops
433,Hiscold Oral Drops
434,Hiscold Syrup
435,Hiscold Tablet
436,Hiscorn 5mg Tablet
437,Hisert 16mg Tablet
438,Hisert 50 Tablet
439,Hisert 8mg Tablet
440,Hiskast 5mg/10mg Tablet
441,Hismon LM Syrup
442,Hismon Tablet
443,Hisnic 16mg Tablet
444,Hisnic 8mg Tablet
445,Hisnofil 10mg Tablet
446,Hisolone 5mg Tablet
447,Hisone 10 Tablet
448,Hisone 20mg Tablet
449,Hisone 5 Tablet
450,Hisopro 40mg Tablet
451,Hisopro D 10mg/20mg Capsule
452,Hiss Syrup
453,Hisstacure 5mg Tablet DT
454,Hista 12 Tablet
455,Hista 120mg Tablet
456,Hista 16mg Tablet
457,Hista 3G Tablet
458,Hista AM 5 mg/60 mg Tablet
459,Hista BR Syrup
460,Hista CC Tablet
461,Hista DX Plus Syrup
462,Hista L 5mg/10mg Tablet
463,Hista L Kid 2.5mg/5mg Tablet
464,Hista LC Tablet
465,Hista Q Syrup
466,Histaban 10mg Tablet
467,Histaban 5mg Tablet
468,Histaban M Syrup
469,Histaban-M Tablet
470,Histabest-M Tablet
471,Histabil 2.5mg Oral Solution
472,Histabil Tablet
473,Histabus 16mg Tablet
474,Histabus 24mg Tablet
475,Histabus 8mg Tablet
476,Histac 150 Tablet
477,Histac 300 Tablet
478,Histac 50mg Injection 2ml
479,Histac Evt Tablet
480,Histac Evt Tablet Mint
481,Histac RD Capsule
482,Histacare Syrup
483,Histacare Tablet
484,Histacet 10mg Capsule
485,Histacet 10mg Tablet
486,Histacet 10mg Tablet
487,Histacet 5mg Syrup
488,Histacet Cold Oral Suspension
489,Histacet DA 10mg/325mg/5mg Tablet
490,Histacet L 5mg Tablet
491,Histacet LA Tablet
492,Histacet LM 5mg/10mg Tablet
493,Histacet LM Kid 2.5mg/5mg Tablet
494,Histacet Total Tablet
495,Histachek 5mg Tablet
496,Histacid Tablet
497,Histacof Syrup
498,Histacold DPS Oral Drops
499,Histacold Junior Oral Suspension
500,Histacold Suspension
501,Histacold-XT Tablet
502,Histacold-XT Tablet
503,Histacort B 0.5mg Tablet
504,Histacron Syrup
505,Histacross 180mg Tablet
506,Histacross L 10mg Tablet
507,Histacure 5mg Tablet
508,Histadale 16mg Tablet
509,Histaday 2.5mg/ml Syrup
510,Histadex P Syrup
511,Histadex Syrup
512,Histadin 5mg Tablet
513,Histadol 25 Tablet
514,Histadol 5mg/500mg/5mg Tablet
515,Histadol PD Oral Drops
516,Histadol Syrup
517,Histadol-DS Syrup
518,Histadril Syrup
519,Histafree 120 Tablet
520,Histafree 180 Tablet
521,Histafree Eye Drops
522,Histafree Suspension Raspberry & Vanilla
523,Histafree-M Tablet
524,Histaglobulin Injection
525,Histagon L 5mg/10mg Tablet
526,Histagra 120mg Tablet
527,Histagra 180mg Tablet
528,Histakam 25mg Tablet
529,Histakem 120mg Tablet
530,Histakem 180mg Tablet
531,Histakind 120mg Tablet
532,Histakind 180mg Tablet
533,Histakind 30mg/5ml Syrup
534,Histakind-M Tablet
535,Histakof Syrup
536,Histal 10mg Tablet DT
537,Histalev 5mg Tablet
538,Histalev A Plus Tablet
539,Histamet Tablet
540,Histamex 120mg Tablet
541,Histamex 180mg Tablet
542,Histamex M 10mg/120mg Tablet
543,Histamite 5mg Tablet
544,Histammune Cold 10mg/325mg/5mg Tablet
545,Histamol Syrup
546,Histamune 5mg Tablet
547,Histamune Cold Oral Suspension
548,Histamune FX 10mg/120mg Tablet
549,Histamune-M Syrup
