,items
0,Hobs 0.05% Cream
1,Hocaih O Oral Suspension
2,Hocaih O Oral Suspension
3,Hocam 20mg Tablet
4,Hocef 1000mg Injection
5,Hocef 250mg Injection
6,Hocef 500mg Injection
7,Hocef S 1000mg/500mg Injection
8,Hocef S 250mg/125mg Injection
9,Hocef T 1000mg/125mg Injection
10,Hocid 20mg Capsule
11,Hocid 20mg Tablet
12,Hocid-D 10mg/20mg Capsule
13,Hocold Tablet
14,Hodpro 50mg Capsule
15,Hofenac 75mg Injection
16,Hofim 100mg Tablet DT
17,Hofim 200mg Tablet DT
18,Hoflo 200mg Tablet
19,Hoflo O 200mg/500mg Tablet
20,Hogest 500 Injection
21,Holcef 100mg Tablet
22,Holcef 200mg Tablet
23,Holcef 50mg Dry Syrup
24,Holcef Dry Syrup
25,Hold 3D 50mg/325mg/10mg Tablet
26,Holday 5mg Syrup
27,Holderon 200mg Tablet
28,Holderon 400mg Capsule
29,Holdox 100mg Tablet
30,Holdox 200mg Tablet
31,Holdox Dry Syrup
32,Holl 100mg Tablet
33,Holl 200mg Tablet
34,Holl 50mg Dry Syrup
35,Holl DX 200mg/500mg Tablet SR
36,Holl O 100mg/100mg Tablet
37,Holl O 200mg/200mg Tablet
38,Holoxan 100mg/2gm Injection
39,Holoxan 1gm Injection
40,Holoxan 500mg Injection
41,Holoxan Uromitexan 200mg/1gm Injection
42,Holoxan Uromitexan comb pack injection
43,Holytel 40mg Tablet
44,Holytel AM 40mg/5mg Tablet
45,Holytel CH 40mg/12.5mg Tablet
46,Holytel CH 40mg/12.5mg Tablet
47,Holytel H 40mg/12.5mg Tablet
48,Holytel MT 40mg/50mg Tablet
49,Holytel Trio 40mg/5mg/12.5mg Tablet
50,Holzine 10 Tablet
51,Holzine 10mg Syrup
52,Holzine 25 Tablet
53,Homacid Eye Drop
54,Homarin Forte Eye Drop
55,Homarin Forte Eye Drop
56,Homatrapar 1% Eye Drop
57,Homatrapar 2% Eye Drop
58,Homatropine Eye Drop
59,Homatropine Eye Drop
60,Homatropine Eye Drop
61,Homcet 5mg Tablet
62,Homcet DP 5mg/500mg/5mg Tablet
63,Homide Eye Drop
64,Homisure Plus Injection
65,Homo 16 LC 500mg/1500mcg/1.5mg Tablet
66,Homo 16PG 75mg/10mg/1500mcg Tablet
67,Homocet Injection
68,Homovas PG 750mcg/75mg Tablet
69,Homycin 200mg Oral Suspension
70,Homycin 250 Tablet
71,Homycin 500 Tablet
72,Honda 2mg/5ml Syrup
73,Honda 4mg Tablet MD
74,Hondrea 500mg Capsule
75,Honex E 500mg/250mg Tablet
76,Honex M 500mg/250mg Tablet
77,Honeycef 200mg Tablet
78,Honeycef DS 50mg Tablet
79,Honeysip LS Expectorant
80,Honeysip Oral Suspension
81,Honset 25mg Injection
82,Honset 50mg Injection
83,Honvan MT 300mg Injection
84,Honvan Tablet
85,Honygra 50mg Tablet
86,Hooky 75mg Injection
87,Hopace 1.25 Tablet
88,Hopace 10 Tablet
89,Hopace 10 Tablet
90,Hopace 2.5 Tablet
91,Hopace 5 Tablet
92,Hopace 5 Tablet
93,Hopace AM 5 mg/2.5 mg Capsule
94,Hopace-H 2.5 Capsule
95,Hopace-H 5 Capsule
96,Hopace-MT 50 Tablet ER
97,Hopcef 200mg Tablet
98,Hope 0.25mg Tablet MD
99,Hope 0.5mg Tablet
100,Hope 100mg Capsule
101,Hope 1mg Tablet
102,Hope 200mg Capsule
103,Hope 2mg Tablet
104,Hope M  Tablet
105,Hopecard 1.25mg Capsule
106,Hopecard 10mg Capsule
107,Hopecard 2.5 Capsule
108,Hopecard 5 Capsule
109,Hopecard AM 5 mg/2.5 mg Capsule
110,Hopecard-H 2.5mg/12.5mg Capsule
111,Hopecard-H 5/12.5 Capsule
112,Hopein 1000mg Injection
113,Hoperab 20mg Tablet
114,Hoperab-DSR Capsule
115,Hoperam 1.25mg Tablet
116,Hoperam 2.5mg Tablet
117,Hopetel 40mg Tablet
118,Hopetel LN 10mg/40mg Tablet
119,Hopetel M 40mg/50mg Tablet ER
120,Hopetel-CT 40/12.5 Tablet
121,Hopetel-CT 80/12.5 Tablet
122,Hopicox 120mg Tablet
123,Hopicox 90mg Tablet
124,Hopicox MR 60mg/4mg Tablet
125,Hopnim 100mg Tablet
126,Hopnim MR Tablet
127,Hopnim P 100mg/500mg Tablet
128,Hopril 1.25mg Tablet
129,Hopril 10mg Tablet
130,Hopril 2.5mg Tablet
131,Hopril 5mg Tablet
132,Hopril H 10 mg/12.5 mg Tablet
133,Hopstin 1Million IU Injection
134,Hopstin Forte 2Million IU Injection
135,Hoptaz 4.5gm Injection
136,Horinon 200mg Capsule
137,Hormogest 300mg Tablet
138,Hormonorm 25mcg Tablet
139,Hormorin 100mg Capsule
140,Hormorin 200mg Capsule
141,Horn O 200mg/500mg Tablet
142,Horn O 50mg/5ml/125mg/5ml Suspension
143,Horn Tablet
144,Horo 100mg Tablet
145,Horo 200 Tablet
146,Horo 200 Tablet
147,Horo 50mg Oral Suspension
148,Horo-OZ Tablet
149,Horosis 25mg Injection
150,Hoscob 1500mcg Injection
151,Hoscob 2500mcg Injection
152,Hoscob G 300mg/500mcg Tablet
153,Hoscob P 750mcg/75mg Capsule
154,Hoscob Plus Injection
155,Hoscyp Syrup
156,Hosflam MR 100mg/325mg/250mg Tablet
157,Hosflam P 100mg/325mg Tablet
158,Hosflam P Oral Suspension
159,Hosflam SP 100mg/325mg/15mg Tablet
160,Hosit 500mcg Injection
161,Hosit-L Tablet
162,Hosizol Tablet
163,Hoslin 4000mg/500mg Injection
164,Hosnim 250mg Oral Suspension
165,Hosnim 650mg Tablet
166,Hosnim M DS Oral Suspension
167,Hosnim M Oral Suspension
168,Hosnim P 100mg/325mg Tablet
169,Hosol Cream
170,Hosol F Cream
171,Hosol Lotion
172,Hosol S Ointment
173,Hosol-S6 Lotion
174,Hospicasp 50mg Injection
175,Hospicasp 70mg Injection
176,Hospicasp 70mg Injection
177,Hospicin B 50mg Injection
178,Hospilid 200mg Infusion
179,Hospilid 600mg Tablet
180,Hospimol 1000mg Infusion
181,Hospimycin 500mg Injection
182,Hospisone 40 Injection
183,Hospitaz 1000mg/125mg Injection
184,Hospitaz Injection
185,Hosrol 20mg Capsule
186,Hosrol D 10mg/20mg Capsule
187,Hostacortin H 5mg Tablet
188,Hostacycline 250mg Capsule
189,Hostacycline 500 Capsule
190,Hostaom 20mg Capsule
191,Hostaom DSR Capsule
192,Hotclav 250mg/125mg Tablet
193,Hotoclo 25mg Tablet
194,Hover 100mg Tablet DT
195,Hover 200mg Tablet
196,Hover 50mg Dry Syrup
