,items
0,Huaderm Cream
1,Huadin Ointment
2,Hubec-SP Tablet
3,Hucef O 50mg Dry Syrup
4,Huch D3 Injection
5,Huch Injection
6,Huch OD 20mg Tablet
7,Huchnil Adult 0.1% Nasal Spray
8,Huchnil P 0.05% Nasal Spray
9,Huchogon 10000IU Injection
10,Huchogon 2000IU Injection
11,Huchogon 5000IU Injection
12,Huclav 375 Tablet
13,Huclav 625mg Tablet
14,Hucof DX Syrup
15,Hucof Syrup
16,Hucrogon 5000IU Injection
17,Huelin Injection
18,Huflox 400mg Tablet
19,Huflox-OZ Tablet
20,Hugosin Tablet
21,Hugosin-CT Tablet
22,Hugosin-Plus Tablet
23,Huicold Plus Syrup
24,Huicold Plus Tablet
25,Hulez 20mg Tablet
26,Hulez DSR 30 mg/20 mg Capsule
27,Humac Tablet
28,Humaject 100IU/ml Injection
29,Humaject R 100IU/ml Injection
30,Humalog 100IU/ml Kwikpen
31,Humalog 100IU/ml Solution for Injection
32,Humalog 200IU/ml Kwikpen
33,Humalog Mix 25 100IU/ml Cartridge
34,Humalog Mix 25 Kwikpen 100IU/ml
35,Humalog Mix 50 100IU/ml Cartridge
36,Humalog Mix 50 Kwikpen 100IU/ml
37,Human Actrapid 40IU/ml Solution for Injection
38,Human Albumin 5% Infusion
39,Human Albumin Infusion
40,Human Fastact 40IU/ml Injection
41,Human Insulatard 40IU/ml Suspension for Injection
42,Human Insunorm 40IU/ml Injection
43,Human Interact 40IU/ml Injection
44,Human Interact 40IU/ml Injection
45,Human Mixact 30/70 Injection 40IU/ml
46,Human Mixtard 50 Injection 40IU/ml
47,Human Mixtard 70/30 Suspension for Injection 100IU/ml
48,Human Mixtard 70/30 Suspension for Injection 40IU/ml
49,Human Monotard 100IU/ml Injection
50,Human Monotard 40IU/ml Injection
51,Human Rapidica 40IU/ml Injection
52,Human Zinulin 40IU/ml Injection
53,Humanc P Tablet
54,Humanext N 40IU/ml Injection
55,Humarap 40IU/ml Injection
56,Humase K 50 mg/10 mg Tablet
57,Humatrope 18IU Injection
58,Humatrope 36IU Injection
59,Humclid 300mg Capsule
60,Humclid 600mg Injection
61,Humegon 75IU Injection
62,Humicef-O Tablet
63,Humiclav 500mg/125mg Tablet
64,Humin 20% Infusion
65,Huminac SP 100mg/325mg/15mg Tablet
66,Huminac-P Tablet
67,Huminsulin  30/70 100IU/ml Cartridge 3ml
68,Huminsulin  30/70 Solution for Injection 40IU/ml
69,Huminsulin  30/70 Suspension for Injection 100IU/ml
70,Huminsulin  50/50 Injection 100IU/ml
71,Huminsulin  50/50 Suspension for Injection 40IU/ml
72,Huminsulin N 100IU/ml Cartridge
73,Huminsulin N 100IU/ml Injection
74,Huminsulin N 40IU/ml Injection
75,Huminsulin R 100IU Cartridge
76,Huminsulin R 100IU/ml Solution for Injection
77,Huminsulin R 40IU/ml Injection
78,Humog 150 HP Injection
79,Humog 150 Injection
80,Humog 75 HP Injection
81,Humog 75 Injection
82,Humogen-BCG 40mg Injection
83,Humosar HP 10000IU Injection
84,Humosar HP 5000IU Injection
85,Humstard 30/70 Injection 40IU/ml
86,Humunis 5000IU Injection
87,Hunger Oral Drops
88,Hunger Syrup
89,Hungermac Syrup Sugar Free
90,Hungree Syrup
91,Hungree Syrup Strawberry
92,Hungry Syrup
93,Hungry Syrup
94,Hungsyp Syrup
95,Hunim-P Tablet
96,Huntred 20mg Injection
97,Huricstat 120mg Tablet
98,Huricstat 40mg Tablet
99,Huricstat 80mg Tablet
100,Hurtiz 20mg Tablet
101,Hurtiz D 10mg/20mg Tablet SR
102,Hurtiz DSR 30mg/20mg Capsule
103,Hustus Expectorant
