,items
0,IN 1.5mg Tablet SR
1,IN OM 20mg Tablet
2,INABUTOL FORTE 300MG/800MG TABLET
3,INAPURE 7.5 MG TABLET
4,INAREM 500MG INJECTION
5,INBALANSE INJECTION
6,IND SR 1.5mg Tablet
7,INDOC 75 MG TABLET SR
8,INDUCENT 150 MG INJECTION
9,INDUKT 2.5 MG TABLET
10,INFERT 50 MG TABLET
11,INFEZ 4 TABLET
12,INFLACURE P 50 MG/325 MG TABLET
13,INFLAMOL SP TABLET
14,INFUNOR 2MG INJECTION
15,INNOHEP 3500 IU INJECTION
16,INNOHEP 4500 IU INJECTION
17,INOR-T TABLET
18,INRAB 20 MG TABLET
19,INRAB 20 MG TABLET
20,INRAB D  CAPSULE SR 30 MG/20 MG
21,INSTREL GEL
22,INTASAM 200 MG TABLET
23,INTASAM 400 MG TABLET
24,INTASAM 400 MG TABLET
