,items
0,Iba 150mg Tablet
1,Ibalert 5mg Tablet
2,Ibalert M 5mg/10mg Tablet
3,Ibalert M Kid Syrup
4,Ibalert ODS 5mg Tablet DT
5,Iban Plus Tablet
6,Ibanplus -Kit
7,Ibatkin 100mg Capsule
8,Ibatkin 400mg Capsule
9,Ibawin 150mg Tablet
10,Ibaxit 40mg Tablet XR
11,Ibaxit 80mg Tablet XR
12,Ibcef 250mg Tablet
13,Ibcef 500 Tablet
14,Ibcil 10mg Tablet
15,Ibcil 20mg Tablet
16,Ibcil 5mg Tablet
17,Ibcil M 10mg/25mg Tablet ER
18,Ibcin 500mg Injection
19,Ibclop 75mg Tablet
20,Ibclop A Capsule
21,Ibdine 5 Tablet
22,Ibeln 10mg/10mg Tablet
23,Iben Plus 200 mg/325 mg Tablet
24,Iberin 2.5mg/5mg/10mg Tablet
25,Ibflux Oral Solution
26,Ibformin 1GM SR Tablet
27,Ibformin SR 500MG Tablet
28,Ibformin-G 0.5 Tablet
29,Ibformin-G 1 Tablet PR
30,Ibformin-G2 Tablet PR
31,Ibformin-G2 Tablet PR
32,Ibgliptin 20 Tablet
33,Ibgliptin-M 1000 Tablet SR
34,Ibgliptin-M 500 Tablet SR
35,Ibialert 5mg Tablet
36,Ibiapt 2mg Syrup
37,Ibibec Nexcap
38,Ibibec Nexcap
39,Ibibull 250mg Suspension
40,Ibibull 650mg Tablet ER
41,Ibibull IV Infusion
42,Ibibull T 325mg/37.5mg Tablet
43,Ibicasp 50mg Injection
44,Ibiclav 500mg/125mg Tablet
45,Ibiclav Dry Syrup
46,Ibiclear 10gm Suspension
47,Ibicolist 1Million IU Injection
48,Ibicolist 2Million IU Injection
49,Ibicolist 3Million IU Injection
50,Ibicolist 4.5MIU Injection
51,Ibicox 100 mg/500 mg Tablet
52,Ibicox MR Tablet
53,Ibicox SP 100 mg/500 mg/15 mg Tablet
54,Ibidarb 100mcg Injection
55,Ibidarb 200mcg Injection
56,Ibidarb 40mcg Injection
57,Ibiderm Ointment
58,Ibifax C Tablet
59,Ibifax O Tablet
60,Ibifix 200 Tablet
61,Ibifix 400 Tablet
62,Ibiflo 125 Nexhaler
63,Ibiflo 250 Nexhaler
64,Ibiflo 6mcg/250mcg Nexcap
65,Ibiflo-S 125 Nexhaler
66,Ibiflo-S 250 Nexhaler
67,Ibiflo-S 50mcg/250mcg Nexcap
68,Ibiflo-S 50mcg/500mcg Nexcap
69,Ibiflora Oral Suspension
70,Ibiflox 250mg Tablet
71,Ibiflox 500mg Tablet
72,Ibiflox 750mg Tablet
73,Ibifosp 4gm Injection
74,Ibigest 100mg Capsule
75,Ibigest 200mg Capsule
76,Ibigest 400mg Capsule
77,Ibigest 400mg Capsule
78,Ibigest SR 200 Capsule
79,Ibigest SR 300 Capsule
80,Ibikast F 10mg/120mg Tablet
81,Ibikast L 5mg/10mg Tablet
82,Ibikast L Kid Syrup
83,Ibikast LF Tablet
84,Ibikof LS Plus Syrup
85,Ibikof LS Syrup
86,Ibikof Syrup
87,Ibilul Cream
88,Ibilul Lotion
89,Ibimeft 500mg/250mg Tablet
90,Ibimero 1000mg Injection
91,Ibimero 500mg Injection
92,Ibimero S 1000mg/500mg Injection
93,Ibimica 50mg Injection
94,Ibimox 625 Tablet
95,Ibimox BD Oral Suspension
96,Ibimox DS 400mg/5ml/57mg/5ml Dry Syrup
97,Ibinase Nasal Spray
98,Ibinator 100 Capsule
99,Ibinator 100 Capsule
100,Ibinator 200 Capsule
101,Ibinator 200mg Capsule
102,Ibinest Soft Gelatin Capsule
103,Ibinide 200 Nexcap
104,Ibinide 200 Nexhaler
105,Ibinide 400 Nexhaler
106,Ibinide 6mcg/400mcg Nexcap
107,Ibipanto 40mg Tablet
108,Ibipanto D Tablet
109,Ibipanto Injection
110,Ibipitaz 4000mg/500mg Powder for Injection
111,Ibipod 100mg Tablet DT
112,Ibipod 200mg Tablet DT
113,Ibipod 50mg Dry Syrup
114,Ibipod CV 200mg/125mg Tablet
115,Ibipod CV Syrup
116,Ibipod Dry Syrup
117,Ibipolid 1mg Capsule
118,Ibipolid 2mg Capsule
119,Ibiran Syrup
120,Ibires B 200mcg/100mcg Nexcap
121,Ibires I 200mg/40mcg Nexcap
122,Ibires Nexhaler
123,Ibirest 5mg/2.5mg Tablet
124,Ibisert 2% Cream
125,Ibitan 5mg Tablet
