,items
0,Idalev 250mg Tablet
1,Idalev 500mg Tablet
2,Idalez 5mg Tablet
3,Idapride 1mg Tablet
4,Idapride 2mg Tablet
5,Idapride PM 2mg/500mg/15mg Tablet
6,Idascend D Tablet
7,Idclo-SP Tablet
8,Idcold Tablet
9,Idea 100mg/500mg Tablet
10,Idea SP Tablet
11,Ideal Fos 250mg Injection
12,Ideal Fos 500mg Injection
13,Ideben Tablet
14,Idec 25mg Injection
15,Ideflox 200mg Tablet
16,Ideflox MZ Syrup
17,Ideflox O 200mg/500mg Tablet
18,Idegen 45mg Tablet
19,Idehist 8mg Tablet
20,Idemol 100mg Oral Drops
21,Idemox 125mg Capsule
22,Idemox 250mg Capsule
23,Idemox 500mg Capsule
24,Idenac P 50mg/500mg Tablet
25,Ideox 45mg Tablet
26,Idepex 0.5% Eye Drop
27,Idetel 40mg Tablet
28,Idetor 10mg Tablet
29,Idetor 20mg Tablet
30,Idetor 40mg Tablet
31,Idetor 80mg Tablet
32,Idevak 0.5% Eye Drop
33,Idezovir-L 800mg Tablet
34,Idiaqua Injection
35,Idiazepam 10 Injection
36,Idiazepam 2 Injection
37,Idicin 25mg Capsule
38,Idicin P 25 mg/500 mg Tablet
39,Idifulvin 125mg Tablet
40,Idifulvin 250mg Tablet
41,Idilan 10mg Tablet
42,Idilan 20mg Tablet
43,Idilan 40mg Tablet SR
44,Idinir 300mg Tablet
45,Idinir D 125mg Syrup
46,Idix 10 CR Tablet
47,Idix 20 CR Tablet
48,Idlip F 160mg/10mg Tablet
49,Idlom 30mg Tablet
50,Idlom 6mg Tablet
51,Idmas Cream
52,Idofnib 100 Soft Gelatin Capsule
53,Idofnib 150 Soft Gelatin Capsule
54,Idol 50mg Injection
55,Idometrin 200 mg/500 mg Capsule
56,Idometrin 200 mg/500 mg Syrup
57,Idometrin F Suspension
58,Idometrol Tablet
59,Idon MD Tablet
60,Idon Oral Drops
61,Idopar Gargle
62,Idope Eye Drop
63,Idovine Gargle
64,Idoxy 100mg Tablet
65,Idoz 1.5mg Tablet
66,Idozid 1000mg Injection
67,Idrocid O Syrup
68,Idrofos 150 Tablet
69,Idrofos 3 Injection
70,Idrofos 50mg Tablet
71,Idrofos Kit
72,Idromet 50mg Tablet
73,Idromet 6mg Injection
74,Idrov 80mg Tablet
75,Iduki 6mg Tablet
