,items
0,Ig Mox 0.5% Eye Drop
1,IgPL3 Capsule
2,Igalin-SR 75 Tablet
3,Igantet 250IU Injection
4,Igat Eye/Ear Drops
5,Igdec 50mg Injection
6,Igforce 100mg Capsule
7,Igforce 200mg Capsule
8,Iglax Suspension
9,Iglax Tablet
10,Iglim MV 2 mg/500 mg/0.2 mg Tablet
11,Iglim MV Tablet
12,Ignipod 100mg Tablet DT
13,Ignipod 100mg Tablet DT
14,Ignipod 200 Tablet
15,Ignipod 50mg Tablet DT
16,Ignis 30 mg/20 mg Capsule
17,Ignocid Oral Gel Saunf Sugar Free
18,Igodol P 100mg/325mg Tablet
19,Igodol SP Tablet
20,Igot 400mg Tablet
21,Igracef 1000mg Injection
22,Igracef 250mg Injection
23,Igracef CS 1000mg/500mg Injection
24,Igracef S 1000mg/500mg Injection
25,Igrazone 1000mg/500mg Injection
26,Igrazone S 1000mg/500mg Injection
27,Igrazone S 500mg/500mg Injection
28,Igthro 250mg Tablet
29,Igthro 500mg Tablet
30,Igurati 25mg Tablet
31,Igwok Solution for Infusion
