,items
0,Ila 5 10mg Tablet
1,Ila 5 D 30mg/10mg Capsule
2,Ilabest 10mg Tablet
3,Ilabest 5mg Tablet
4,Ilabus 10mg Tablet
5,Ilacare Tablet
6,Ilacool D 30mg/10mg Capsule SR
7,Iladac 10 Tablet
8,Iladac 5mg Tablet
9,Iladac DSR Capsule
10,Iladac L Capsule PR
11,Iladay 10mg Tablet
12,Iladay DSR  30 mg/10 mg Capsule SR
13,Iladif 10mg Tablet
14,Iladom 30 mg/10 mg Capsule
15,Ilafos 10mg Tablet
16,Ilagate 10mg Tablet
17,Ilagate 5mg Tablet
18,Ilage 10mg Tablet
19,Ilahil 10mg Tablet
20,Ilahil L 75mg/10mg Capsule
21,Ilaking 10mg Tablet
22,Ilamax 10 Tablet
23,Ilamed DSR Capsule
24,Ilamust 10mg Tablet
25,Ilanew 10mg Tablet
26,Ilanew-DSR Capsule
27,Ilanol D 30mg/10mg Capsule SR
28,Ilanol LS 75mg/10mg Capsule SR
29,Ilantra 10mg Tablet
30,Ilantra Lsr 75mg/10mg Capsule
31,Ilaone 10mg Tablet
32,Ilapax DSR Capsule
33,Ilapro 10 Tablet
34,Ilapro 5mg Tablet
35,Ilapro D Capsule PR
36,Ilaraz 20 Tablet
37,Ilastar 100mg Capsule
38,Ilastar 200mg Capsule
39,Ilatap 10mg Tablet
40,Ilatap 10mg Tablet
41,Ilatap D 30mg/10mg Capsule SR
42,Ilatop 10mg Tablet
43,Ilatop 5mg Tablet
44,Ilatuf 10 Tablet
45,Ilavib D 30mg/10mg Capsule SR
46,Ilawin D 30mg/10mg Capsule SR
47,Ilazine 10mg Tablet
48,Ilcinet 20mg Soft Gelatin Capsule
49,Ildamen 24mg Tablet
50,Ildamen Injection
51,Ildol SP 100mg/325mg/10mg Tablet
52,Ildolate T 250mg/250mg Tablet
53,Ildomex 2.5 Tablet
54,Ildomex 5 Tablet
55,Ildomex-AT Tablet
56,Ildorab D 30mg/20mg Capsule SR
57,Ildosulide P 100mg/325mg Tablet
58,Ilet 1mg Tablet
59,Ilet 2mg Tablet
60,Ilet BP 1 Tablet
61,Ilet BP 2 Tablet SR
62,Iletin NPH 40IU/ml Injection
63,Ilevro Opthalmic Suspension
64,Iliac 10mg Tablet
65,Ilid 600mg Tablet
66,Ilidotrans Transdermal Patch
67,Ilife 0.5% Eye Drop
68,Ilin Eye Drop
69,Ilin MC Eye Drop
70,Ilizip 200mg Capsule
71,Illah 10mg Tablet
72,Illmont F 10mg/120mg Tablet
73,Illmont LC 5mg/10mg Tablet
74,Illmont Syrup
75,Illtradol P 37.5mg/325mg Tablet
76,Illuvog 0.2mg Tablet
77,Illuvog 0.3mg Tablet
78,Illuvog M 500mg/0.2mg Tablet
79,Illuvog M 500mg/0.3mg Tablet
80,Ilobril 1mg Tablet
81,Ilobril 2mg Tablet
82,Ilobril 4mg Tablet
83,Ilobril 6mg Tablet
84,Ilobril 8mg Tablet
85,Ilocit Tablet
86,Ilofast 10mg Tablet
87,Ilofast 12mg Tablet
88,Ilofast 1mg Tablet
89,Ilofast 2mg Tablet
90,Ilofast 4mg Tablet
91,Ilofast 6mg Tablet
92,Ilofast 8mg Tablet
93,Ilofex 120mg Tablet
94,Ilofex 30mg Syrup
95,Ilofex M 10mg/120mg Tablet
96,Ilopride 1mg Tablet
97,Ilopride 2mg Tablet
98,Ilopride 4mg Tablet
99,Ilopride 6mg Tablet
100,Ilopride 8mg Tablet
101,Ilosure 1mg Tablet
102,Ilosure 2 Tablet
103,Ilosure 4 Tablet
104,Ilosure 6mg Tablet
105,Ilosure 8mg Tablet
106,Ilovator 2 Tablet
107,Ilovator 4 Tablet
108,Ilovator 6 Tablet
109,Ilpa D 30mg/10mg Capsule SR
110,Ilrin 50mg Capsule
111,Ilsar 40 Tablet
112,Ilsar 80 Tablet
113,Iltauf D 30mg/10mg Capsule SR
114,Iltauf L 75mg/10mg Capsule SR
115,Ilu 2mg Syrup
