,items
0,In Moxy 0.5% Eye Drop
1,In Moxy P Eye Drop
2,In-Oz Syrup
3,In-Oz Tablet
4,Ina 100mg Capsule
5,Ina 200mg Capsule
6,Inac 25mg Injection
7,Inac 50 Tablet
8,Inac 75mg Injection
9,Inac Gel
10,Inac MR 250mg/50mg/325mg Tablet
11,Inac P 50 mg/500 mg Tablet
12,Inace 5 mg/5 mg Tablet
13,Inacet 5mg Tablet
14,Inacet M 5mg/10mg Tablet
15,Inacet M Syrup
16,Inacort 6mg Tablet
17,Inaday 20mg Capsule
18,Inafin Cream
19,Inafin Tablet
20,Inalam L Tablet
21,Inamycin 0.3% Eye Drop
22,Inane 100mg Tablet
23,Inane 200mg Tablet SR
24,Inane-P 100mg/500mg Tablet
25,Inapure 2.5mg Tablet
26,Inapure 5 Tablet
27,Inapure ER 10 Tablet
28,Inapure ER 15 Tablet
29,Inarem 250mg Injection
30,Inart Injection
31,Inat 50mg/1.5mg Tablet
32,Inatos 300mg/10mg Tablet
33,Inazit 250mg Tablet
34,Inazit 500mg Tablet
35,Inazole 100 Capsule
36,Inazole 200 Capsule
37,Inbac Kit 500mg/500mg Injection
38,Inbec 400mg Capsule
39,Inbilt 5% Solution
40,Incacef 200 Tablet DT
41,Incacef 50mg Dry Syrup
42,Incacef-O Tablet
43,Incagesic Tablet
44,Incagesic-SP Tablet
45,Incagesic-Spas Tablet
46,Incam 20mg Tablet DT
47,Incamox-CV 625 Tablet
48,Incamox-CV DS Dry Syrup
49,Incamox-CV Dry Syrup
50,Incapan D 10mg/40mg Tablet
51,Incapod 200 Tablet DT
52,Incapod 50mg Dry Syrup
53,Incasal DS 2mg Tablet
54,Incasal Syrup
55,Incasal Tablet
56,Incazi 100mg Suspension
57,Incazi 200mg Suspension
58,Incazi Tablet
59,Incef 200LB Tablet
60,Incef 200mg Tablet DT
61,Inceff 100mg Tablet
62,Inceff 200mg Tablet
63,Inceff 50mg Dry Syrup
64,Inceff AZ 200mg/250mg Tablet
65,Inceff CV 200mg/125mg Tablet
66,Incefzone 1.5gm Injection
67,Incefzone 1gm Injection
68,Incep 100mg Tablet
69,Incep-Cold Tablet
70,Inceptova FSH Injection
71,Inceptova HCG 10000IU Injection
72,Inceptova HCG 5000IU Injection
73,Inceptova HMG Injection
74,Incerin GM 50mg/750mg/250mg Tablet
75,Incet 10mg Tablet
76,Incet L 5mg Tablet
77,Incet Tablet
78,Incetin 10mg Tablet
79,Incetin LV 5mg Tablet
80,Incetin Syrup
81,Incetram P 37.5mg/325mg Tablet
82,Incetram P 37.5mg/325mg Tablet
83,Incez 10mg Tablet DT
84,Inciclav Dry Syrup
85,Inciclav LB 500mg/125mg Tablet
86,Incid Air Tablet
87,Incid Ultra Tablet
88,Incid-L 5mg/5ml Syrup
89,Incid-L Tablet
90,Incid-MD Tablet
91,Incilin TZ 4000mg/500mg Injection
92,Incinor 5 Tablet
93,Incio 200 Tablet
94,Incio NZ Oral Suspension
95,Incio OZ Oral Suspension
96,Incio-FX Tablet
97,Incio-OZ Tablet
98,Incipod 100mg Tablet
99,Incipod 200mg Tablet
100,Incipod CV 200mg/125mg Tablet
101,Incipod CV Dry Syrup
102,Incipod CV Dry Syrup
103,Incipro 500mg Tablet
104,Incitazim 4000mg/500mg Injection
105,Incitazim Injection
106,Inclab 625 Tablet
107,Inclab Dry Syrup
108,Inclav 625 Tablet
109,Inclave-LB 625 Tablet
110,Inclo P 100mg/200mg Tablet
111,Inclop 10mg/75mg Tablet
112,Include-DSR 30mg/20mg Capsule
113,Include-L Capsule
114,Incoba 1500mcg Injection
115,Incoba Forte Injection
116,Incoff DM Syrup
117,Incold Syrup
118,Incontrol 850mg Tablet
119,Incot Plus 25mg/2mg/5mg Tablet
120,Incough DX Syrup
121,Increta 20mg Tablet
122,Increten 20mg Tablet
123,Increten M 500mg/20mg Tablet
124,Increvil M 500mg/50mg Tablet
125,Incriten 20mg Tablet
126,Incriten M 500mg/20mg Tablet
127,Incuf DX Syrup
128,Incyst M 500mg/600mg Tablet
129,Ind Rox 150mg Tablet
130,Indac 25mg Injection
131,Indac 50mg Injection
132,Indagra 50mg Tablet
133,Indalfate O Oral Suspension
134,Indamol 500mg Tablet
135,Indamol 650mg Tablet
136,Indamol AC 100mg/500mg Tablet
137,Indap 1.5mg Tablet SR
138,Indap 2.5mg Tablet
139,Indap AT 50 mg/1.25 mg Tablet
140,Indapace 10mg Tablet
141,Indapace 5mg Tablet
142,Indard 75mg Injection
143,Indard 75mg Injection
144,Indard-DMR Tablet
145,Indard-MR Tablet
146,Indard-P 100mg/325mg Tablet
147,Indard-P Syrup
148,Indard-SP Tablet
149,Indard-T 100mg/4mg Tablet
150,Indarox 150mg Tablet
151,Indase 100mg/10mg Tablet
152,Indaxin B6 10 mg/10 mg Tablet
153,Indben 400mg Chewable Tablet
154,Indben Oral Liquid
155,Indben-I Syrup
156,Indcef 50mg Dry Syrup
157,Indcef 50mg Dry Syrup
158,Indcip 250mg Tablet
159,Indclav 1000 Tablet
160,Indclav 1000 mg/200 mg Injection
161,Indclav 200mg/28.5mg Tablet DT
162,Indclav 375 Tablet
163,Indclav 625 Tablet
164,Indclav Bid 228 Dry Syrup
165,Indclav DS 200 mg/28.5 mg Syrup
166,Indclav LB 500mg/125mg Tablet
167,Indclav LB 875mg/125mg Tablet
168,Indclav LB 875mg/125mg Tablet
169,Indclav LB Tablet
170,Indclox LB Capsule
171,Indcobal 300mg/500mcg Capsule
172,Indcon 150mg Tablet
173,Indcort 6 Tablet
174,Indease 400mg Capsule
175,Indec 25mg Injection
176,Indec 50mg Injection
177,Indecare 10mg Tablet
178,Indecare 40mg Tablet
179,Indefast 250mg Tablet
180,Indefast 500 Tablet
181,Indefast 500 Tablet
182,Inderal 10 Tablet
183,Inderal 20mg Tablet
184,Inderal 40 Tablet
185,Inderal F 10 Tablet SR
186,Inderal F 5 Tablet SR
187,Inderal LA 20 Tablet SR
188,Inderal LA 40 Tablet SR
189,Inderal LA 80mg Tablet
190,Inderyth 250mg Tablet
191,Inderyth Suspension
192,Indform  Tablet
193,Indiaflam Tablet MD
194,Indiaflam Tps Tablet
195,Indibon-D70 Tablet
196,Indicard 2.5mg Tablet
197,Indicobal 1500mcg Injection
198,Indicobal G 300mg/500mcg Tablet
199,Indicobal M 750mcg/75mg Tablet
200,Indicobal Plus Injection
201,Indifast 500mg Tablet
202,Indigel M Suspension
203,Indikof A  Syrup
204,Indikof A Plus Syrup
205,Indikof B Syrup
206,Indikof C Syrup
207,Indikof LS Syrup Sugar Free
208,Indikof LS Syrup Sugar Free
209,Indikof P Syrup
210,Indinate 50mg Tablet
211,Indinate Injection
212,Indinol 1.5mg Tablet SR
213,Indipa Eye Drop
214,Indipenam 1gm Injection
215,Indiper Cream
216,Indiquin 250mg Tablet
217,Indirab 2.5IU Injection
218,Indison M 16mg Tablet
219,Indispas 10mg/250mg Tablet
220,Inditel 20 Tablet
221,Inditel 40 Tablet
222,Inditel 80 Tablet
223,Inditel AH 40 Tablet
224,Inditel AM 80 Tablet
225,Inditel AM Tablet
226,Inditel CH 40 Tablet
227,Inditel CH 6.25 Tablet
228,Inditel CH 80 Tablet
229,Inditel D Capsule SR
230,Inditel H 40 Tablet
231,Inditel H 80 Tablet
232,Inditel MX 40 mg/25 mg Tablet
233,Inditel MX 50 Tablet ER
234,Indither 150mg Injection
235,Indither 80mg Tablet
236,Indither Injection
237,Indither Injection
238,Inditor -SR Tablet
239,Inditor 2.5mg Tablet
240,Indivan 400mg Capsule
241,Indivert Plus 8mg Tablet
242,Indizole 100mg Capsule
243,Indizole 200mg Capsule
244,Indizole 20mg Tablet
245,Indizon 1.5mg Tablet
246,Indlevo 250mg Tablet
247,Indlevo 500mg Tablet
248,Indlevo 750mg Tablet
249,Indlevo OZ 250 mg/500 mg Tablet
250,Indlide 100mg/500mg Tablet
251,Indlide 100mg/500mg Tablet
252,Indloxp 4 mg/500 mg Tablet
253,Indloxp Forte 8 mg/500 mg Tablet
254,Indo 1mg Injection
255,Indobact 500mg/500mg Injection
256,Indobest 25mg Tablet
257,Indobiotic Ear Drop
258,Indobol 25mg Injection
259,Indobol 50mg Injection
260,Indobolin 25mg Injection
261,Indobolin 50mg Injection
262,Indocap Capsule
263,Indocap SR Capsule
264,Indocart-G Tablet
265,Indocef 1000mg Injection
