,items
0,Iobet Eye Drop
1,Iobrim Eye Drop
2,Iobrim T Eye Drop
3,Iocef S 500mg/500mg Injection
4,Iocef-CS 1.5gm Injection
5,Iocep 125mg Tablet
6,Iocip 250mg Tablet
7,Iocip 500mg Tablet
8,Iodiap Ointment
9,Iodine Solution
10,Ioditune 10% Ointment
11,Ioditune Plus Ointment
12,Iodo 100mcg Tablet
13,Iodo 100mcg Tablet
14,Iodol 100mg Tablet
15,Iodolan 1% Gargle
16,Ioera T 4000mg/500mg Injection
17,Iofen 100mg Tablet
18,Iofen Plus 100mg/500mg Tablet
19,Iofix 100mg Tablet
20,Iofix 200mg Tablet
21,Iofix Syrup
22,Ioflame P 100mg/500mg Tablet
23,Ioflox 200mg Tablet
24,Ioflox 400mg Tablet
25,Iogat 400mg Tablet
26,Ioglime-ER Tablet
27,Iomax 500mg Tablet
28,Iomet 1000mg Tablet SR
29,Iomet G 1mg/500mg Tablet SR
30,Iomet G 2mg/500mg Tablet SR
31,Iomet VG 1mg/500mg/1mg Tablet SR
32,Iomet VG 2mg/500mg/1mg Tablet SR
33,Iomide 250mg Tablet
34,Iondan Injection
35,Iondom Capsule SR
36,Ionim 100mg Tablet MD
37,Ionozem 30mg Tablet
38,Ionozem CD 120mg Tablet
39,Ionozem CD 90mg Tablet
40,Iopar-SR Capsule
41,Ioprep Solution
42,Ioprep Solution
43,Ioprost Eye Drop
44,Ioptame Eye Drop
45,Ioril 10mg Tablet
46,Ioril 40mg Tablet
47,Iorox 150mg Tablet
48,Iorox 50mg Tablet
49,Iospar 200mg Tablet
50,Iotil 500 Tablet
51,Iotil CV 500mg/125mg Tablet
52,Iotim B Ophthalmic Solution
53,Iotim Eye Drop
54,Iotim Plus Eye Drop
55,Iotrim Eye Ointment
56,Iotum O 250mg Tablet
57,Iotum O 500mg Tablet
58,Ioxim O 100mg Tablet DT
59,Ioxim O 200mg Tablet DT
60,Ioxim O 50mg Dry Syrup
61,Ioxim O CL 200mg/125mg Tablet
62,Ioxim O CL Dry Syrup
63,Ioxim O Kid 50mg Tablet DT
64,Ioxim OF 200mg/200mg Tablet
