,items
0,Ipacare 1000mg Injection
1,Ipacare TZ 250mg/31.25mg Injection
2,Ipain 50mg Injection
3,Ipain 75mg Tablet SR
4,Ipamide 2gm Injection
5,Ipamide with Mesna Injection
6,Ipasdol 50mg Injection
7,Ipcacin Kid 100 mg/100 mg Tablet
8,Ipcazide 100 mg/5 mg Syrup
9,Ipecee 400 mg/500 mg/65 mg Tablet
10,Ipen 40mg Tablet
11,Ipen Cil 500 mg/500 mg Injection
12,Ipen Cil 500 mg/500 mg Injection
13,Ipen-D Tablet
14,Iphaclav 228.5 Dry Syrup
15,Iphaclav 625 Tablet
16,Iphalip C Syrup
17,Iphardin D  Syrup
18,Iphardin M Syrup
19,Iphytoral 100mg Capsule
20,Iphytoral 200mg Capsule
21,Ipime-S 1000mg/500mg Injection
22,Ipime-S Forte 2000mg/1000mg Injection
23,Ipime-T 1000mg/125mg Injection
24,Iplox 200mg Tablet
25,Ipm 400 mg/325 mg/100 mg Tablet
26,Ipneb Solution for inhalation
27,Ipod 100mg Tablet DT
28,Ipod 100mg/5ml Dry Syrup
29,Ipod 200mg Tablet
30,Ipod 50mg Dry Syrup
31,Ipodex 100mg Tablet DT
32,Ipodine S Ointment
33,Ipoget 1gm Injection
34,Ipoget 2gm Injection
35,Ipoget 2gm Injection
36,Ipradin LS 100mcg/40mcg Divicap
37,Ipradin LS 50mcg/20mcg Inhaler
38,Iprag M 500mcg/75mg Tablet
39,Ipramist 250mcg Inhaler
40,Ipramist 250mcg Solution for inhalation
41,Ipratop 200mcg Inhaler
42,Ipratz 4000 mg/500 mg Injection
43,Ipravent 20mcg Cfc Free Inhaler
44,Ipravent Respirator Solution
45,Ipravent Respules 2ml
46,Ipravent Rotacaps
47,Iprazest Respules
48,Iprazole 20 Capsule
49,Ipreg 200 SR Tablet
50,Ipreg 300 SR Tablet
51,Iproce Injection
52,Ipsal L Axacaps
53,Ipsal L Inhaler
54,Ipsal L Respules 2.5ml
55,Iptaz 4000mg/500mg Injection
56,Iptozol 200mg Capsule
57,Ipzole 100 Capsule
58,Ipzole 200 Capsule
