,items
0,Isabel 20mg Capsule
1,Isabgoli Tablet
2,Isablac  Powder
3,Isac 10 Capsule
4,Isac 20mg Capsule
5,Isarin 40mg Tablet SR
6,Isart 40mg Tablet
7,Isart-A Tablet
8,Isart-H 40mg/12.5mg Tablet
9,Isazine 5mg Tablet
10,Isbid 10mg Tablet
11,Isbid 20mg Tablet
12,Iscept 2.5 mg/400 mg Tablet
13,Iscept 2.5mg/500mg Tablet
14,Iscept 5mg/500mg Tablet
15,Iscept Forte 5 mg/800 mg Tablet
16,Iscept L 1.25 mg/250 mg Tablet
17,Iscept P 5 mg/500 mg/15 mg Tablet
18,Isco 12mg Tablet
19,Isco Plus Suspension
20,Iscocef 1000mg Injection
21,Iscocip 500mg Tablet
22,Iscocip-TZ 500mg/600mg Tablet
23,Iscom 40mg Tablet SR
24,Iscozole 20mg Capsule
25,Iscozole-D 10mg/20mg Capsule
26,Isdil 30mg Tablet
27,Isdil 60mg Tablet
28,Isedaz Injection
29,Isentress 400mg Tablet
30,Isest 20mg Injection
31,Ishape 120mg Capsule
32,Ishape 60mg Capsule
33,Ishbact Injection
34,Ishderm Lite Cream
35,Ishderm-CN Cream
36,Ishderm-MN Cream
37,Ishflox Eye Drop
38,Ishgest 100mg Injection
39,Ishgest 200mg Soft Gelatin Capsule
40,Ishgest 300 SR Tablet
41,Ishglimet 1mg/500mg Tablet ER
42,Ishglimet 2mg/500mg Tablet ER
43,Ishglimet Forte 2mg/1000mg Tablet ER
44,Ishglimet MP 2mg/500mg/15mg Tablet ER
45,Ishtram Tablet
46,Ishzine 25mg Tablet
47,Ishzolid 600mg Tablet
48,Isiace-P 100mg/325mg Tablet
49,Isiace-PS 100mg/325mg/15mg Tablet
50,Isibrex 0.5% Eye Drop
51,Isibrex Plus 1% Eye Drop
52,Isibro 48mg/90mg/100mg Tablet
53,Isibro D Tablet
54,Isicef 200mg Tablet DT
55,Isicet 10mg Tablet
56,Isiflox 0.3% Eye Drop
57,Isiko 100mg Tablet
58,Isiko Plus 100 mg/500 mg Tablet
59,Isiko-Plus 100mg/500mg Tablet
60,Isimox 0.5% Eye Drop
61,Isimox 0.5% Eye Ointment
62,Isina 20mg Capsule
63,Isinac PS 100mg/325mg/15mg Tablet
64,Isinac T 100mg/4mg Tablet
65,Isinep Eye Drop
66,Isinin 20mg Tablet
67,Isiorb D 30mg/20mg Capsule SR
68,Isiprofen 0.03% Eye Drop
69,Isistul 15mg/20mg Tablet
70,Iskem GTN 2.6mg Tablet
71,Iski 120mg Tablet SR
72,Iski 30mg Tablet
