,items
0,Klabtum 1000mg Injection
1,Klabtum Fort 1000mg/500mg Injection
2,Klacee 100mg Tablet
3,Klacee Forte Tablet
4,Klacee Plus 100mg/500mg Tablet
5,Klacee SR 100mg/15mg Tablet
6,Klacee SR Plus Tablet
7,Klacid IV Injection
8,Kladabis 2.5mg/5mg Tablet
9,Klaff 500mg/125mg Tablet
10,Klaff Kid 200mg/28.5mg Tablet
11,Klamentin 250mg/125mg Tablet
12,Klamentin 500mg/125mg Tablet
13,Klamentin Kid 200mg/28.5mg Tablet
14,Klap 200 mg/500 mg Tablet
15,Klarcid 250mg Oral Gel
16,Klariday 500mg Injection
17,Klarim 125 DT Tablet Pineapple
18,Klarim 250mg Dry Syrup
19,Klarim 250mg Tablet
20,Klarim 500 Tablet
21,Klarim Dry Syrup
22,Klarinton 500mg Injection
23,Klarnep Opthalmic Suspension BAK Free
24,Klarprost Eye Drop
25,Klassak 100 mg/100 mg Suspension
26,Klat 250 mg/250 mg Tablet
27,Klat MF 500mg/250mg Tablet
28,Klavin 250mg Tablet
29,Klavin-Cold DS Syrup
30,Klavin-Cold SS Syrup
31,Klavin-Cold SS Syrup
32,Klavking 500mg/125mg Tablet
33,Klavking Kid Tablet
34,Klavoclav 625-LB Tablet
35,Klavoclav Dry Syrup
36,Klavopen 625 Tablet
37,Klavopen DS Suspension
38,Klavox 200 mg/28.5 mg Dry Syrup
39,Klavucillin 200 mg/28.5 mg Dry Syrup
40,Klavucillin 250 mg/125 mg Tablet
41,Klavucillin 500 mg/125 mg Tablet
42,Klaw 100mg Injection
43,Klawcef 250mg Tablet
44,Klawcef 500mg Tablet
45,Klawcef CV 500mg/125mg Tablet
46,Klawcid D 10mg/20mg Capsule
47,Klawcin 500mg Tablet
48,Klawcin L 500mg Tablet
49,Klawmit 10mg Tablet
50,Klawmit 25mg Tablet
51,Klaxone 1000mg Injection
52,Klaxone 250mg Injection
53,Klaxone 500mg Injection
54,Klaxone 500mg Injection
55,Klaxone S 1000mg/500mg Injection
56,Klaxone S 1000mg/500mg Injection
57,Klaxone S 250mg/125mg Injection
58,Klaxone S 500mg/250mg Injection
59,Klaxone TZ 1000mg/125mg Injection
60,Klazin 125mg Tablet DT
61,Klazin 250 Tablet
62,Klazin Oral Suspension
63,Klclav 625 Tablet
64,Klclav DS 457mg Oral Suspension
65,Klean Tears 0.5% Eye Drop
66,Klean Tears Ultra Eye Drop
67,Kleangut Plus Oral Emulsion Peppermint
68,Kleangut Syrup
69,Klear 250mg Tablet
70,Klear Dry Syrup
71,Kleen Gel
72,Kleenee 100mg/10mg Tablet
73,Kleezen 10mg Tablet
74,Klefum 300mg Tablet
75,Klefum Forte 1000mg/500mg Injection
76,Kleist 10mg Tablet
77,Kleist 5mg Tablet
78,Klenxim 100mg Tablet
79,Klenxim 200mg Tablet
80,Klenxim O 200mg/200mg Tablet
81,Klenz 40mg Injection
82,Klenz 40mg Tablet
83,Klenz-D 10mg/40mg Tablet
84,Klenzia Gel
85,Kleofast Plus Cream
86,Kleolin 500mg/125mg Tablet
87,Kleputab LM 5mg/10mg Tablet
88,Kleputab-FM Tablet
89,Klevea 2 Tablet
90,Klever 250mg Tablet
91,Klever 500mg Tablet
92,Klezee 250mg Tablet
93,Klib 200mg Tablet
94,Klic L 5mg Tablet
95,Klick 50mg/10mg Tablet
96,Kligmel Cream
97,Klincoff Syrup
98,Klindark 300mg Injection
99,Klindex 300mg Capsule
100,Klinface N Gel
101,Klinface-A Gel
102,Klinik Tablet
103,Klinique Active  Lotion
104,Klinique Active  Lotion
105,Klinique Forte  Anti-Dandruff Shampoo
106,Klinique Plus  Lotion
107,Klinique Shampoo
108,Klinrise Soft Gelatin Capsule
109,Klinser Gel
110,Klinset 300mg Capsule
111,Klinspec Cream
112,Klinz 150mg Injection
113,Klinz Tablet
114,Klip C Syrup
115,Klive Tablet
116,Klm Klin  Soap
117,Klmite Cream
118,Klo-Aid Dusting Powder
119,Klo-Aid Dusting Powder
120,Klob 10 Tablet
121,Klob 5 Tablet
122,Klobact 1000mg/500mg Injection
123,Klobact 1G Injection
124,Klocalm 0.25 Tablet DT
125,Klocalm 0.5mg Tablet
126,Klocalm-Plus HD Tablet
127,Klocalm-Plus Tablet
128,Klocet 10mg Tablet
129,Klocet 5mg Tablet
130,Klocid 20mg Capsule
131,Klocid DM 10mg/20mg Capsule
132,Klodim 1000mg Injection
133,Klodim 250mg Injection
134,Klodin 10mg Tablet
135,Klof 200mg Tablet
136,Klof TZ 200mg/600mg Tablet
137,Klofen TH Tablet
138,Klofen-TC Tablet
139,Klog 10mg Injection
140,Klog 40mg Injection
141,Klohex 0.2% Mouth Wash
142,Klojet 0.25mg Tablet MD
143,Klojet 0.5mg Tablet MD
144,Klojet 1mg Tablet MD
145,Klojet 2mg Tablet MD
146,Klok P 15mg Tablet
147,Klok P 30mg Tablet
148,Klokcef 1000mg Injection
149,Klokcef 250mg Injection
150,Klokcef 500mg Injection
151,Klokcef SL 1000 mg/500 mg Injection
152,Klokget 400mg Tablet
153,Klokxin 125mg Dry Syrup
154,Klokxin 500mg Capsule
155,Klolyte MF Cream
156,Klomic 100mg Injection
157,Klomic 250mg Injection
158,Klomic 500mg Injection
159,Klomin 25mg Tablet
160,Klomin 50mg Tablet
161,Klomox Capsule
162,Klon 0.25mg Tablet
163,Klon 0.5mg Tablet
164,Klon 1mg Tablet
165,Klon 2mg Tablet
166,Klon T 400mg Tablet
167,Klon-SP Tablet
168,Klonac Plus 100mg/325mg Tablet
169,Klonac Tablet SR
170,Klonac-P 100mg/500mg Tablet
171,Klonac-XS Tablet
172,Klonax 0.50 Tablet MD
173,Klonaz 0.25mg Tablet
174,Klonaz 0.25mg Tablet MD
175,Klonaz 0.5mg Tablet
176,Klonaz 0.5mg Tablet MD
177,Klonaz 1mg Tablet
178,Klonaz 2mg Tablet
