,items
0,Ky Zilos 40mg Tablet
1,Ky-Cort Tablet
2,Kycetam 1000mg Tablet
3,Kycetam 500mg Tablet
4,Kycin 500mg Injection
5,Kycomin 1500mcg Injection
6,Kycomin G 300mg/500mcg Tablet
7,Kycomin P 750mcg/75mg Capsule
8,Kylid 20mg Tablet
9,Kylid RD 30mg/20mg Capsule
10,Kylin D Plus 50mg/325mg Tablet
11,Kylin D Tablet
12,Kylin Plus Tablet
13,Kylin Tablet
14,Kylofen 200mg Tablet SR
15,Kylofen P 100mg/325mg Tablet
16,Kylofen P Oral Suspension
17,Kylofen R 200mg/20mg Capsule SR
18,Kylofen SP 100mg/325mg/10mg Tablet
19,Kylofen SP Plus 100mg/325mg/15mg Tablet
20,Kylofen TH 100mg/4mg Tablet
21,Kylrox 150mg Tablet
22,Kymentin 375 Tablet
23,Kymentin Dry Syrup
24,Kymolol 25 Tablet ER
25,Kymolol 50 Tablet ER
26,Kymomed Tablet
27,Kymosin BR Tablet
28,Kymotid-BR Tablet
29,Kymovil Forte Tablet
30,Kymovil Plus 50mg/100000AU Tablet
31,Kymox 250 DT Tablet
32,Kymox 500mg Capsule
33,Kymozen-D Tablet
34,Kynamic 500mg Injection
35,Kynicold 5mg/5mg/325mg Tablet
36,Kynicold N Tablet
37,Kynicold Plus Oral Suspension
38,Kynicold Syrup
39,Kynicold Syrup
40,Kyocef 100mg Tablet
41,Kyocef 1gm Injection
42,Kyocef 1gm Injection
43,Kyocef 200mg Tablet DT
44,Kyocef 200mg/125mg Tablet XL
45,Kyocef 250mg Injection
46,Kyocef 50mg Tablet
47,Kyocef Dry Syrup
48,Kyocef Dry Syrup
49,Kyocef KID 100mg/62.5mg Tablet XL
50,Kyocef Oral Drops
51,Kyocef Oral Drops
52,Kyocef-AZ Tablet
53,Kyocef-LZ 200mg/600mg Tablet
54,Kyocef-O 200mg/200mg Tablet
55,Kyocef-O Dry Syrup
56,Kyocef-OZ 200mg/500mg Tablet
57,Kyocef-OZ 200mg/500mg Tablet
58,Kyocef-OZ Dry Syrup
59,Kyocef-SB 1000mg/500mg Injection
60,Kyocef-SB 200mg/150mg Tablet
61,Kyocef-SB 250mg/125mg Injection
62,Kyocef-SB 500mg/250mg Injection
63,Kyocef-TZ 1gm/125mg Injection
64,Kyocet 10mg Tablet
65,Kyocet 5mg Tablet
66,Kyocet-LM 5mg/10mg Tablet
67,Kyocet-LM Kid Tablet DT
68,Kyocet-LM Suspension
69,Kyocin 250mg Injection
70,Kyocin 500mg Injection
71,Kyodent Dental Gel
72,Kyodent Gargle
73,Kyodox 10mg/10mg/2.5mg Tablet
74,Kyodox Forte 20mg/20mg/5mg Tablet
75,Kyofur 250mg Tablet
76,Kyofur 250mg Tablet DT
77,Kyofur 500mg Tablet
78,Kyofur 500mg/125mg Tablet XL
79,Kyomol 1000mg Infusion
80,Kyomol 650mg Tablet
81,Kyomol Oral Drops
82,Kyomol Suspension
83,Kyonim 100mg Tablet MD
84,Kyonim-P 100mg/325mg Tablet
85,Kyopip-TZ 4gm/0.5gm Injection
86,Kyopod 100mg Dry Syrup
87,Kyopod 100mg Tablet
88,Kyopod 200mg Tablet
89,Kyopod 200mg/125mg Tablet XL
90,Kyopod 50mg Dry Syrup
91,Kyopod 50mg Dry Syrup
92,Kyopod 50mg Tablet
93,Kyopod KID 100mg/62.5mg Tablet XL
94,Kyopod Oral Drops
95,Kyopod XL Dry Syrup
96,Kyopod-L 200mg/250mg Tablet
97,Kyopod-O 200mg/200mg Tablet
98,Kyor 200mg/200mcg Kit
99,Kyorvit Plus Injection
100,Kyorvit-M 1500mcg Injection
101,Kyoxol-L Oral Drops
102,Kyozone 1000mg/500mg Injection
103,Kypralin TZ 4000mg/500mg Injection
104,Kyprolis 60mg Injection
105,Kyrab 10mg Tablet
106,Kyrab D 30mg/10mg Tablet
107,Kyrah Tablet
108,Kyralizer Syrup
109,Kyrambol M1 Forte Tablet
110,Kyrambol M1 Tablet
111,Kyrambol M2 Tablet
112,Kyrazone S 1000mg/500mg Injection
113,Kyrazone S 500mg/500mg Injection
114,Kysolone 4mg Tablet
115,Kysolone 8mg Tablet
116,Kystatin 10 Tablet
117,Kystatin 20 Tablet
118,Kystatin 40 Tablet
119,Kytopin 2% Soap
120,Kytoric 90mg Tablet
121,Kytoric TH 60mg/4mg Tablet
122,Kyvocet AM 5mg/60mg Tablet SR
123,Kyvocet AM Syrup
124,Kyvocet M 5mg/10mg Tablet
125,Kyvocet M Syrup
126,Kyzacort 6mg Oral Suspension
127,Kyzacort 6mg Tablet
