,items
0,L & L Tablet
1,L 30mg Capsule
2,L 5 Capsule
3,L 5mg Tablet
4,L ALERID TABLET
5,L Alerid AX Capsule
6,L Alerid D Tablet
7,L Alerid Syrup
8,L Arpicet 5mg Tablet
9,L Aspinase 5000IU Injection
10,L Atriz 5mg Tablet
11,L Atriz M 5mg Tablet
12,L Ber P 4mg/325mg Tablet
13,L Ber P 8mg/325mg Tablet
14,L Biotic 250 mg/250 mg Capsule
15,L Box 500mg Tablet
16,L C Drox 250mg Tablet
17,L C Drox 500mg Tablet
18,L C Drox Syrup
19,L Car 50mg/500mg Tablet
20,L Cardia 25mg Tablet
21,L Cast 5mg/10mg Tablet
22,L Cave 5mg Tablet
23,L Cbit MK 5mg/10mg Tablet
24,L Cef CL 200mg/125mg Tablet
25,L Cef CL Dry Syrup
26,L Cef DS 100mg Dry Syrup
27,L Cef O Dry Syrup
28,L Cek 5mg Tablet
29,L Cet 5mg Tablet
30,L Cet 5mg Tablet
31,L Cet AB Tablet
32,L Cetiriz 10mg Tablet
33,L Cetiriz 2.5mg Syrup
34,L Cetmag 5mg Tablet
35,L Cetnid M 5mg/10mg Tablet
36,L Cetra Tablet
37,L Cetramac 5mg Tablet
38,L Cetramac Syrup
39,L Cetree 5mg Tablet
40,L Cetree Tablet
41,L Cetridoc 5mg Tablet
42,L Cetril 5mg Tablet
43,L Cetrin 5mg Tablet
44,L Cetrino M 5mg/10mg Tablet
45,L Cetriver 5mg Tablet
46,L Cetriyl M 5mg/10mg Tablet
47,L Cetrizet 5mg Tablet
48,L Cetron A 5 mg/75 mg Capsule
49,L Cezen 5mg Tablet
50,L Cezet 5mg Tablet
51,L Cid Junior 15mg Tablet
52,L Cid Junior 30mg Tablet
53,L Cit M 5mg/10mg Tablet
54,L Citi 5mg Tablet
55,L Citiz 5mg Tablet
56,L Citrid 2.5mg Syrup
57,L Citrid 5mg Tablet
58,L Citrimin 5mg Tablet
59,L Citrimin Plus Tablet
60,L Citrimin Syrup
61,L Citrimin Syrup
62,L Clove 1% Cream
63,L Coliv Syrup
64,L Core 5 mg/12.5 mg Tablet
65,L Cot Kit
66,L Cyp Syrup
67,L Cypro Syrup
68,L Cypro Syrup
69,L Cypro Syrup
70,L Dio 1 10mg Tablet
71,L Dio 1 Tablet
72,L Dio Plus Tablet
73,L Dom Capsule
74,L Fire 75mg/20mg Capsule
75,L Fiza F 5mg Tablet
76,L Fiza XT Syrup
77,L Flox 250mg Tablet
78,L Flox 500mg Infusion
79,L Flox 500mg Tablet
80,L Flox 500mg Tablet
81,L Floxin 250mg Tablet
82,L Floxin 500mg Tablet
83,L Floxo 250mg Tablet
84,L Floxo 500mg Tablet
85,L G 25mg Tablet DT
86,L G Cef 200mg Tablet
87,L Genta 80mg Injection
88,L Ginase 10000IU Injection
89,L Ginase 5000IU Injection
90,L Grip Capsule
91,L Hist 5mg Syrup
92,L Hist 5mg Tablet
93,L Junior 15mg Tablet DT
94,L Kast 5mg/10mg Tablet
95,L King 500mg Tablet
96,L Krypzin M 5mg/10mg Tablet
97,L Lodizin 5mg Tablet
98,L Lordizin 5mg Tablet
99,L Lordizin M 5mg/10mg Tablet
100,L Lox 500mg Tablet
101,L Lyrab 75mg/20mg Capsule
102,L M Sone 0.1% Cream
103,L M Sone F Cream
104,L M Sone-T Cream
105,L Mark 1% Cream
106,L Mikacin 100mg Injection
107,L Mikacin 250mg Injection
108,L Mikacin 500mg Injection
109,L Monday 5mg/10mg Tablet
110,L Monday Kid 2.5mg/5mg Tablet
111,L Montab Syrup
112,L Montus AB  Tablet
113,L Montus Abl Tablet SR
114,L Montus FX Tablet
115,L Montus Flash Tablet
116,L Montus Kid Forte Tablet
117,L Montus Kid Tablet
118,L Montus Oral Suspension
119,L Montus Tablet
120,L Mot 5mg/10mg Tablet
121,L Mot Syrup
122,L Nex 500mg Tablet
123,L Nova 500mg Tablet
124,L Nova OZ 250mg/500mg Tablet
125,L Now 1% Cream
126,L O C 500mg Tablet
127,L Ornitate 150mg/100mg Tablet
128,L Ornitate 5gm Injection
129,L Ornix 5gm Injection
130,L P Zole 30mg Capsule
131,L Peez S 0.25 mg/25 mg Tablet
132,L Pill 200mcg Tablet
133,L Pill 600mcg Tablet
134,L Pill Kit 200 mg/200 mcg Tablet
135,L Pro 15mg Tablet
136,L Pro 30mg Capsule
137,L Pro 30mg Capsule
138,L R G 10mg Tablet
139,L Rabi 20mg Tablet
140,L Ray 5mg Tablet
141,L San 500mg Tablet
142,L San OZ Oral Suspension
143,L Sar 50mg Tablet
144,L Sart 50mg Tablet
145,L Sig 500mg Tablet
146,L Sitrizin 5mg Tablet
147,L Stop 250mg Tablet
148,L Sunate 60mg Injection
149,L Sunate Tablet
150,L Tam 1000mg Tablet
151,L Tam 500mg Tablet
152,L Teez 5mg Tablet
153,L Ther 150mg Injection
154,L Ther 75mg Injection
155,L Ther Tablet
156,L Thro 250mg Tablet
157,L Thro 500mg Tablet
158,L Thyro 100mcg Tablet
159,L Thyro 100mcg Tablet
160,L Tiviral 90mg Tablet
161,L Tiviral 90mg Tablet
162,L Tiviral MR 60mg/4mg Tablet
163,L Tiviral MR 60mg/4mg Tablet
164,L Tocin 5IU Injection
165,L Topsy 1% Cream
166,L Topsy 1% Cream
167,L Trim 200 mg/40 mg Syrup
168,L Trim 80 mg/40 mg Tablet
169,L Tum 250mg Tablet
170,L Tum 500mg Tablet
171,L Vir 3% Eye Ointment
