,items
0,La Cal Suspension
1,La-Itra 100mg Capsule
2,La-Itra 200mg Capsule
3,La-Itra 200mg Capsule
4,Laa 100mg Capsule
5,Laa LB Capsule
6,Laax 10mg Tablet
7,Laax Syrup
8,Lab 100mg Tablet
9,Lab 5mg/1ml Injection
10,Labace 100mg Tablet
11,Labace-P 100mg/325mg Tablet
12,Labace-SP Tablet
13,Labaneb Respules (2ml Each)
14,Labanzo 400mg Tablet
15,Labanzo L 400mg/150mg Tablet
16,Labanzo-I Forte 12mg/400mg Tablet
17,Labchlor 250mg Capsule
18,Labchlor 500mg Capsule
19,Labcyp T Syrup
20,Labdic 50 mg/500 mg/4 mg Tablet
21,Labdic Relief Tablet
22,Labebet 100mg Injection
23,Labebet 100mg Tablet
24,Labebet 50mg Tablet
25,Labebet Injection
26,Labecor 100mg Tablet
27,Labekind 100mg Tablet
28,Labelix 100mg Tablet
29,Labepure 20mg Injection
30,Labeta 50mg Tablet
31,Labeta 5mg Injection
32,Labeta Injection
33,Labetab 100mg Tablet
34,Labetab 20mg Injection
35,Labetag 100mg Tablet
36,Labetal 20mg Injection
37,Labetamac Tablet
38,Labetide 0.05% Ointment
39,Labetol Injection
40,Labetol Tablet
41,Labetol Tablet
42,Labetroy 20mg Injection
43,Labfix 50mg Dry Syrup
44,Labfix LB 200mg Tablet
45,Labfix O 200mg/200mg Tablet
46,Labfix OZ 200mg/500mg Tablet
47,Labgest 100mg Capsule
48,Labgest 100mg Injection
49,Labgest 200mg Injection
50,Labgest 200mg Soft Gelatin Capsule
51,Labgest 200mg Soft Gelatin Capsule
52,Labhist 16mg Tablet
53,Labicillin 500mg Injection
54,Labikacin 100mg Injection
55,Labikacin 500mg Injection
56,Labil 20mg Injection
57,Labirex 40mg Tablet SR
58,Labizone Injection
59,Lablin 100mg Tablet
60,Lablol 100mg Injection
61,Lablol 100mg Tablet
62,Lablol 20mg Injection
63,Labmox 100mg Drop
64,Labmox 125mg Dry Syrup
65,Labmox 125mg Syrup
66,Labmox 125mg Tablet
67,Labmox 250mg Capsule
68,Labmox 500 Capsule
69,Labocef 100mg Tablet DT
70,Labocef 200mg Tablet DT
71,Labocef CV 200 mg/125 mg Tablet
72,Labocof 4mg/4mg/50mg/5mg/450mg Tablet
73,Labocof Syrup
74,Labocort 100mg Injection
75,Laboderm-OC Cream
76,Labosol gm Cream
77,Labpan 40 Injection
78,Labpan 40 Tablet
79,Labpan-D Tablet
80,Labrab 20 Tablet
81,Labrab 20mg Injection
82,Labrab IT 20mg/150mg Capsule
83,Labrab-DSR Capsule
84,Labtocin 5IU Injection
85,Labxone 1gm Injection
86,Labxone 250mg Injection
87,Labxone-SB 1gm/0.5gm Injection
88,Labze 1000mg Injection
89,Labze 250mg Injection
90,Labze 250mg Tablet
91,Labze S 1000mg/500mg Injection
92,Labzol 20mg Capsule
93,Labzol 20mg Capsule
94,Lac Soft C Gel
95,Lac Syrup
96,Lac Tablet
97,Lacalm Forte 50 mg/2 mg/5 mg Tablet
98,Lacalm Plus 5 mg/2 mg Tablet
99,Lacarnit 1gm Injection
100,Lacarnit 330 Tablet
101,Lacarnit Injection
102,Lacasa 200mg Tablet
103,Lacef 125mg Suspension
104,Lacef 125mg Tablet
105,Lacef 250mg Suspension
106,Lacef 250mg Tablet
107,Lacef 500mg Tablet
108,Lacef Drop
109,Lacfen P 100mg/500mg Tablet
110,Lacferin Eye Drop
111,Laciclav 200mg/28.5mg Dry Syrup
112,Laciclav 200mg/28.5mg Tablet DT
113,Laciclav 500mg/125mg Tablet
114,Laciclav Forte Syrup
115,Lacikof-AP Syrup
116,Laciloc 10mg Tablet
117,Laciloc D Capsule
118,Lacin 100mg Syrup
119,Lacip Syrup
120,Lacipron 250mg Tablet
121,Lacipron 500mg Tablet
122,Lacivas 2mg Tablet
123,Lacivas 4mg Tablet
124,Lack Syrup
125,Laclac Solution
126,Laclac Solution
127,Laclav 625 Tablet
128,Laclav LB  Tablet
129,Laclav LB Tablet
130,Laclax Oral Solution
131,Laclith Syrup
132,Laclobet NM Cream
133,Laclomox 250mg/250mg/60Million spores Capsule
134,Laclotrim BN Cream
135,Laclotrim BN Cream
136,Lacloze Oral Solution
137,Lacloze Oral Solution
138,Lacne 10 Capsule
139,Lacne 20 Softgel Capsule
140,Lacne BPO Gel
141,Lacne Gel
142,Lacnid Tablet
143,Lacnish 100 Syrup
144,Lacofen 200mg Tablet SR
145,Lacofen D 80mg/100mg Tablet
146,Lacofen P 100mg/325mg Tablet
147,Lacofen TH 100mg/4mg Tablet
148,Lacofen-MR Tablet
149,Lacofen-SP Tablet
150,Lacom 250mg/250mg Capsule
151,Lacom-CV 1000mg/200mg Injection
152,Lacom-CV 1000mg/200mg Injection
153,Lacom-CV 200mg/5ml/28.5mg/5ml Syrup
154,Lacom-CV 625 Tablet
155,Lacom-CV Duo Dry Syrup Delicious Strawberry
156,Lacom-CV Duo Dry Syrup Delicious Strawberry
157,Lacom-CV Tablet
158,Lacoma Eye Drop
159,Lacoma PF Eye Drop BAK Free
160,Lacoma T  Eye Drop
161,Lacomb 400mg/325mg Tablet
162,Laconext 100 Tablet
163,Laconext 10mg Injection
164,Laconext 150 Tablet
165,Laconext 200 Tablet
166,Laconext 50 Tablet
167,Lacopsy 100mg Tablet
168,Lacopsy 200 Tablet
169,Lacopsy 50mg Tablet
170,Lacoptal 100mg Tablet
171,Lacoptal 150mg Tablet
172,Lacoptal 200mg Tablet
173,Lacoptal 50mg Tablet
174,Lacort Eye Ointment
175,Lacosam 100 Tablet
176,Lacosam 100 Tablet
177,Lacosam 10mg Injection
178,Lacosam 150 Tablet
179,Lacosam 150 Tablet
180,Lacosam 15mg Syrup
181,Lacosam 200 Tablet
182,Lacosam 200 Tablet
183,Lacosam 50 Tablet
184,Lacosam 50 Tablet
185,Lacosern 100mg Tablet
186,Lacosern 100mg Tablet
187,Lacoset 100 Tablet
188,Lacoset 10mg Injection
189,Lacoset 150 Tablet
190,Lacoset 200 Tablet
191,Lacoset 50 Tablet
192,Lacosid 50mg Tablet
193,Lacotab 100 Tablet
194,Lacotab 10mg Injection
195,Lacotab 150mg Tablet
196,Lacotab 200mg Tablet
197,Lacotab 50mg Tablet
198,Lacotab Syrup
199,Lacotide 100mg Tablet
200,Lacotide 10mg Injection
201,Lacotide 150mg Tablet
202,Lacotide 200mg Tablet
203,Lacotide 50 Tablet
204,Lacove 100mg Tablet
205,Lacove 150mg Tablet
206,Lacove 200mg Tablet
207,Lacove 50mg Tablet
208,Lacoxa 100mg Tablet
209,Lacoxa 10mg Injection
210,Lacoxa 200mg Tablet
211,Lacoxa 50mg Tablet
212,Lacpain 10mg Tablet DT
213,Lacpain 10mg Tablet DT
214,Lacrate O Suspension
215,Lacrate Suspension
216,Lacrelax  1000mg Granules
217,Lacrelax  1000mg Granules
218,Lacrelax  1000mg Granules
219,Lacrelax  Syrup
220,Lacrelax IG Granules
221,Lacrelax IG Granules
222,Lacricool Eye Drop
223,Lacrigel Ocular Lubricant
224,Lacrimist Eye Ointment
225,Lacrimos 0.5% Eye Drop
226,Lacrimos Gel
227,Lacrimos-G Eye Drop
228,Lacrimos-GX Eye Drop
229,Lacrin 30mg/20mg Capsule
230,Lacrina Eye Drop
231,Lacripex Eye Drop
232,Lacrisol Eye Drop
233,Lacrivue Gel
234,Lacryl 2% Eye Gel
235,Lacryl Eye Drop
236,Lacryl Forte Eye Drop
237,Lacryl Hydrate Eye Drop
238,Lacryl PF Eye Gel
239,Lacryl Soothe Eye Drop
240,Lacryl Ultra Eye Drop
241,Lacsan Syrup
242,Lacsol B Ointment
243,Lacsyp  Syrup
244,Lacsyp  Syrup
245,Lactaclav 200mg/28.5mg Tablet
246,Lactaclav 500mg/125mg Tablet
247,Lactaclav Forte Dry Syrup
248,Lactagard 1500 Injection
249,Lactagard 2000mg/1000mg Injection
250,Lactazon S 1000mg/500mg Injection
251,Lactfast Cream
252,Lacticare HC Lotion
253,Lactieuro Granules
254,Lactifem Itch Vaginal Cream Vaginal cream
255,Lactifiber  Granules
256,Lactifiber  Granules
257,Lactifiber  Granules
258,Lactifiber  Syrup
259,Lactigol Granules
260,Lactihep Plus Oral Emulsion
261,Lactihep Syrup
262,Lactihep Syrup
263,Lactihusk  Granules
264,Lactihusk  Granules
265,Lactilax 10gm/3.5gm Powder
266,Lactimera Oral Solution
267,Lactinova Powder
268,Lactiron  Syrup
269,Lactistar Oral Solution Sugar Free
270,Lactiz  10gm/3.5gm Granules
271,Lactizip Syrup
272,Lacto Suspension
273,Lacto-Health Oral Solution
274,Lactoalma 3.35gm Oral Solution
275,Lactobact Injection
276,Lactobet Oral Solution
277,Lactocab 0.5mg Tablet
278,Lactocef 125mg Suspension
279,Lactocef 125mg Tablet
280,Lactocib Capsule
281,Lactocib D 250mg/250mg Capsule
282,Lactoclaav 1000mg/200mg Injection
283,Lactoclaav 200mg/28.5mg Dry Syrup
284,Lactoclaav 250mg/125mg Tablet
285,Lactoclaav 250mg/50mg Injection
286,Lactoclaav 500mg/125mg Tablet
287,Lactoclaav DS Dry Syrup
288,Lactoclaav Kid Tablet
289,Lactoclox 250mg/250mg Capsule
290,Lactocon 10gm Syrup
291,Lactodor Syrup
292,Lactodrox 250mg/60Million cells Tablet DT
293,Lactodrox 500mg/60Million cells Tablet DT
294,Lactodrox Tablet
295,Lactodrox Tablet
296,Lactofresh 10gm Syrup
297,Lactofresh 10gm Syrup
298,Lactofresh Syrup
299,Lactofresh Syrup
300,Lactokinz Oral Solution
301,Lactolex Oral Solution
302,Lactoliv Syrup
303,Lactoliv Syrup
304,Lactolo Syrup
305,Lactolook Oral Solution
306,Lactolook Oral Solution
307,Lactolux Oral Solution Sugar Free
308,Lactolux Solution
309,Lactomed Easy Solution
310,Lactomed Suspension
311,Lactomen Syrup
312,Lactomide 20 mg/50 mg Tablet
313,Lactomide Tablet
314,Lactomox 250mg/60Million spores Capsule
315,Lactomox 250mg/60Million spores Tablet
316,Lactomox Tablet
317,Lactone 100mg Tablet
318,Lactopic Tablet
319,Lactopil Oral Solution
320,Lactopin Oral Solution
321,Lactosar CV 200mg/125mg Tablet
322,Lactosar Forte 500mg/500mg Injection
323,Lactosar O 200mg Tablet DT
324,Lactosung Oral Solution
325,Lactovent 10mg Syrup
326,Lactowel Syrup
327,Lactozed-SR Sachet Orange
328,Lactozom 10gm Syrup
329,Lactu Oral Solution
330,Lactudos Oral Solution
331,Lactudos Oral Solution
332,Lactulax 3.35gm/5ml Syrup
333,Lactulin Oral Solution Orange
334,Lactulis 10gm Oral Solution
335,Lactulo 10gm Syrup
336,Lactum C 1000mg/200mg Injection
337,Lactum C 500mg/100mg Injection
338,Lacturite Oral Solution
339,Lactuross Syrup
340,Lactusan Syrup
341,Lactuse 10gm Syrup
342,Lactuvia Powder Orange
343,Lactuvis 10gm Oral Solution
344,Lacuna 10gm Syrup
345,Lacwar 10mg Syrup
346,Lacx Syrup
347,Lacyclin 100mg Capsule
348,Lacyz 1000mg Tablet
349,Laczoom Oral Solution
350,Lad Tablet
351,Ladex 100mg Tablet DT
352,Ladex Dry Syrup
353,Ladex Dry Syrup
354,Ladex Forte Syrup
355,Ladex LB 500mg/125mg Tablet
356,Ladex LB 500mg/125mg Tablet
357,Ladex-P 100mg/325mg Tablet
358,Ladex-P Syrup
359,Ladogal 100mg Capsule
360,Ladogal 50mg Capsule
361,Lafadin 10mg Tablet
362,Lafarze Tablet
363,Lafaxa 100mg Tablet
364,Lafaxa 50mg Tablet
365,Lafaxa C 100mg/0.5mg Tablet
366,Lafaxa C 50mg/0.5mg Tablet
367,Lafaxid 10 Tablet
368,Lafaxid-D  Tablet
369,Lafaxin 75mg Tablet SR
370,Lafcid 10mg Tablet
371,Lafcid D 10mg/30mg Capsule SR
372,Lafen 100mg Tablet SR
373,Lafen 100mg Tablet SR
374,Lafex 37.5mg Tablet ER
375,Lafex 75mg Tablet ER
376,Laffter 500mg Tablet
377,Laffter IV 500mg Infusion
378,Lafix 100  Tablet DT
379,Lafix 200 Tablet
380,Lafix 200mg/60Million cells Syrup
381,Lafix 200mg/60Million cells Syrup
382,Lafix 50  Tablet DT
383,Lafix Oral Suspension
384,Lafix Tablet DT
385,Lafix Tablet DT
386,Lafix-O Tablet
387,Lafjoy 10mg Capsule
388,Lafjoy D 10 mg/30 mg Capsule
389,Laflam-AC Tablet
390,Laflox 200mg Tablet
391,Laflox-O 200mg/500mg Tablet
392,Laformin GP 2 Tablet
393,Laformin GV 1mg/500mg/0.2mg Tablet ER
394,Laformin GV 2mg/500mg/0.2mg Tablet ER
395,Laformin-G 1 Tablet PR
396,Laformin-G 2 Tablet PR
397,Laformin-G Forte 1mg/1000mg Tablet
398,Laformin-G Forte 2mg/1000mg Tablet
399,Laftid 10mg Tablet
400,Laftid 5mg Tablet
401,Lafty 10mg Tablet
402,Lafty D 10 mg/30 mg Capsule
403,Lafudac 10mg Tablet
404,Lafudac D 10 mg/30 mg Capsule
405,Lafukem 10mg Tablet
406,Lafukem 5mg Tablet
407,Lafukem 5mg Tablet
408,Lafukem D 10 mg/30 mg Capsule
409,Lafukind 10mg Tablet
410,Lafumac 10mg Tablet
411,Lafumac DSR 10 mg/30 mg Tablet
412,Lafumac Plus 20mg Capsule
413,Lafutax 10mg Tablet
414,Lafutax D 10 mg/30 mg Capsule
415,Lafuty 10mg Tablet
416,Lagesic Injection
417,Lagicad 10000IU Injection
418,Lagicad 5000IU Injection
419,Lagrima-H Gel
420,Lah 10mg Tablet
421,Lah 5mg Tablet
422,Lahexy 2mg Tablet
423,Laikacin 100mg Injection
424,Laikacin 500mg Injection
425,Lailaprilam Tablet
426,Laizal 2.5mg Syrup
427,Laizal 5 Tablet
428,Laizal AM 75mg/5mg/10mg Tablet
429,Laizal-M Syrup
430,Laizal-M Tablet
431,Laizal-M Tablet
432,Lak Lotion
433,Lakmet 25mg Tablet XL
434,Lakmet 50mg Tablet XL
435,Lakmet AM 5 mg/25 mg Tablet
436,Lakmet AM 5 mg/50 mg Tablet
437,Lalagel Oral Suspension
438,Lalithium 300mg Tablet
439,Lalithium 400mg Tablet XR
440,Lam 0.25mg Tablet
441,Lam 0.5mg Tablet
442,Lam ET 0.25mg Tablet
443,Lam ET 0.5mg Tablet
444,Lam LA 0.5mg Tablet
445,Lam LA 1mg Tablet
446,Lam Plus H 0.25 mg/10 mg Tablet
447,Lam-Plus Tablet
448,Lam-Plus Tablet
449,Lama 10mg Tablet
450,Lama 2.5mg Tablet
451,Lama 5mg Tablet
452,Lama AT 5mg/50mg Tablet
453,Lama AT 5mg/50mg Tablet
454,Lamad 0.25mg Tablet
455,Lambi 100mg Tablet
456,Lambi 50mg Tablet
457,Lambin 10mg Injection
458,Lambin 25mg INJECTION
459,Lambin Injection
460,Lamcin 0.25mg Tablet
461,Lamcin 0.5mg Tablet
462,Lamdi 100mg Tablet
463,Lamdol P 100mg/325mg Tablet
464,Lamdol SP 100mg/325mg/15mg Tablet
465,Lamecure 1% Cream
466,Lamenta Oral Suspension
467,Lamenta Tablet
468,Lamenta-Plus Tablet
469,Lamepil 100 Tablet
470,Lamepil 20mg Tablet
471,Lamepil 25mg Tablet
472,Lamepil 50 Tablet
473,Lamepil 50mg Tablet MR
474,Lamepil MR 100 Tablet
475,Lametec 100 DT Tablet
476,Lametec 100 OD Tablet SR
477,Lametec 200 OD Tablet
478,Lametec 200mg Tablet DT
479,Lametec 25 DT Tablet
480,Lametec 50 DT Tablet
481,Lametec 50 OD Tablet SR
482,Lametec Kid Tablet DT
483,Lamez 100 Tablet
484,Lamez 25 Tablet DT
485,Lamez 50 Tablet DT
486,Lamez 5mg Tablet
487,Lamez OD 100 Tablet SR
488,Lamez OD 150 Tablet SR
489,Lamez OD 200 Tablet SR
490,Lamez OD 25 Tablet SR
491,Lamez OD 50  Tablet SR
492,Lamgee DT 100 Tablet
493,Lamgee DT 50 Tablet
494,Lami 100mg Tablet
495,Lami 150mg Tablet
496,Lami 6 Plus Tablet
497,Lami 6 Tablet
498,Lami O 200mg Tablet
499,Lamiace 100mg Tablet DT
500,Lamiace 25mg Tablet DT
501,Lamiace 50mg Tablet DT
502,Lamiceph 250mg Tablet
503,Lamiceph 500mg Capsule
504,Lamiceph Syrup
505,Lamicet M 5mg/10mg Tablet
506,Lamictal 100mg Tablet DT
507,Lamictal 25mg Dispersible Tablet
508,Lamictal 50mg Tablet DT
509,Lamictal 5mg Dispersible Tablet
510,Lamictal XR 100mg Tablet
511,Lamictal XR 200mg Tablet
512,Lamictal XR 25mg Tablet
513,Lamictal XR 50mg Tablet
514,Lamictal XR 50mg Tablet
515,Lamictin 100mg Tablet DT
516,Lamictin 200mg Tablet DT
