,items
0,Lc 5 Tablet
1,Lc AM Plus Syrup
2,Lc Rich 5mg/10mg Tablet
3,Lc-Vin Cream
4,Lc2h Tablet
5,Lc2h-M Tablet
6,Lcaine Injection
7,Lcarpro 500mg Tablet
8,Lcave M 5mg/10mg Tablet
9,Lcbit Tablet
10,Lcc Oral Solution
11,Lcef 200mg Tablet
12,Lcef AZ 200mg/250mg Tablet
13,Lcef DX 200mg/500mg Tablet
14,Lcef O 200mg/200mg Tablet
15,Lcet M Syrup
16,Lcet-M 5mg/10mg Tablet
17,Lcet-M KID 2.5mg/4mg Tablet
18,Lcetmax 10mg Tablet
19,Lcetmax 2.5mg Syrup
20,Lcetmax 5mg Tablet
21,Lcetmax M Kid 2.5mg/5mg Tablet DT
22,Lcetmax M Oral Suspension
23,Lcetrion 5mg Tablet
24,Lcetriosol-M 5mg/10mg Tablet
25,Lcetriosol-M Kid 2.5mg/5mg Tablet
26,Lcfex 180 Tablet
27,Lcfex Tablet
28,Lcfran 5mg Tablet
29,Lcfran AM Syrup
30,Lcfran Plus Tablet
31,Lcholic 300 Tablet
32,Lcitzi M 5mg/10mg Tablet
33,Lcm 5mg/10mg Tablet
34,Lcm Suspension
35,Lcmk 5mg/10mg Tablet
36,Lcnac P 100mg/325mg Tablet
37,Lcnac P Syrup
38,Lcnac P Syrup
39,Lcnac Ser Tablet
40,Lcort Cream
41,Lcoz 1% Cream
42,Lcoz 1% Lotion
43,Lcp 4 mg/500 mg Tablet
44,Lcp 8mg/500mg Tablet
45,Lcr 250mg Tablet
46,Lcr 500mg Tablet
47,Lcr 750mg Tablet
48,Lcral 5mg Tablet
49,Lcral Plus 5mg/10mg Tablet
50,Lct 5 Tablet
51,Lct Cure 5mg Tablet
52,Lct1 Tablet
53,Lctam 250mg Tablet
54,Lctam 500mg Tablet
55,Lctone Syrup
56,Lctus 5mg Tablet
57,Lcut-M 5mg/10mg Tablet
58,Lczine 5mg Tablet
59,Lczol Cream
60,Lczol Lotion
61,Lczol Lotion
