,items
0,MAAT 5MG/50MG TABLET
1,MABTHERA 500 MG INFUSION
2,MACROSAFE 250 MG TABLET
3,MACTOR 5 MG TABLET
4,MAHALEVO 500MG INFUSION
5,MANOTOR 100MG TABLET
6,MANOTOR 100MG TABLET
7,MANOTOR 100MG TABLET
8,MANOTOR 10MG TABLET
9,MANOTOR 20MG TABLET
10,MARAX CAPSULE
11,MARICALM T TABLET
12,MASDIL 30MG TABLET
13,MASDIL 60MG TABLET
14,MASDIL BD 120MG TABLET
15,MASDIL BD 180MG TABLET
16,MASDIL BD 240MG TABLET
17,MASDIL BD 90MG TABLET
18,MATERNA HCG HP 10000 IU INJECTION
19,MAXALT RPD 10MG TABLET
20,MAXIFLO 12MCG/500MCG ROTACAP
21,MAYOSEST 20MG TABLET
