,items
0,Mfal AB 150mg Injection
1,Mfal AT 60mg Injection
2,Mfc D Eye Drop
3,Mfc K Eye Drop
4,Mfed 0.5% Eye Drop
5,Mfenexa-P Oral Suspension
6,Mfenl Spas 10mg/250mg Tablet
7,Mfix 100mg Tablet DT
8,Mfix 50mg Oral Suspension
9,Mfkare 200mg Tablet
10,Mfl DX Eye Drop
11,Mflocid 250mg Tablet
12,Mflocid Forte 500mg/325mg Tablet
13,Mflocid P Oral Suspension
14,Mflotas D Eye Drop
15,Mflotas DX Eye Drop
16,Mflotas Eye Drop
17,Mflotas KT Eye Drop
18,Mflotas LP Eye Drop
19,Mflox 200mg Tablet
20,Mflox 400mg Tablet
21,Mflox O 200mg/500mg Tablet
22,Mflox OZ H 100mg/250mg Tablet
23,Mflox Suspension
24,Mflox-OZ Tablet
25,Mfni-Spas Tablet
26,Mfor 500mg Tablet SR
27,Mfphin 1% Cream
28,Mfresh Tablet
29,Mfsone Cream
30,Mfsudif Cream
31,Mft 200mg/200mcg Kit
32,Mft Spas 10mg/250mg Tablet
33,Mfti Spas 20mg/125mg Tablet
34,Mfurate  Cream
35,Mfurate HQ Cream
36,Mfx 0.5% Eye Drop
