,items
0,Miacalcic Nasal 200
1,Miagra 50mg Tablet
2,Miamin-X Injection
3,Miap 100mg/325mg Tablet
4,Mibcal Soft Gelatin Capsule
5,Mibe 10mg Tablet
6,Mibelium 10mg Tablet
7,Mibelium-Plus Tablet SR
8,Miben 1mg Injection
9,Mibeta 10 Tablet
10,Mibeta 20mg Tablet
11,Mibeta SR 40 Tablet
12,Mibeta SR 40 Tablet
13,Mibeta SR 80 Tablet
14,Mibeta SR 80 Tablet
15,Mibeta-Plus 10 Tablet SR
16,Mibeta-Plus 5 Tablet SR
17,Mibs 5mg/2.5mg Tablet
18,Mic 2.5mg Tablet
19,Mic 2.5mg Tablet
20,Mic 5mg Tablet
21,Mic 5mg Tablet
22,Mic Sef 500mg Tablet
23,Mica 250mg Injection
24,Mica 500mg Injection
25,Mica-AL Softgel Capsule
26,Micabac 500mg Injection
27,Micabal Injection
28,Micabal Plus Injection
29,Micacit 500 Injection
30,Micafung Plus 100mg Injection
31,Micafung Plus Injection
32,Micanfa 50mg Injection
33,Micardis 40mg Tablet
34,Micardis Plus 40mg/12.5mg Tablet
35,Micardis Plus 80mg/12.5mg Tablet
36,Micartel 40mg Tablet
37,Micartel 40mg Tablet
38,Micasan 500mg Injection
39,Micascin Cream
40,Micast-F Tablet
41,Micasulf 2% Cream
42,Micavin 100mg Injection
43,Micawell 500mg Injection
44,Micazar 50mg Injection
45,Micdic 10mg/250mg Tablet
46,Micdic 10mg/250mg Tablet
47,Micedge 50mg Injection
48,Micef O 50mg Syrup
49,Micef O CV 200mg/125mg Tablet
50,Micef O Plus 200 mg/200 mg Capsule
51,Micef O Plus Dry Syrup
52,Micef TZ 1000mg/125mg Injection
53,Micef TZ 200mg/81.5mg Injection
54,Micef TZ 500mg/62.5mg Injection
55,Micef-O 200 Tablet
56,Micef-O Kid 50mg Tablet
57,Micelum Ndd Injection
58,Micfen P Syrup
59,Micfen P Syrup
60,Micfox 100mg Dry Syrup
61,Micfox 100mg Tablet
62,Micfox 125mg Dry Syrup
63,Micfox 200mg Tablet
64,Micfox 50mg Dry Syrup
65,Micfox 50mg Dry Syrup
66,Micfox O 200mg/200mg Tablet
67,Michelle -SR 200 Tablet
68,Michelle -SR Tablet
69,Michelle 200mg Tablet
70,Michelle Vaginal gel
71,Michelle-AQ Injection 1ml
72,Michelle-SR 400 Tablet
73,Micid DSR Capsule
74,Micin 100mg Injection
75,Micin 250mg Injection
76,Micin 500mg Injection
77,Micin 500mg Injection
78,Micin Injection
79,Mickcef 200mg Tablet
80,Mickcef 50mg Syrup
81,Mickcef DT 100mg Tablet
82,Mickcet Air 5mg/10mg Tablet
83,Micknem 1000mg Injection
84,Micknem 500mg Injection
85,Micknerve PG 300mg/500mcg Tablet
86,Mickpred S 125mg Injection
87,Mickpred S 40mg Injection
88,Mickpred S 500mg Injection
89,Micky 4 mg Capsule
90,Micky 4 mg Capsule
91,Micky 8mg Capsule
92,Miclav 500mg/125mg Tablet
93,Miclofen Plus Tablet
94,Miclofen SP 100mg/500mg/15mg Tablet
95,Miclogenta Cream
96,Miclogenta Cream
97,Miclogenta N Cream
98,Micnum 200mg Injection
99,Micnum 500mg Injection
100,Mico-B 2.5mg Injection
101,Mico-G Tablet
102,Micoap 2% Ointment
103,Micobate-CN Cream
104,Micobrex 2% Gel
105,Micobrex F Cream
106,Micofee 400mg Tablet
107,Micofee 400mg Tablet
108,Micofit 250 Tablet
109,Micogel Cream
110,Micogel F Cream
111,Micogel F Ointment
112,Micogen Injection
113,Micogen-F Cream
114,Micogent Cream
115,Micogent Lotion
116,Micogest 200mg Soft Gelatin Capsule
117,Micogram Cream
118,Micolex-NT Tablet
119,Micolex-P Capsule
120,Micolin 0.05% Cream
121,Micolin NM 75mg/10mg/1500mcg Tablet
122,Micolin Plus Injection
123,Micolin Plus Injection
124,Micolin Plus Ointment
125,Micolix 1000mcg Injection
126,Micolix P 750mcg/75mg Capsule
127,Micolon CR Cream
128,Micon Ointment
129,Micona 50mg Infusion
130,Micona Cream
131,Micona F Cream
132,Miconaz 2% Gel
133,Miconel Gel
134,Miconit 2% Gel
135,Miconit C Cream
136,Miconya NT 75mg/10mg Tablet
137,Miconya PG 750mcg/75mg Capsule
138,Micorab R 200mg/20mg Capsule SR
139,Micoside 250mg Tablet
140,Micoside 500mg Tablet
141,Micoside Cream
142,Micoside TM Cream
143,Micosil-FC Cream
144,Micosoft 100mg Soft Gelatin Capsule
145,Micosoft 200mg Soft Gelatin Capsule
146,Micotin 1500mcg Injection
147,Micotin 1500mcg Injection
148,Micotis Cream
149,Micotune Cream
150,Micotune Cream
151,Micovib 2% Cream
152,Micovit PG 750mcg/75mg Capsule
153,Micowel 200 Softgel Capsule
154,Micowel 300-SR Softgel Capsule
155,Micowel 300-SR Softgel Capsule
156,Micowok FC Cream
157,Micozone-S 500mg/500mg Injection
158,Micozone-S 500mg/500mg Injection
159,Micpro 100mg Capsule
160,Micpro 100mg Injection
161,Micpro 200mg Capsule
162,Micpro 200mg Injection
163,Micrhogam UF 50mcg Injection
164,Microbact 250 Tablet
165,Microbact 250mg Tablet
166,Microbact 500 Tablet
167,Microbact 500 Tablet
168,Microbact Tablet
169,Microban Ointment
170,Microbid OZ Tablet
171,Microcap 500 Capsule
172,Microcef 100 Oral Suspension
