,items
0,Mubact 2% Ointment
1,Mucad 1gm Injection
2,Mucaine 10mg/5ml/0.291mg/5ml/98mg/5ml Oral Gel
3,Mucaine Gel Mint
4,Mucaine Gel Mint Sugar Free
5,Mucaine Gel Orange
6,Mucaine Gel Orange
7,Mucaine Oral Gel
8,Mucaine Oral Gel Mint Sugar Free
9,Mucant-LC Tablet
10,Mucare 600mg Tablet
11,Mucaryl Expect Syrup
12,Mucaryl LS   Junior  Syrup
13,Mucaryl LS Drops
14,Mucaryl LS Syrup
15,Mucaryl Tablet Orange Sugar Free
16,Mucase Expectorant
17,Mucase LC 5mg/10mg Tablet
18,Mucerin-MG Tablet
19,Mucet Cold Tablet
20,Mucet M 5mg/10mg Tablet
21,Mucet M Syrup
22,Mucet Tablet
23,Mucet-C Tablet
24,Mucet-M Kid Tablet
25,Mucet-M Oral Suspension
26,Mucet-M Tablet
27,Mucidal 2% Ointment
28,Muciday Tablet SR
29,Mucifi 200mg Capsule
30,Mucimega Effervescent Tablet Orange
31,Mucimen AB 50mg/600mg Tablet
32,Mucimen P 300mg/50mg Tablet
33,Mucinac 20% Injection
34,Mucinac 20% Injection
35,Mucinac 200 Effervescent Tablet Sugar Free
36,Mucinac 600 Effervescent Tablet Orange Sugar Free
37,Mucinac AB Tablet
38,Mucitag 200mg Injection
39,Muclear 600 Tablet
40,Muclear Plus 100mg/600mg Tablet
41,Muclin 150mg Injection
42,Muclin 300mg Capsule
43,Muco Asthasol Syrup
44,Muco Asthasol Syrup
45,Muco Soft Oral Drops
46,Muco Soft Oral Drops
47,Muco Soft Syrup
48,Mucobar Cold Tablet
49,Mucobar Forte Tablet
50,Mucobar LS Syrup
51,Mucobar S Syrup
52,Mucobar Syrup
53,Mucobar Syrup
54,Mucobenz Mouth Wash
55,Mucobenz Mouth Wash
56,Mucobest A Syrup
57,Mucobest D Syrup
58,Mucobest L Syrup
59,Mucobind Suspension
60,Mucoblo 600mg Tablet
61,Mucobrex AF Syrup
62,Mucobrex LC Syrup
63,Mucobrex Oral Drops
64,Mucobrex PD Oral Suspension
65,Mucobrex PD Oral Suspension
66,Mucobrex Plus 30mg/325mg/2.5mg/10mg Tablet
67,Mucobrex Plus 30mg/325mg/2.5mg/10mg Tablet
68,Mucobrex Plus Oral Suspension
69,Mucobrex Suspension
70,Mucobrex Tablet
71,Mucobron 250 mg/150 mg Capsule
72,Mucobron 500 mg/150 mg Capsule
73,Mucobus Tablet
74,Mucobus-Lm 10mg/5mg/200mg Tablet
