,items
0,Oza 200mg Tablet
1,Oza-O 200mg/500mg Tablet
2,Oza-O 200mg/500mg Tablet
3,Ozace 10mg Tablet
4,Ozace 5mg Tablet
5,Ozacort 6mg Tablet
6,Ozad 20mg Capsule
7,Ozaflo 200mg Tablet
8,Ozaluc 150 Tablet
9,Ozaluc 200 Tablet
10,Ozaluc 200 Tablet
11,Ozan 200mg Tablet
12,Ozan-O 200mg/500mg Tablet
13,Ozap 10mg Tablet
14,Ozap 2.5mg Tablet
15,Ozap 2.5mg Tablet
16,Ozap 5mg Tablet
17,Ozap 7.5mg Tablet
18,Ozapin -MD 10 Tablet
19,Ozapin -MD 5 Tablet
20,Ozapin-MD 2.5 Tablet
21,Ozapin-MD 7.5 Tablet
22,Ozarb 40mg Tablet
23,Ozasof 200mg/500mg Tablet
24,Ozatex 10mg Tablet MD
25,Ozatex 15mg Tablet
26,Ozatex 2.5mg Tablet
27,Ozatex 20mg Tablet
28,Ozatex 20mg Tablet
29,Ozatex 5mg Tablet MD
30,Ozax OD 200mg/500mg Infusion
31,Ozcold Plus Tablet
32,Ozcold Syrup
33,Oze 20mg Capsule
34,Oze Bact 2% Ointment
35,Oze D 10mg/20mg Capsule
36,Ozec 20mg Capsule
37,Ozec 20mg Capsule
38,Ozec D 10mg/20mg Capsule
39,Ozed 20mg Capsule
40,Ozed D 10mg/20mg Capsule
41,Ozed D 10mg/20mg Capsule
42,Ozederm Cream
43,Ozee 200mg Tablet
44,Ozee 20mg Capsule
45,Ozee 50mg/5ml Suspension
46,Ozee-D Capsule
47,Ozeflox 200 Tablet
48,Ozeflox 200mg Tablet
49,Ozeflox OZ 200mg/500mg Tablet
50,Ozeflox-M Oral Suspension
51,Ozem 20mg Capsule
52,Ozen-OZ Tablet
53,Ozenin 10mg/20mg Capsule
54,Ozenin DN 750mg/50mg/250mg Tablet
55,Ozepam 0.25mg Tablet
56,Ozepam 0.5mg Tablet
57,Ozepam 2mg Tablet
58,Ozepam 2mg Tablet
59,Ozepam 7.5mg Tablet MD
60,Ozepred 4mg Tablet
61,Ozer 200mg Tablet
62,Ozer 400mg Tablet
63,Ozer 50mg Suspension
64,Ozer OZ 200mg/500mg Tablet
65,Ozer TZ 200mg/600mg Tablet
66,Ozerol 20 Capsule
67,Ozerol-D Capsule
68,Ozetol 150 Tablet
69,Ozex 1% Gel
70,Ozex 12.5mg Tablet
71,Ozex 25mg Injection
72,Ozex 25mg Injection
73,Ozex 25mg Tablet
74,Ozex VC 20mg Tablet
75,Ozflox 200mg/500mg Tablet
76,Ozi 250 Tablet
77,Ozi 500 Tablet
78,Ozicef 250mg Injection
79,Ozicef 250mg Injection
80,Ozicef 500mg Injection
81,Ozicef 500mg Injection
82,Ozicef-S 1000mg/500mg Injection
83,Ozicef-S 250mg/125mg Injection
84,Ozicef-T 1000mg/125mg Injection
85,Ozicin 250mg Tablet
86,Ozicin 250mg Tablet
87,Ozicin 25mg Tablet
88,Ozicin 25mg Tablet
89,Ozicin 75mg Tablet
90,Ozicin-D 15mg/20mg Tablet
91,Ozid 250mg Injection
92,Ozid 500mg Tablet
93,Ozim 10mg Tablet
94,Ozim 5mg Tablet
95,Ozimate 5% Lotion
96,Ozimentin 1000mg/200mg Injection
97,Ozimentin 1000mg/200mg Injection
98,Ozimentin 875mg/125mg Tablet
99,Ozimentin CV Dry Syrup
100,Ozimentin LB 500mg/125mg Tablet
101,Ozinet 10mg Tablet
102,Ozinet 15mg Tablet
103,Ozinet 2.5mg Tablet
104,Ozinet 5mg Tablet
105,Ozinet 7.5mg Tablet
106,Ozio 200mg/500mg Tablet
107,Ozip 10mg Tablet
108,Ozip 2.5mg Tablet
109,Ozip 5mg Tablet
110,Ozipan 500 Tablet
111,Ozirax Oral Suspension
112,Ozirax Tablet
113,Ozirax Tablet
114,Oziset 250mg Tablet
115,Oziset 250mg Tablet
116,Oziset 500mg Tablet
117,Oziset 500mg Tablet
118,Ozitab DM 10mg/20mg Tablet
119,Ozitam Plus 37.5mg/325mg Tablet
120,Ozith 250mg Tablet
121,Ozith 500mg Tablet
122,Ozith 500mg Tablet
123,Ozitral 100mg Capsule
124,Ozitram 100mg Injection
125,Ozitram 50mg/500mg Tablet
126,Ozkof DM Syrup
127,Ozkof LS Syrup
128,Ozl 20mg Capsule
129,Ozmax 200 mg/500 mg Tablet
130,Ozmelt-D Orally Disintegrating Strip
131,Ozmet Oral Suspension
132,Ozo 20mg Capsule
133,Ozo 20mg Capsule
134,Ozo 20mg Tablet
135,Ozo D Capsule
136,Ozocip TZ 500mg/600mg Tablet
137,Ozocip TZ 500mg/600mg Tablet
138,Ozoclox LB Capsule
139,Ozocort 6mg Tablet
140,Ozoderm Cream
141,Ozodimol MR Tablet
142,Ozodom 10mg/20mg Capsule
143,Ozoflo 500mg Tablet
144,Ozoflox 200mg Tablet
145,Ozoflox 200mg Tablet
146,Ozol 20mg Capsule
147,Ozol 20mg Tablet
148,Ozol 40mg Capsule
149,Ozol D 10mg/20mg Capsule
150,Ozol D 10mg/20mg Tablet
151,Ozol D Capsule
152,Ozol Kool 200mg/20mg Capsule
153,Ozol L 75mg/20mg Capsule
154,Ozolam 0.25mg Tablet
155,Ozolam 0.5mg Tablet
156,Ozolax Granules
157,Ozole 20mg Capsule
158,Ozole D 10 mg/20 mg Capsule
159,Ozolid 1200mg Tablet SR
160,Ozolin 1000mg Injection
161,Ozolin 250mg Injection
162,Ozolin 500mg Injection
163,Ozolol 50mg Tablet XL
164,Ozolol-XL 25 Tablet
165,Ozomat 20mg Capsule
166,Ozomen 50mg Tablet
167,Ozomen Forte 100mg Tablet
168,Ozomet 500 Tablet ER
169,Ozomet 500 Tablet ER
170,Ozomet DS 1000mg Tablet SR
171,Ozomet V 500mg/0.2mg Tablet
172,Ozomet V 500mg/0.3mg Tablet
173,Ozomet-G1 Tablet ER
174,Ozomet-G1 Tablet ER
175,Ozomet-G2 Tablet ER
176,Ozomet-G2 Tablet ER
177,Ozomet-G2 Tablet PR
178,Ozomet-PG 1 Tablet
179,Ozomet-PG 1 Tablet
180,Ozomet-PG 2 Tablet ER
181,Ozomet-PG 2 Tablet ER
182,Ozomet-VG 1 Tablet SR
183,Ozomet-VG 1 Tablet SR
184,Ozomet-VG 2 Tablet PR
185,Ozomet-VG2 Tablet SR
186,Ozon 200mg Tablet
187,Ozon OZ 200mg/500mg Tablet
188,Ozopride 1mg Tablet
189,Ozopride 2mg Tablet
190,Ozorab 20mg Tablet
191,Ozorab 20mg Tablet
192,Ozorab D 30mg/20mg Capsule SR
193,Ozorac 200mg/500mg Tablet
194,Ozorox 250mg Tablet
195,Ozorox 500mg Tablet
196,Ozospas Tablet
197,Ozospas-M Tablet
198,Ozotac 25mg Injection
199,Ozotel 20mg Tablet
200,Ozotel 40mg Tablet
201,Ozotel 40mg Tablet
202,Ozotel 80mg Tablet
203,Ozotel Tablet
204,Ozotel-AM Tablet
205,Ozotel-AM Tablet
206,Ozotel-AMH Tablet
207,Ozotel-AMH Tablet
208,Ozotel-AMH Tablet
209,Ozotel-H Tablet
210,Ozotel-H Tablet
211,Ozotel-H Tablet
212,Ozoten 50mg Tablet
213,Ozotron 2mg Injection
214,Ozotron 2mg/5ml Syrup
215,Ozotron 4mg Tablet
216,Ozotron 4mg Tablet MD
217,Ozovas 10 Tablet
218,Ozovas 20 Tablet
219,Ozovas 20 Tablet
220,Ozovas 40mg Tablet
221,Ozovas-AV 75 Capsule
222,Ozovas-F  Tablet
223,Ozovil Tablet
224,Ozovil-M Tablet
225,Ozox Tablet
226,Ozpod 100mg Dry Syrup
227,Ozpod 100mg Tablet DT
228,Ozpod 200mg Tablet
229,Ozpod 200mg Tablet
230,Ozpod 50mg Dry Syrup
231,Ozpod CV 200mg/125mg Tablet
232,Ozpod CV Dry Syrup
233,Ozpod CV Dry Syrup
234,Ozson 20mg Capsule
235,Ozson D 10mg/20mg Capsule
236,Ozurdex Injection
237,Ozus 150mg Tablet
238,Ozus 150mg Tablet
239,Ozus 50mg Tablet
240,Ozyclo P 100mg/325mg Tablet
241,Ozyclo P Oral Suspension
242,Ozyclo P Oral Suspension
243,Ozyclo SP 100mg/325mg/15mg Tablet
244,Ozym D Tablet
245,Ozynim P 100mg/325mg Tablet
246,Ozynol 75mg Injection
247,Ozynol MR 250mg/50mg/325mg Tablet
248,Ozynol P 50mg/325mg Tablet
249,Ozynol SP 50mg/325mg/10mg Tablet
250,Ozzipan 40mg Injection
251,Ozzipan 40mg Tablet
252,Ozzipan D 10mg/40mg Tablet
253,Ozzipan L 75mg/40mg Capsule
254,Ozzymycin 200mg Syrup
255,Ozzymycin 250mg Tablet
256,Ozzymycin 500mg Tablet
