,items
0,Ob Lak 120mg Capsule
1,Oba 200mg Tablet
2,Oba OZ 200mg/500mg Tablet
3,Obaclo Gold 1% Cream
4,Obact 200mg Tablet
5,Obact 200mg Tablet
6,Obact 400mg Tablet
7,Obact 400mg Tablet
8,Obact OZ 200mg/500mg Tablet
9,Obact OZ Tablet
10,Obact TZ Tablet
11,Obacta 200mg Tablet
12,Obactin 200mg Syrup
13,Obactin 200mg Tablet
14,Obactin OD 400mg Tablet
15,Obactin OZ 200mg/500mg Tablet
16,Obactin OZ Suspension
17,Obactin OZ Tablet
18,Obactin TZ 200mg/600mg Tablet
19,Obactum 1000mg/500mg Injection
20,Obalu 1% Cream
21,Obamaine 200mg Injection
22,Obamax NT 75mg/10mg Tablet
23,Obamic M 500mg/250mg Tablet
24,Obax 80 mg/500 mg Tablet
25,Obay 20mg Capsule
26,Obay D 10mg/20mg Capsule
27,Obazole D 30mg/40mg Capsule SR
28,Obd TZ 200mg/600mg Tablet
29,Obd TZ 200mg/600mg Tablet
30,Obdrox 250mg Tablet
31,Obeba D 10mg/20mg Capsule
32,Obeclav 500mg/125mg Tablet
33,Obeclav 500mg/125mg Tablet
34,Obect 2% Ointment
35,Obederm N Ointment
36,Obefex 100mg Tablet
37,Obefex 200mg Tablet
38,Obefex 50mg Tablet
39,Obefex AZ Tablet
40,Obefex O Tablet
41,Obefex-CD Tablet
42,Obegard 120 Capsule
43,Obelit 60 Capsule
44,Obelit Capsule
45,Obenow 10mg Tablet
46,Obenow 5mg Tablet
47,Oberim 20mg Tablet
48,Obeset 120 Capsule
49,Obeset 60 Capsule
50,Obet G Cream
51,Obeta 100mg Tablet
52,Obeta 100mg Tablet
53,Obeta 25 Tablet
54,Obeta 50mg Tablet
55,Obetee 10mg Tablet
56,Obetee 5mg Tablet
57,Obetohep 10mg Tablet
58,Obetohep 5mg Tablet
59,Obetra Tablet
60,Obetra-D Tablet
61,Obezita 120mg Capsule
62,Obezita 60 Capsule
63,Obfix 200mg Tablet
64,Obfree 120mg Capsule
65,Obgram 40 Tablet
66,Obiara 120 Capsule
67,Obiara 60 Capsule
68,Obicon OZ 200mg/500mg Tablet
69,Obid 200mg Tablet
70,Obid 400mg Tablet
71,Obid 50mg Tablet
72,Obid Eye Drop
73,Obid OZ Syrup
74,Obid OZ Tablet
75,Obifit 120mg Capsule
76,Obiglo 0.2mg Tablet MD
77,Obiglo 0.3mg Tablet MD
78,Obiholic 10mg Tablet
79,Obiholic 5mg Tablet
80,Obimet GX 0.5mg/500mg Tablet PR
81,Obimet GX 1 Tablet PR
82,Obimet GX 3 Tablet PR
83,Obimet GX 4 Tablet PR
84,Obimet GX Forte 1mg Tablet PR
85,Obimet GX Forte 2mg Tablet PR
86,Obimet GX Forte 3mg Tablet SR
87,Obimet GX Forte 4mg Tablet SR
88,Obimet GX2 Tablet PR
89,Obimet SR 1gm Tablet
90,Obimet SR Tablet
91,Obimet Tablet
92,Obimet V  0.2 Tablet PR
93,Obimet V  0.3 Tablet PR
94,Obin F Eye Drop
95,Obinil 120mg Capsule
96,Obiotic 200mg Tablet
97,Obiotic 200mg Tablet
98,Obiotic 400mg Tablet
99,Obiotic OZ 200mg/500mg Tablet
100,Obiotic OZ 200mg/500mg Tablet
101,Obit 200mg Tablet
102,Obit M Suspension
103,Obit-OZ 200mg/500mg Tablet
