,items
0,Od LM 5mg/10mg Tablet
1,Odace 10mg Tablet
2,Odace 10mg Tablet
3,Odace 2.5mg Tablet
4,Odace 5mg Tablet
5,Odacet 10mg Tablet
6,Odacet 5mg/5ml Syrup
7,Odacin 200mg/500mg Tablet
8,Odahist 16mg Tablet
9,Odahist 16mg Tablet
10,Odal 200mg Suspension
11,Odal Plus 6mg/400mg Tablet
12,Odal Plus Oral Suspension
13,Odan 4mg Tablet DT
14,Odan Injection
15,Odan Syrup Sweet Orange
16,Odanse 2mg Injection
17,Odanse 2mg Injection
18,Odanse 2mg/5ml Syrup
19,Odanse 4mg Tablet
20,Odanse 4mg Tablet MD
21,Odanson 4mg Tablet
22,Odaril Syrup
23,Odastin M 20mg/10mg Tablet
24,Oday OZ Syrup
25,Oday OZ Tablet
26,Odbion GB 300mg/500mcg Tablet
27,Odcan 150mg Tablet
28,Odcan 200mg Tablet
29,Odcan 50mg Tablet
30,Odcef 200mg Capsule
31,Odclin 100mg Capsule
32,Odcol Capsule
33,Odcort 6 Tablet
34,Odd 20mg Tablet
35,Oddox LB 100mg Capsule
36,Odds UP 4mg Tablet
37,Odean 2mg/5ml Syrup
38,Odean 4mg Injection
39,Odean 4mg Injection
40,Odean 4mg Tablet
41,Odean RD 30mg/20mg Capsule SR
42,Odec 300mg Tablet
43,Odec MR 400mg/4mg Tablet
44,Odec Plus 400mg/325mg Tablet
45,Odedom 10mg/20mg Capsule
46,Odee 20mg Capsule
47,Odee Dom Capsule
48,Odeflox 100mg Tablet
49,Odeflox 200mg Tablet
50,Odeflox OZ 200mg/500mg Tablet
51,Odeflox T 200mg/600mg Tablet
52,Odema 100mg/15mg Tablet
53,Odema Plus 100mg/500mg/15mg Tablet
54,Odemed 5mg/2.5mg Tablet
55,Oden O Tablet
56,Odens 2mg Injection
57,Odens-MD Tablet
58,Odeof 200mg/500mg Tablet
59,Odep 10mg Tablet
60,Odep 2.5mg Tablet
61,Odep 25mg Tablet
62,Odep 4mg Injection
63,Odep 4mg Tablet
64,Odep 50mg Tablet
65,Odepraz 40mg Tablet
66,Odepraz D 30mg/40mg Tablet
67,Oderma Cream
68,Odeworm 200mg Oral Suspension
69,Odeworm 400mg Tablet
70,Odeworm 400mg Tablet
71,Odeworm Plus Oral Suspension
72,Odex Syrup
73,Odex-P Syrup
74,Odex-SF Syrup
75,Odgat 400mg Tablet
76,Odi Care 2mg Injection
77,Odi Care 2mg Oral Drops
78,Odicef 1000mg Injection
79,Odicef 125mg Injection
80,Odicef 250mg Injection
81,Odicef 500mg Injection
82,Odicef 750mg Injection
83,Odicef CV 200 mg/125 mg Tablet
84,Odicef Neonate 125mg Injection
85,Odicef O 100mg Tablet DT
86,Odicef O 200mg Tablet
