,items
0,Ora-Ace Mouth Wash Alcohol Free
1,Ora-Fast Gel
2,Ora-G Gum Paint
3,Ora-Time Gel
4,Ora-Time Gel
5,Orabcid 20mg Tablet
6,Orabcid LS 75mg/20mg Capsule SR
7,Orabcid-DSR Capsule
8,Orabest Mouth Paint
9,Orabi 20mg Injection
10,Orabi 20mg Injection
11,Orabi-D Tablet
12,Orabi-DSR Capsule
13,Orabi-LS Capsule
14,Orabliss Gel
15,Oracin 200mg Tablet
16,Oracip 250mg Tablet
17,Oracip 500mg Tablet
18,Oraclam 250mg/125mg Tablet
19,Oraclam 500mg/125mg Tablet
20,Oraclam 875mg/125mg Tablet
21,Oraclam Kid 200mg/28.5mg Tablet
22,Oraclam Kid 200mg/28.5mg Tablet
23,Oraclam-DX 250mg/250mg Capsule
24,Oraclam-LB Tablet
25,Oraclofen 100mg/325mg Tablet
26,Oraclofen 200mg Tablet SR
27,Oraclofen MR 100mg/325mg/250mg Tablet
28,Oraclofen SP 100mg/325mg/15mg Tablet
29,Oracool Gel
30,Oracort 30mg Tablet
31,Oracort 6mg Tablet
32,Oractin 90mg/48mg/100mg Tablet
33,Oracure Dental Gel
34,Oradem 100 Tablet
35,Oradem 50mg Tablet
36,Oradex Syrup
37,Oraeze Mouth Wash Mint
38,Oraface Gel
39,Oraface-Bpo Gel
40,Orafact 0.2% Mouth Wash
41,Oraflam Plus 100mg/325mg Tablet DT
42,Oraflora LA Gel
43,Oraflora Oral Gel
44,Oraflox OZ 200mg/500mg Tablet
45,Oraflox OZ Tablet
46,Oragil-D Capsule
47,Orahex M Gel
48,Orahex Pro Mouth Wash
49,Oraj 20mg Capsule
50,Oraj D Capsule
51,Orakastin 5mg/10mg Tablet
52,Oral L 0.03mg/0.15mg Tablet
53,Oral N 5mg Tablet
54,Oral Polio Vaccine
55,Oral Polio Vaccine
56,Oral Polio Vaccine
57,Oral Polio Vaccine
58,Oral X Mouth Wash
59,Oralexine 125mg Syrup
60,Oralexine 500mg Capsule
61,Oraline Mouth Wash
62,Oralis 2mg Injection
63,Oraliv 300mg Tablet
64,Oralix Gel
65,Oralixir Mouth Wash
66,Oralixir Mouth Wash
67,Oralka Syrup
68,Oralka Syrup
69,Oraloz 10mg Lozenges
70,Oram 50mg Injection
71,Oram D 37.5mg/325mg Tablet
72,Oramide 2mg Injection
73,Oramin 2mg Tablet
74,Oramin 6mg Tablet SR
75,Oramoxy 500 mg/125 mg Tablet
76,Oran 200mg Tablet
77,Oran OZ 200mg/500mg Tablet
78,Oran-D Capsule
79,Oranclox K 125mg/125mg Tablet
80,Oranem 1000mg Injection
81,Orange CS Oral Drops
82,Orange CS Syrup
83,Orange N Juicy 100mg Tablet
84,Orange N Kid Tablet
85,Orangemol 250mg Syrup
86,Orant 200mg Tablet
87,Orant OD 400mg Tablet
88,Orant TZ 200mg/600mg Tablet
89,Orant TZ 200mg/600mg Tablet
90,Oranzole 20mg Capsule
91,Oranzole D 10mg/20mg Capsule
92,Orap 10mg Tablet
93,Orap 2mg Tablet
94,Orap 4mg Tablet
95,Orapan 40mg Tablet
96,Orapan 40mg Tablet
97,Orapan-D 10mg/40mg Tablet
98,Orapanz 40mg Injection
99,Orapanz 40mg Tablet
100,Orapen 200mg Tablet
101,Oraphil 200mg Tablet
102,Oraprein-A 100mg/50mg Tablet
103,Oraprein-GM Tablet
104,Oraprog 100mg Injection
105,Oraprog 100mg Soft Gelatin Capsule
106,Oraprog 200mg Injection
107,Oraprog 200mg Soft Gelatin Capsule
108,Oraret 10 Capsule
109,Oraret 10 Capsule
110,Oraret 20mg Capsule
111,Orasafe Dental Gel
112,Orasafe Mouth Wash
113,Orasep Gel
114,Orasep OT Mouth Paint
115,Orasep-LA Gel
116,Oraset Dental Gel
117,Orasia Dental Gel
118,Orat 10mg Tablet
119,Oratil 1.5gm Injection
120,Oratil 125mg Oral Suspension
121,Oratil 125mg Tablet DT
122,Oratil 250mg Injection
123,Oratil 250mg Tablet
124,Oratil 500 Tablet
125,Oratil 500 Tablet
126,Oratil 750mg Injection
127,Oratil CV 250 mg/125 mg Syrup
128,Oratil CV 250 mg/125 mg Tablet
129,Oratil CV 500 Tablet
130,Oratil CV 500 Tablet
131,Oratil LZ Tablet
132,Oratric 1mg Tablet
133,Oratric 2mg Injection
134,Oratric 2mg Tablet
135,Orav 100mg Tablet
136,Orav 200mg Tablet
137,Orav 50mg Syrup
138,Orav 50mg Syrup
139,Oraways Oral Paste
140,Orawell 0.2% Mouth Wash
141,Orawin Gel
142,Orawis 75mg Tablet
143,Orawis 75mg Tablet
144,Oraxim 50mg Syrup
145,Oraxim Plus Tablet
146,Oraxin Drop
147,Oraxin Syrup
148,Oray OZ 200mg/500mg Tablet
149,Oraz 20mg Capsule
150,Oraz-D 10mg/20mg Capsule
151,Orazep 1mg Tablet
152,Orazep 2mg Tablet
153,Orazith 250mg Tablet
154,Orazole 200mg/500mg Tablet
155,Orazox Dental Gel
156,Orbazol 20mg Capsule
157,Orbazol DSR 30mg/20mg Capsule
158,Orbest 500mg Tablet
159,Orbil 200mg Oral Suspension
160,Orbis 150mg Tablet
161,Orbis Kid 50mg Tablet
162,Orbiz Mouth Wash
163,Orbone Forte 50 mg/750 mg Tablet
164,Orbone Plus Tablet
165,Orbone Tablet
166,Orbrox-A Syrup
167,Orbrox-LS Junior Oral Suspension
168,Orcef 1000mg Injection
169,Orcef 500mg Injection
170,Orcef S 1000mg/500mg Injection
171,Orcefix 100 Tablet
172,Orcefix LB 200mg Tablet
173,Orcefix O 200mg/200mg Tablet
174,Orceft 1000mg Injection
175,Orceft 2000mg Injection
176,Orceft 250mg Injection
177,Orceft 250mg Injection
178,Orceft 500mg Injection
179,Orceft S 1000mg/500mg Injection
180,Orceft S 250mg/125mg Injection
181,Orceft S 250mg/125mg Injection
182,Orcepod 200mg Tablet
183,Orcerin Capsule
184,Orcerin GM Tablet
185,Orcerin GM Tablet
186,Orcerin Ointment
187,Orcet 5mg Tablet
188,Orcet M 5mg/10mg Tablet
189,Orcet Syrup
190,Orcet-L Tablet
191,Orcet-M Syrup
192,Orcet-M Tablet
193,Orcet-MF Tablet
194,Orcetrix 250mg Injection
195,Orcetrix 250mg Injection
196,Orcetrix 500mg Injection
197,Orcetrix S 1000mg/500mg Injection
198,Orchicam 4mg Tablet
199,Orchicam 8mg Tablet
200,Orchicam 8mg Tablet
201,Orchidol 50mg Injection
202,Orcibest Tablet
203,Orcibest Tablet
204,Orcicof Syrup
205,Orcid MPS Syrup
206,Orcid Suspension
207,Orcillin 250mg Capsule
208,Orcillin 250mg Capsule
209,Orcimont L 4mg/2.5mg Tablet
210,Orcimont-FX 10mg/120mg Tablet
211,Orcin 200mg Suspension
212,Orcin 50mg/5ml Drop
213,Orcin Tablet
214,Orcinac 100mg Tablet
215,Orcinac 200mg Tablet SR
216,Orcinac 200mg Tablet SR
217,Orcinac Plus Tablet
218,Orcinac-P 100mg/325mg Tablet
219,Orcinac-S 100mg/15mg Tablet
220,Orcipan 40mg Injection
221,Orcipan 40mg Tablet
222,Orcipan-DSR Capsule
223,Orcipod 100mg Tablet DT
224,Orcipod 200mg Tablet
225,Orcipod Dry Syrup
226,Orcipod-AZ 200mg/250mg Tablet
227,Orcipod-DX 200mg/500mg Tablet
228,Orcipod-L 200mg/250mg Tablet
229,Orcipride 1 mg Tablet
230,Orcirab 20mg Tablet
231,Orcirab-Dsr 30mg/20mg Capsule
232,Orcirab-IT 20mg/150mg Capsule
233,Orcirab-L 75mg/20mg Capsule SR
234,Orcizol 600mg Tablet
235,Orclav 500mg/125mg Tablet
236,Orclave 1000mg/200mg Injection
237,Orclave 250mg/125mg Tablet
238,Orclave 500mg/125mg Tablet
239,Orcoril Syrup Sugar Free
240,Orcoril Syrup Sugar Free
241,Orcoril-DX Syrup Sugar Free
242,Orcoril-LS Syrup Sugar Free
243,Orcox 120mg Tablet
244,Orcyp Liquid
245,Orcyp Syrup
246,Orcyp Syrup
247,Ordacef LB Tablet
248,Ordacef-OZ 200mg/500mg Tablet
249,Ordacin Tablet
250,Ordan Injection
251,Ordan Oral Drop
252,Ordan-MD Tablet
253,Ordeglim-Duo 1/500 Tablet SR
254,Ordeglim-Duo 2/500 Tablet SR
255,Ordent Tablet
256,Ordex-D Syrup
257,Ordi 50mg Tablet
258,Ordi 50mg Tablet
259,Ordiban Tablet
260,Ordic P 50mg/325mg Tablet
261,Ordic S 50mg/10mg Tablet
262,Ordic SP 50mg/325mg/15mg Tablet
263,Ordilan 10 Tablet
264,Ordilan Trio Tablet
265,Ordilan-T Tablet
266,Ordixic Suspension
267,Ordom 10 mg/20 mg Capsule
268,Ordom 10mg/20mg Tablet
269,Oreceft 1 gm Injection
270,Oreceft 250mg Injection
271,Oreceft 500mg Injection
272,Oreceft SB 1000mg/500mg Injection
273,Oreceft TZ 1000mg/125mg Injection
274,Orech 200 Tablet
275,Orech-OZ Oral Suspension
276,Orecure F Ear Drop
277,Orecure Plus Ear Drop
278,Orefex 120mg Tablet
279,Orefix 100mg Tablet DT
280,Orefix 100mg Tablet DT
281,Orefix 200mg Tablet DT
282,Orefix 50mg Dry Syrup
283,Orefix CV Dry Syrup
284,Orefix O Dry Syrup
285,Orefix-O Tablet
286,Oreflo 0.4mg Tablet
287,Oreflo-Plus Tablet MR
288,Oreflox 200mg Tablet
289,Oreflox 50mg Oral Suspension
290,Oreflox 50mg Oral Suspension
291,Oreflox M Syrup
292,Oreflox OZ 200mg/500mg Tablet
293,Oreflox RA Oral Suspension
294,Oregra 120 Tablet
295,Oregra 180 Tablet
296,Oregra Suspension
297,Oregra-M Tablet
298,Oremox 375 Tablet
299,Oremox 500mg/125mg Tablet
300,Oremox LB 500mg/125mg Tablet
301,Oremox-CV Oral Suspension
302,Oren 2.5mg Tablet
303,Oren 5mg Tablet
304,Orencia Powder for infusion
305,Orens G 50mg/750mg Tablet
306,Orepride 25mg Tablet SR
307,Orescan Ear Drop
308,Orescan-N Ear Drop
309,Oresec 20mg Capsule
310,Oresec-D Capsule
311,Oresta 10mg Tablet
312,Oresta 20mg Tablet
313,Oresta 5mg Tablet
314,Oresugrel 5mg Tablet
315,Oret 170mg/40mg Tablet
316,Oret OZ 200mg/500mg Tablet
317,Oreta 2.5mg Tablet
318,Orex Cream
319,Orex M Gel
320,Orex Syrup
321,Orex-D Syrup
322,Orex-D Syrup
323,Orex-DX Syrup
324,Orex-LO Gel
325,Orexid 20 Capsule
326,Orexid 20 Capsule
327,Orfen Injection
328,Orfen Injection
329,Orfenac Aqua Injection
330,Orfenac SP 50mg/325mg/15mg Tablet
331,Orfix 200mg Tablet
332,Orfix 50mg Tablet DT
333,Orfix O Tablet
334,Orfix O Tablet
335,Orfix O Tablet DT
336,Orflam-Kold Oral Suspension
337,Orflam-MF Oral Suspension
338,Orflam-MF Oral Suspension
339,Orflam-P Tablet
340,Orflaz Kit
341,Orflo Suspension
342,Orflo Tablet
343,Orflox 200mg Tablet
344,Orflox OZ 200mg/500mg Tablet
345,Org 20mg Tablet
346,Orgacef 1000mg Injection
347,Orgagest 200mg Capsule
348,Orgagest 200mg Capsule
349,Orgahist 16mg Tablet
350,Orgahist 8mg Tablet
351,Orgalutin Tablet
352,Orgalutran 0.25mg Injection
353,Orgamed 10mg Tablet
354,Orgamox-CL B.D Dry Syrup
355,Orgamox-LB 250mg/250mg Tablet
356,Orgamox-LB 250mg/250mg Tablet
357,Orgamox-LB 250mg/250mg Tablet
358,Orgapam 200mg/600mg Injection
359,Orgapep 20mg Tablet
360,Orgazi 500mg Tablet
361,Orgazone 1500 Injection
362,Orgazone Plus Injection
363,Orgem 10mg Tablet
364,Orger 200mg Tablet
365,Orger 400mg Tablet
366,Orges 100mg/15mg Tablet
367,Orges 100mg/15mg Tablet
368,Orgiprate 10 Tablet
369,Orglide MV 2mg/500mg/0.2mg Tablet SR
370,Orglide-M1 Tablet SR
371,Orglide-M2 Tablet SR
372,Orglide-M2 Tablet SR
373,Orglimet 80mg/500mg Tablet
374,Orglimp 1mg Tablet
375,Orglimp 2mg Tablet
376,Orgo M 0.125mg Tablet
377,Orgocal Tablet
378,Ori Prost 100mg/500mg Tablet
379,Oriace 100mg Capsule
380,Oriace P 100mg/500mg Tablet
381,Oribolin 50 Injection
382,Oributol 800mg Tablet
383,Oricar 12.5mg Tablet
384,Oricar 12.5mg Tablet
385,Oricar 25mg Tablet
386,Oricar 3.125mg Tablet
387,Oricar 6.25mg Tablet
388,Oriceft 1000mg Injection
389,Oriceft 1000mg Injection
390,Oriceft S 1000mg/500mg Injection
391,Oriceph Syrup
392,Oricid 20mg Capsule
393,Oricillin 500mg Capsule
394,Oricillin 500mg Capsule
395,Oricin 500mg Tablet
396,Oricitral Syrup Lemon
397,Oricof DX Syrup
398,Oricof LS Syrup
399,Oricof LS Syrup
400,Oricof P Syrup
401,Oricof P Syrup
402,Oricof Syrup
403,Oricol D 15mg/500mg Tablet
404,Oricort 30mg Tablet
405,Oricort 40mg Injection
406,Oricort 6mg Tablet
407,Oricort Oral Suspension
408,Oricox 90mg Tablet
409,Oricox T 60mg/4mg Tablet
410,Orictum SB 1000mg/500mg Injection
411,Orid 20mg Capsule
412,Orid D 10mg/20mg Capsule
413,Orida 100mg Tablet
414,Orida 25mg Tablet
415,Orida 50mg Tablet
416,Oridanz 4mg Tablet MD
417,Oridia GM 50mg/750mg/250mg Tablet
418,Oridox 150mg Tablet
419,Oridro Syrup
420,Oriel 10 Tablet
421,Oriel Tablet
422,Oriel-M Tablet
423,Orif 200mg/500mg Tablet
424,Orif 3 Forte Tablet
425,Orif 3 Tablet
426,Orifate O Oral Suspension
427,Orifenac P 100mg/325mg Tablet
428,Orifenac SP 100mg/325mg/15mg Tablet
429,Orifix 100mg Tablet DT
430,Orifix 200mg Tablet DT
431,Orifix 200mg Tablet DT
432,Oriflam SP 100mg/325mg/15mg Tablet
433,Oriflam Syrup
434,Oriflam TH 100mg/4mg Tablet
435,Oriflo 200mg/500mg Tablet
436,Oriflo 200mg/500mg Tablet
437,Oriflox 200mg Tablet
438,Orifung Tablet
439,Orifung Tablet
440,Origen 2000IU Injection
441,Origen 2000IU Injection
442,Origen 5000IU Injection
443,Origest 200mg Capsule
444,Origin 10mg Tablet
445,Origin 2000IU Injection
446,Origlow-H Cream
447,Origlow-H Cream
448,Origus gm Tablet
449,Origus gm Tablet
450,Orijet 0.4mg Tablet
451,Orijet D Tablet ER
452,Orijoint Tablet
453,Orik 20mg Capsule
454,Orik DM 10mg/20mg Capsule
455,Orilac 100mg Tablet
456,Orilac 200mg Tablet
457,Orilac Syrup
458,Orilac Syrup
459,Orilex 500mg Capsule
460,Orilox P 8mg/500mg Tablet
461,Orimax 200mg Tablet
462,Orimax-N Ear Drop
463,Orimed TH 60mg/8mg Tablet
464,Orimet 25 Tablet
