,items
0,Osacid 40mg Tablet
1,Osacid-DSR Capsule
2,Osactin Plus Syrup
3,Osactin Syrup
4,Osafe Tablet
5,Osalka Syrup
6,Osani 200mg Tablet
7,Osani DS 400mg Tablet
8,Osani Eye Drop
9,Osani Infusion
10,Osani O Tablet
11,Osani O Tablet
12,Osani Syrup
13,Osani-OZ Infusion
14,Osani-OZ Syrup
15,Osani-T Syrup
16,Osar 50mg Tablet
17,Osart 25mg Tablet
18,Osart H 50 mg/12.5 mg Tablet
19,Osarten 10mg Tablet
20,Osarten 20mg Tablet
21,Osarten 40mg Tablet
22,Osarten AH 40mg/5mg/12.5mg Tablet
23,Osarten AM 40mg/5mg Tablet
24,Osarten H 12.5mg/20mg Tablet
25,Osarten H 12.5mg/40mg Tablet
26,Oscagen 20mg Injection
27,Oscagen 20mg Injection
28,Oscar 150mg Tablet
29,Oscar 300mg Tablet
30,Osclav 1000mg/200mg Injection
31,Osclav 200mg/28.5mg Syrup
32,Osclav 250mg/50mg Injection
33,Osclav 500mg/100mg Injection
34,Osclav 500mg/100mg Injection
35,Osclav Tablet
36,Osco 20mg Capsule
37,Oscold Plus Tablet
38,Oscold Syrup
39,Oscopin Syrup
40,Oscoril D Syrup
41,Oscort 6mg Oral Suspension
42,Oscort 6mg Tablet
43,Oscort 6mg Tablet
44,Oscoxi 90mg Tablet
45,Oscoxi TH 60mg/4mg Tablet
46,Oscoxi TH 60mg/4mg Tablet
47,Osdil 8mg Injection
48,Osdip 50mg/500mg Tablet
49,Osdip MR Tablet
50,Osdip MR Tablet
51,Osdol 50mg Injection
52,Osdol 50mg Injection
53,Osdol P 37.5mg/325mg Tablet
54,Osdop 50mg Injection
55,Osdosis-DS Tablet
56,Osdro 1.25mg Syrup
57,Osdro 1.25mg Syrup
58,Osdro 1.25mg Syrup
59,Osdryl Syrup
60,Ose N Oral Suspension
61,Ose OZ 200mg/500mg Tablet
62,Oseben 200mg Suspension
63,Oseben 400mg Tablet
64,Osec 20mg Capsule
65,Osec 20mg Capsule
66,Osec 20mg Capsule
67,Osedrate 35mg Tablet
68,Oseflox 0.3% Ear Drop
69,Oselow 75 Capsule
70,Osen 2mg Injection
71,Osen 4mg Tablet MD
72,Osen 4mg Tablet MD
73,Osent-MD 2mg Injection
74,Osent-MD 2mg/5ml Syrup
75,Osent-MD 4mg Tablet
76,Oser-DSR Capsule
77,Oser-DSR Capsule
78,Oser-LSR Capsule
79,Oser-LSR Capsule
80,Oset 4mg Tablet
81,Oset 4mg Tablet MD
82,Oset 5mg Tablet
83,Oset 8mg Tablet
84,Osetril 2mg Injection
85,Osetril 2mg Injection
86,Osetril 4mg Tablet
87,Osetron 4mg Injection
88,Osetron 4mg Tablet
89,Osett 4mg Tablet
90,Osett 8mg Tablet
91,Osflox 100mg Tablet
92,Osflox 200mg Tablet
93,Osflox 200mg Tablet
94,Osflox 50mg Oral Suspension
95,Osflox 50mg Oral Suspension
96,Osflox OR 200mg/500mg Tablet
97,Osflox OZ 200mg/500mg Tablet
98,Osflox OZ Oral Suspension
99,Osflox OZ Oral Suspension
100,Osfutuf 125 Dry Syrup
101,Osfutuf 1500 Injection
102,Osfutuf 500 Tablet
103,Osfutuf 750 Injection
104,Osfutuf-CV Dry Syrup
105,Osfutuf-CV Tablet
106,Osgest 200mg Tablet SR
107,Osgest 200mg Tablet SR
108,Oshase D 50mg/10mg Tablet
109,Oshdol 50mg/500mg Tablet
110,Osheecof DX Syrup
111,Osheecof-BX Syrup
112,Osheenac-SP Tablet
113,Osheera D 30mg/20mg Capsule
114,Osheera D 30mg/20mg Capsule
115,Osheezin 5mg Tablet
116,Osheezin M 5mg/10mg Tablet
117,Osheezin M Kid 2.5mg/5mg Tablet DT
118,Oshflox 200mg Tablet
119,Oshin Plus 200mg/500mg Tablet
120,Oshin TC Ointment
121,Oship 250mg Tablet
122,Oshnim 100mg Tablet
123,Oshnim 100mg Tablet
124,Oshpan 40mg Tablet
125,Oshrab D 30mg/40mg Capsule SR
126,Oshrab D 30mg/40mg Capsule SR
127,Oshzin 10mg Tablet
128,Oshzol D 10mg/20mg Tablet
129,Osibact 250mg Tablet
130,Osibact 250mg Tablet
131,Osicare 500mg Tablet
132,Osicare Plus Tablet
133,Osicare-DS Tablet
134,Osiclav 625 Tablet
135,Osiclav LB 500mg/125mg Tablet
136,Osicof-LS Oral Solution Sugar Free
137,Osid Oral Suspension Elaichi Sugar Free
138,Osidex Injection
139,Osifenac-P Tablet
140,Osifenac-P2 Oral Suspension
141,Osifenac-SP Tablet
142,Osiflox 400mg Tablet
143,Osiflox 400mg Tablet
144,Osiflox OZ 200mg/500mg Tablet
145,Osiflox TZ 200mg/600mg Tablet
146,Osiflox TZ 200mg/600mg Tablet
147,Osify Tablet
148,Osigesic 650 Tablet
149,Osil Capsule
150,Osil Cream
151,Osilax Powder
