,items
0,PA 12 Tablet SR
1,PA 125mg/5ml Suspension
2,PA 125mg/5ml Suspension
3,PA 250mg/5ml Suspension
4,PA 500mg Tablet
5,PA 650mg Tablet
6,PA Cold AF Syrup
7,PA Cold Tablet
8,PACENORM 200 MG TABLET
9,PACIFIC 0.25 MG TABLET
10,PACIFIC H  TABLET 0.25 MG/10 MG
11,PACLITAX 100 MG INJECTION
12,PACLITAX 30 MG INJECTION
13,PACLITEC 30 MG INJECTION
14,PACLITERO 100 MG INJECTION
15,PACLITERO 260 MG INJECTION
16,PACTEL 250MG/125MG TABLET
17,PACTEL 250MG/125MG TABLET
18,PACTEL 500MG/125MG TABLET
19,PAH 20 Tablet
20,PAINE 50MG CAPSULE
21,PAN 20 MD Tablet
22,PAN 20 Tablet
23,PAN 40 Tablet
24,PAN IV Injection
25,PAN Junior Tablet MD Orange
26,PANCID  TABLET 40 MG
27,PANDROP 50 MG/500 MG TABLET
28,PANDROP 50 MG/500 MG TABLET
29,PANDROP MR TABLET
30,PANTAGON 20 MG CAPSULE
31,PANTAGON 40 MG CAPSULE
32,PANTASTIC 40 MG INJECTION
33,PANTIN Z 40 MG CAPSULE
34,PANTOCIP 40MG TABLET
35,PARACETANAL 170MG SUPPOSITORY
36,PARACETANAL 80MG SUPPOSITORY
37,PARACIP TABLET
38,PARAFIZZ 650 MG TABLET
39,PARMAX 250MG TABLET
40,PARVODEX 65MG CAPSULE
41,PAT D 30mg/40mg Tablet
42,PATH G 15MG/1MG CAPSULE
43,PAZ 40mg Injection
44,PAZ 40mg Tablet
45,PAZ-DN 10mg/20mg Tablet
