,items
0,PD 10mg/40mg Tablet
1,PD 20mg/40mg Capsule SR
2,PD 30 mg/40 mg Tablet
3,PD Com Tablet
4,PD Com Tablet
5,PD Flam Tablet
6,PD Forte 75mg Injection
7,PD Kent Syrup
8,PD Lyte M Infusion
9,PD Lyte P Infusion
10,PD Lyte P Infusion
11,PD Mox C 250mg/50mg Injection
12,PD Mox C 500mg/100mg Injection
13,PD Mox C Syrup
14,PD Mox C Tablet
15,PD Mox C Tablet
16,PD Mox C Tablet
17,PD Mox C Tablet
18,PD Mox Kid 125mg Tablet
19,PD Mox Kid 125mg Tablet
20,PD Mox LB 500mg/60Million spores Tablet
21,PD Mox LB Tablet
22,PD Nor TZ 400 mg/600 mg Tablet
23,PD Pan 40mg Injection
24,PD Pan 40mg Tablet
25,PD Rox 150mg Tablet
26,PD Roxil 500mg Capsule
27,PD Roxil LB 125mg/30mg Tablet
28,PD Roxil LB 250mg/60mg Tablet
29,PD SR 30mg/40mg Tablet
30,PD Spas 10mg/500mg Tablet
31,PD Zole D Infusion
32,PD-Zole 10mg/40mg Tablet
33,PDC Tablet
34,PDC Tablet
35,PDPINE 5MG TABLET
36,PDPRIL-AM 5MG/5MG TABLET
