,items
0,PH Guard Syrup
1,PH MPA TABLET
2,PH Norm Oral Suspension
3,PH Perfect DSR Capsule
4,PH Rite 20mg Tablet
5,PH Rite DSR 30mg/20mg Capsule
6,PH Rite L 75mg/20mg Capsule
7,PH Rite L 75mg/20mg Capsule
8,PH Up 40mg Injection
9,PH Up 40mg Tablet
10,PH Up D 10mg/20mg Tablet
11,PH Up D 10mg/20mg Tablet
12,PH-Bar
13,PH-Perfect 20mg Tablet
14,PH-Perfect Capsule
15,PHALEXIN DRY SYRUP
16,PHENLINCTUS SYRUP
17,PHENY 250MG SUSPENSION
18,PHENY 250MG SUSPENSION
19,PHEXIPEN 250 MG TABLET DT
20,PHEXIPEN 250 MG TABLET DT
21,PHOSOME 25 MG INJECTION
22,PHYLLOCONTIN 225MG TABLET
