,items
0,PP 40mg Tablet
1,PP Cold -DS Suspension
2,PP Cold Drop
3,PP Cold Tablet
4,PP Cold-DMR Oral Suspension
5,PP Cold-DMR Oral Suspension
6,PP Dom Capsule
7,PP Lan 15 15mg Tablet MD
8,PP Set 40mg Tablet
9,PP Set DSR Capsule
10,PP Set LS 75mg/40mg Tablet
11,PP Set LS 75mg/40mg Tablet
12,PPD 10mg/40mg Capsule
13,PPG 0.2 Tablet
14,PPG 0.3 Tablet
15,PPG MD 0.2 Tablet
16,PPG MD 0.3 Tablet
17,PPG Met 0.2 Tablet SR
18,PPG Met 0.3 Tablet SR
19,PPG Trio 1mg Tablet SR
20,PPG Trio 1mg Tablet SR
21,PPG Trio 2mg/500mg/0.2mg Tablet SR
22,PPG Trio Forte 1mg Tablet SR
23,PPG Trio Forte 2mg/500mg/0.3mg Tablet SR
24,PPI D 30mg/20mg Capsule
25,PPN 40mg Tablet
26,PPN 40mg Tablet
27,PPR D Tablet
28,PPR D Tablet
29,PPR-D 30mg/20mg Capsule SR
30,PPR-D 30mg/20mg Capsule SR
31,PPZ 40 Tablet
32,PPZ 40mg Gel Syrup
33,PPZ Oral Gel
34,PPZ-D Tablet
