,items
0,PT 1000mg/125mg Injection
1,PT 1000mg/125mg Injection
2,PT 250 Oral Suspension
3,PT 325mg/37.5mg Tablet
4,PT 4000 mg/500 mg Injection
5,PT 4000 mg/500 mg Injection
6,PT 4000mg/500mg Injection
7,PT Kem 4000mg/500mg Injection
8,PT-Nak 2000mg/250mg Injection
9,PT-Nak 4000mg/500mg Injection
10,PT-Rich 4mg/0.5mg Injection
11,PT-Rich 4mg/0.5mg Injection
12,PT-Sure Injection
13,PT-Sure Injection
14,PTD 10mg/20mg Tablet
15,PTL 40mg Tablet
16,PTL-D 10mg/40mg Tablet
17,PTM Sure 450mg Tablet PR
18,PTO 10mg/40mg Tablet
19,PTU Tablet
