,items
0,Pcain O Oral Suspension
1,Pcan Forte Syrup
2,Pcan-P Syrup
3,Pcare 40mg Tablet
4,Pcare D 10mg/40mg Tablet
5,Pcdem 200 Tablet
6,Pceft S 1000mg/500mg Injection
7,Pceft T 1000mg/125mg Injection
8,Pceft T 1000mg/125mg Injection
9,Pcl Syrup
10,Pcl-Plus Syrup Mixed fruit flavour
11,Pcom 20mg Tablet DT
12,Pcort 10mg Tablet
13,Pcort DZ 30 Tablet
14,Pcort DZ 6 Tablet
15,Pcort Eye Drop
16,Pcoset 500mg/600mg Tablet
17,Pcp Forte 5mg/325mg/5mg Tablet
18,Pcp Forte 5mg/325mg/5mg Tablet
19,Pcraft 40mg Tablet
20,Pcraft D 30mg/40mg Tablet
21,Pcrdi 20mg Tablet
22,Pcrdi 40mg Tablet
23,Pcrdi 80mg Tablet
24,Pctol 650mg Tablet
25,Pcut D 30mg/40mg Tablet SR
26,Pcut Tablet
