,items
0,Pl 250mg Oral Suspension
1,Placef-O Tablet
2,Placenta 100mg Soft Gelatin Capsule
3,Placenta 200mg Soft Gelatin Capsule
4,Placenta MP 10mg Tablet
5,Placentone 100mg Tablet
6,Placentone 200mg Injection
7,Placentone 200mg Tablet
8,Placentrex Cream
9,Placentrex Gel
10,Placentrex Injection
11,Placentrex V Gel
12,Placid 100mg Injection
13,Placida Plus 0.5 mg/10 mg Tablet
14,Placida Tablet
15,Placidin 100mg Tablet
16,Placidin 200mg Tablet XR
17,Placidin 25mg Tablet
18,Placidin 400mg Tablet XR
19,Placidin 50mg Tablet XR
20,Placidox 10mg Tablet
21,Placidox 2mg Tablet
22,Placidox 5mg Tablet
23,Placin 500mg Injection
24,Placin P 100mg/325mg Tablet
25,Placin SP 100mg/325mg/15mg Tablet
26,Plackcef 200mg/500mg Tablet XL
27,Plackcef 200mg/500mg Tablet XL
28,Placklax 5mg Syrup
29,Placklax 5mg Syrup
30,Placklin 100mg Capsule
31,Placklin Plus 100mg/600mg Tablet
32,Plackrose A 10mg/75mg Capsule
33,Placold Tablet
34,Placoril Oral Suspension
35,Placoril Tablet
36,Placort 6 Tablet
37,Plagerine Tablet
38,Plagerine-A 150 Capsule
39,Plagerine-A 75 Tablet
40,Plagerine-A Capsule
41,Plagril 75 Tablet
42,Plagril A 150mg/75mg Tablet
43,Plagril A 75 mg/75 mg Capsule
44,Plagril Gold 300 Tablet
45,Plagril Gold 75 Tablet
46,Plaintar-CS Lotion
47,Plamax 200 Tablet
48,Plamol 500 Tablet
49,Plamol-D Tablet
50,Plamumab 40mg Injection
51,Planate 60mg Injection
52,Planate 60mg Injection
53,Planep 50 Tablet
54,Planep Tablet
55,Planep-T 10 Kit
56,Planep-T 20 Kit
57,Planet 40mg Tablet
58,Planet 6mg Tablet
59,Planetica 10 Injection
60,Planetica 50 Injection
61,Planim 200mg Tablet
62,Planokuf D  Syrup
63,Planokuf D  Syrup
64,Planokuf Syrup
65,Planokuf Syrup
66,Planokuf T Syrup
67,Planokuf XP  Syrup
68,Planokuf XP Lite Expectorant
69,Planomef Tablet
70,Planomef Tablet
71,Planomef-P Tablet
72,Plareether 150mg Injection
73,Plareether 150mg Injection
74,Plaros 10 Tablet
75,Plaros 20 Tablet
76,Plaros 5 Tablet
77,Plaros F 160mg/10mg Tablet
78,Plaros F 160mg/10mg Tablet
79,Plascold Tablet
80,Plasmaglob 5gm Injection
81,Plasmahep 100IU Injection
82,Plasmanate 5% Infusion
83,Plasmi LIV Syrup
84,Plasmol 650mg Tablet
85,Plasmox 250mg Capsule
86,Plasmox 500mg Capsule
87,Plasmox 500mg Capsule
88,Plasnim P Tablet
89,Plasodace SP 100mg/325mg/15mg Tablet
90,Platbit 75mg Tablet
91,Platbit 75mg Tablet
92,Platfree 75mg Tablet
93,Platicare 1mg Injection
94,Platicare 1mg Injection
95,Platicare 1mg Injection
96,Platico 400mg Injection
97,Platifirst 10mg Injection
98,Platikem 20mg Injection
99,Platikem 50mg Infusion
100,Platikem 50mg Infusion
101,Platikem 50mg Infusion
102,Platikem Novo 10mg Injection
103,Platikem Novo 50mg Injection
104,Platikem Novo 50mg Injection
105,Platin 10mg Injection
106,Platin 20mg Injection
107,Platin 50mg Infusion
108,Platinex 10mg Injection
109,Platinex 50mg Infusion
110,Platipar 10mg Injection
111,Platipar 10mg Injection
112,Platipar 50mg Infusion
113,Platipar 50mg Infusion
114,Platloc AS 150 mg/75mg Tablet
115,Platloc AS 75mg Capsule
116,Platloc Tablet
117,Platonorm 40mg Tablet
118,Platoxin 100mg Injection
119,Platron D 30mg/40mg Capsule SR
120,Plavas 150mg/75mg Tablet
121,Plavas 75mg/75mg Tablet
122,Plavas 75mg/75mg Tablet
123,Plavic 75mg Tablet
124,Plavix Tablet
125,Plaxia 75mg Tablet
126,Plaxia A 75 mg/75 mg Capsule
127,Plaxid 0.25mg Tablet
128,Plaxid 1mg Tablet
129,Plaxime 100mg Tablet
130,Plaxime 100mg Tablet
131,Plaxime 200mg Tablet
132,Plaxime 50mg Dry Syrup
133,Plaxime 50mg Dry Syrup
134,Plaxime LB 200mg Tablet
135,Plaxime LB 200mg Tablet
136,Plaxime O 200mg/200mg Tablet
137,Plaxime O 200mg/200mg Tablet
138,Plaxone 1000mg Injection
139,Plaxone 125mg Injection
140,Plaxone 250mg Injection
141,Plaxone 250mg Injection
142,Plaxone 250mg/125mg Injection
143,Plaxone 250mg/125mg Injection
144,Plaxone 500 Injection
145,Plaxone 500 Injection
146,Plaxone-TZ 1.125 Injection
147,Playgard 100 Tablet
148,Playgard 50mg Tablet
149,Playgesic 250 mg/50 mg/325 mg Tablet MR
150,Playnac 100mg/325mg Tablet
151,Playnac MR 100mg/325mg/250mg Tablet
152,Playnac SP 100mg/325mg/15mg Tablet
153,Playnac TH 100mg/4mg Tablet
154,Playrol 5% Cream
155,Plazen 500mg Tablet
156,Plazen 500mg Tablet
157,Plaziloc 500mg Tablet
158,Plazip 5mg Tablet
159,Plazithro 500mg Tablet
160,Plazole 20mg Capsule
161,Plazy 40mg Injection
162,Plazy 40mg Injection
163,Plazy 40mg Tablet
164,Plazy 40mg Tablet
165,Plazy D 10mg/40mg Tablet
166,Plazy D 30mg/40mg Capsule SR
167,Plazy D 30mg/40mg Capsule SR
168,Plazy LS 75mg/40mg Capsule SR
169,Plazy LS 75mg/40mg Capsule SR
170,Plcin 250mg Injection
171,Plcin 500mg Injection
172,Plcin 500mg Injection
173,Plcort 6mg Tablet
174,Plecam 20 DT Tablet
175,Plecole 500mg Tablet
176,Plecole-Plus Tablet
177,Plecon 200 Capsule
178,Plecox 120 Tablet
179,Plecox 60mg Tablet
180,Plecox 90 Tablet
181,Plecox-P Tablet
182,Plecox-TH Tablet
183,Pledrox LB 500mg Tablet
184,Pleez 40mg Capsule
185,Plefate 5mg Oral Suspension
186,Plegat 0.3% Eye Drop
187,Plegiocard Injection
188,Plelos 50mg Tablet
189,Plelos-A Tablet
190,Plementil-MD Tablet
191,Plemox 250 Capsule
192,Plemox 400mg Injection
193,Plemox 500 Capsule
194,Plemox-CX Capsule
195,Plenacid Antacid Suspension Sugar Free
196,Plencet Tablet
197,Plencoff Syrup
198,Plencoff-LS Expectorant
199,Plencyp-T Syrup
200,Plendil 10mg Tablet
201,Plendil 2.5mg Tablet ER
202,Plendil ER 10mg Tablet
203,Plenlor TH 8mg/4mg Tablet
204,Plenlor-P Tablet
205,Plenoin Cream
206,Plenoliv 300mg Tablet
207,Plenspas Tablet
208,Plentap 100mg Tablet
209,Plentap 50mg Tablet
210,Plentap 50mg Tablet
211,Plenticlox 250mg/250mg Capsule
212,Plentimol 1000mg Infusion
213,Plentimol 650mg Tablet
214,Pleomax 50mg Tablet
215,Pleomax AM 5mg/25mg Tablet
216,Pleopill 10mg Tablet
217,Pleopill 40mg Tablet
218,Pleorose 10mg Tablet
219,Pleostin 10mg Tablet
220,Pleostin 10mg Tablet
221,Pleostin 20mg Tablet
222,Pleostin 5mg Tablet
