,items
0,Pt-Zole-D 10mg/20mg Capsule
1,Pta 40mg Injection
2,Pta 40mg Injection
3,Pta 40mg Tablet
4,Pta D 30mg/40mg Capsule SR
5,Ptab D 30mg/40mg Tablet SR
6,Ptat A 150mg/75mg Tablet
7,Ptat A 75mg/75mg Tablet
8,Ptat A 75mg/75mg Tablet
9,Ptbact 4000 mg/500 mg Injection
10,Ptcam 20 DT Tablet
11,Ptcet 5mg Tablet
12,Ptcet MPD 2.5mg/4mg Tablet
13,Ptcid 40 Tablet
14,Ptcid 40mg Injection
15,Ptcid Plus Tablet
16,Ptcid-DSR Capsule
17,Ptcorn 40mg Injection
18,Ptek 40mg Injection
19,Ptek 40mg Tablet
20,Ptek 40mg Tablet
21,Ptek D 10mg/40mg Tablet
22,Ptek D 10mg/40mg Tablet
23,Ptek D 10mg/40mg Tablet
24,Ptek D 30mg/40mg Capsule SR
25,Ptempt 2mg Tablet
26,Ptero 5mg Tablet
27,Pteron-A 375 Tablet
28,Pteron-A 625 LB Tablet
29,Pteron-A 625 Tablet
30,Pteron-A Dry Syrup
31,Pteron-A Forte Oral Suspension
32,Pth 30 Tablet
33,Pth 60mg Tablet
34,Pth 90mg Tablet
35,Pti 2000 mg/250 mg Injection
36,Ptive 500 Tablet
37,Ptive 500 Tablet
38,Ptlec 10mg Tablet
39,Ptlec 5mg Tablet
40,Ptm 400mg Tablet
41,Ptm Syrup
42,Ptmax 4000 mg/500 mg Injection
43,Ptr 325mg/37.5mg Tablet
44,Ptraam 37.5mg/325mg Tablet
45,Ptsafe 4000 mg/500 mg Injection
46,Ptvs 2mg Tablet
47,Ptvs Duo 4mg/10mg Tablet
48,Ptvs FB 2mg/67.5mg Tablet
49,Ptvs Plus 2mg/10mg Tablet
50,Ptz 4.5gm Injection
51,Ptz 4000mg/500mg Injection
52,Ptzem 4000mg/500mg Injection
53,Ptzem 4000mg/500mg Injection
