,items
0,Rb Cef 500mg Tablet
1,Rb Pregsave 200mg Capsule
2,Rb Pregsave 200mg Capsule
3,Rb Pregsave 200mg Injection
4,Rb-Red XT Syrup
5,Rbc 20mg Tablet
6,Rbc D 10mg/20mg Tablet
7,Rbc DSR Capsule
8,Rbcare 20mg Injection
9,Rbcare 20mg Tablet
10,Rbcare D 30mg/20mg Capsule SR
11,Rbcare LD 75mg/20mg Capsule
12,Rbcel 2.5mg Injection
13,Rbcel 2.5mg Injection
14,Rbcort 40mg Injection
15,Rbcort 40mg Injection
16,Rbeat 20mg Tablet
17,Rbfine D 30mg/20mg Capsule SR
18,Rbflox 200mg Tablet
19,Rbflox 200mg Tablet
20,Rbit D 30mg/20mg Capsule SR
21,Rbit D 30mg/20mg Capsule SR
22,Rbp DSR 30 mg/20 mg Capsule
23,Rbp Tablet
24,Rbp-D Capsule
25,Rbr 20mg Tablet
26,Rbr DSR Capsule
27,Rbson 20mg Capsule
28,Rbson D Capsule SR
29,Rbson L Capsule
30,Rbsys 20 Tablet
31,Rbsys L 75mg/20mg Capsule
32,Rbtas DSR 30mg/20mg Capsule
33,Rbwin 20mg Tablet
34,Rbwin D 30mg/20mg Capsule SR
35,Rbx DSR 30 mg/20 mg Capsule
36,Rbz 20mg Tablet
37,Rbz 20mg Tablet
38,Rbz IT 20mg/150mg Capsule
39,Rbz LS 75mg/20mg Capsule
40,Rbz LS 75mg/20mg Capsule
41,Rbz-DSR Capsule
42,Rbzole 20mg Tablet
