,items
0,Rcap 20mg Tablet
1,Rcap D 30mg/20mg Capsule SR
2,Rcar 20mg Capsule
3,Rcar 20mg Capsule
4,Rcepod 100mg Tablet
5,Rcepod 100mg Tablet
6,Rcepod 200 Tablet DT
7,Rcepod AZ 200mg/250mg Tablet
8,Rcepod CV 200mg/125mg Tablet
9,Rcepod CV 200mg/125mg Tablet
10,Rcepod O 200mg/200mg Tablet
11,Rcet-L Tablet
12,Rcetam 400mg Capsule
13,Rcf 100mg Tablet DT
14,Rcf 100mg Tablet DT
15,Rcid DSR 30 mg/20 mg Capsule
16,Rcid DSR 30mg/20mg Capsule
17,Rcifax 400 Tablet
18,Rcifax 550 Tablet
19,Rcifax Suspension
20,Rcifax Tablet
21,Rcip 500mg Tablet
22,Rcip 500mg Tablet
23,Rclo P 100mg/325mg Tablet
24,Rclo SP 100mg/325mg/15mg Tablet
25,Rclonac Tablet SR
26,Rcobal GB 300mg/500mcg Tablet
27,Rcobal PG 750mcg/75mg Capsule
28,Rcof Syrup
29,Rcold Syrup
30,Rcon-LSR Capsule
31,Rcord 5mg Capsule
32,Rcord 5mg Capsule
33,Rcpan 40mg Injection
34,Rcpan 40mg Tablet
35,Rct 500mg/600mg Tablet
36,Rcut  Tablet
37,Rcut  Tablet
38,Rcut-D Capsule SR
