,items
0,Roal 150mg Tablet
1,Roampin AT 5mg/50mg Tablet
2,Roar 100mg Syrup
3,Roar 100mg Tablet
4,Roaron 400mg Tablet
5,Roaron AM 400mg/30mg Tablet
6,Roaron M 400mg/10mg Tablet SR
7,Rob 20mg Tablet
8,Rob D 10mg/20mg Tablet
9,Rob D 30mg/20mg Capsule SR
10,Rob DSR 30mg/20mg Capsule
11,Rob IV 20mg Injection
12,Rob LS 75mg/20mg Capsule
13,Robama 20mg Tablet
14,Robama DSR 30mg/20mg Capsule
15,Robama IT 20mg/150mg Capsule
16,Robantos 20 Injection
17,Robantos-DSR Capsule
18,Robantos-L Capsule SR
19,Robby 20mg Tablet
20,Robby ITR 20mg/150mg Capsule
21,Robby Plus 75mg/20mg Tablet
22,Robby-LSR Capsule
23,Robcaine Syrup
24,Robe 20mg Tablet
25,Robeen-L Capsule SR
26,Robeen-L Capsule SR
27,Robero 20mg Tablet
28,Robero D 30mg/20mg Capsule SR
29,Robero L 75mg/20mg Capsule SR
30,Robet Oral Gel
31,Robeta 16mg Tablet
32,Robeta 8mg Tablet
33,Robeyflox 200mg Tablet
34,Robeyflox OZ 200mg/500mg Tablet
35,Robezole 20mg Tablet
36,Robezole-D Capsule
37,Robi 20mg Tablet
38,Robi-M Tablet
39,Robial 500mg Tablet
40,Robial 500mg Tablet
41,Robic LD 75mg/20mg Capsule SR
42,Robical-C Soft Gelatin Capsule
43,Robicam P 8mg/500mg Tablet
44,Robicam P 8mg/500mg Tablet
45,Robid 50mg/300mg Injection
46,Robidil D 30mg/20mg Capsule SR
47,Robie-DSR Capsule
48,Robigest 200 Softgel Capsule
49,Robilink 20mg Capsule
50,Robilink 20mg Capsule
51,Robilink 20mg Injection
52,Robilink 20mg Injection
53,Robilink DSR Capsule
54,Robilink-L Tablet SR
55,Robin 20mg Tablet
56,Robin DSR Capsule
57,Robin LS 75mg/20mg Capsule SR
58,Robinac 100mg Tablet SR
59,Robinac MR 250mg/50mg/325mg Tablet
60,Robinax 100mg Injection
61,Robinax 500mg Tablet
62,Robinaxol 350 mg/250 mg Tablet
63,Robinaxol D 50 mg/325 mg/500 mg Tablet
64,Robincold Tablet
65,Robipan DSR Capsule
66,Robipan L 75mg/20mg Capsule SR
67,Robipan L 75mg/20mg Capsule SR
68,Robipan-IT Capsule SR
69,Robipraz-D Capsule SR
70,Robispas 80mg/250mg Tablet
71,Robispas 80mg/250mg Tablet
72,Robitin 16mg Tablet
73,Robitin 8mg Tablet
74,Robitram P 37.5mg/325mg Tablet
75,Robitrax 125mg Injection
76,Robitrax 125mg Injection
77,Robitrax 1gm Injection
78,Robitrax 250mg Injection
79,Robitrax 500mg Injection
80,Robitrax 500mg Injection
81,Robitrax-S 1.5gm Injection
82,Robitrax-S 1.5gm Injection
83,Robitrax-S 375mg Injection
84,Robitrax-S 750mg Injection
85,Robitrax-TZ 1.125gm Injection
86,Robitrax-TZ 281.25mg Injection
87,Robitrax-TZ 281.25mg Injection
88,Robiwel 20mg Tablet
89,Robiwel L Capsule
90,Robiwel L Capsule
91,Robiwel-D SR Capsule
92,Robiz-SR Capsule
93,Robkof Syrup
94,Robnac AC 200mg/20mg Capsule SR
95,Robne DM 10mg/20mg Tablet
96,Robne DSR Capsule
97,Robnix 200mg/20mg Capsule SR
98,Robnix 20mg Tablet
99,Robnix-D Tablet
100,Robnix-DSR Capsule
101,Robnix-LS Capsule SR
102,Robo 20 Tablet
103,Robo 20mg Tablet
104,Robo D 30mg/20mg Capsule SR
105,Robo DSR Capsule
106,Robo-D Capsule SR
107,Roboc L 75mg/20mg Capsule SR
108,Roboc L 75mg/20mg Capsule SR
109,Robodoc 20mg Tablet
110,Robodol 100mg/325mg Tablet
111,Robodol MR 100mg/325mg/250mg Tablet
112,Robodol MR 100mg/325mg/250mg Tablet
113,Robomac ET 20mg/150mg Capsule
114,Robomac L 75mg/20mg Capsule
115,Robos-DSR Capsule
116,Robosin-A Tablet
117,Roboxim 125mg Tablet
118,Roboxim 250mg Tablet
119,Roboxim 500mg Tablet
120,Roboxim 500mg Tablet
121,Robra 20 Tablet
122,Robra Injection
123,Robra Injection
124,Robra-DSR Capsule
125,Robra-IT Capsule SR
126,Robra-LS Capsule SR
127,Robten-D 10mg/20mg Tablet
128,Robten-IT 20mg/150mg Capsule SR
129,Robten-LS 75mg/20mg Capsule
130,Robur 100mg Oral Suspension
131,Robur 200mg Tablet
132,Robur 200mg Tablet
133,Robur O 200mg/500mg Tablet
134,Roburol 10mg Tablet
135,Robyzole D 30mg/20mg Capsule
136,Robyzole L Capsule SR
137,Rocaine 10mg Injection
138,Rocaine 5mg Injection
139,Rocam 20mg Capsule
140,Rocas 1mg Tablet
141,Rocef 100mg Dry Syrup
142,Rocef 1gm Injection
143,Rocef 200mg Tablet
144,Rocef 500mg Tablet
145,Rocef 50mg Dry Syrup
146,Rocef CV Dry Syrup
147,Rocef-S 1gm/0.5gm Injection
148,Rocefen 100mg/325mg Tablet
149,Rocefen MR 100mg/325mg/250mg Tablet
150,Rocefen SP 100mg/325mg/15mg Tablet
151,Roceft 1000mg Injection
152,Rocell 10mg Tablet
153,Rocell 20mg Tablet
154,Rocell F 160mg/10mg Tablet
155,Rocerin GM Tablet
156,Rocflu 200 Tablet
157,Rocid D 10mg/20mg Capsule
158,Rocin 100mg Injection
159,Rocin 250mg Injection
160,Rocin 250mg Injection
161,Rocin 250mg Tablet
162,Rocin 500mg Tablet
163,Rocio 20 Tablet
164,Rocio D Capsule SR
165,Rocip 250mg Tablet
166,Rocip 500mg Tablet
167,Rocip TZ 500mg/600mg Tablet
168,Rockbon C Spray
169,Rockbon Kit
170,Rockbon PTH Solution for Injection
171,Rockbon Tablet
172,Rockbon Tablet
173,Rockcef 1.5gm Injection
174,Rockcef 250mg Tablet
175,Rockcef 500mg Tablet
176,Rockcef 750mg Injection
177,Rockcef-CV Tablet
178,Rockcid 40mg Tablet
