,items
0,Rt Block 20mg Tablet
1,Rt Fal 60mg Injection
2,Rt Max 60mg Injection
3,Rtcare D Syrup
4,Rtcare P Syrup
5,Rtcare Syrup
6,Rtd 150mg Tablet
7,Rtethr LM 80mg/480mg Tablet
8,Rtgen 150mg Injection
9,Rther 80mg/480mg Tablet
10,Rther 80mg/480mg Tablet
11,Rtherax Injection
12,Rthrombo 1500000IU Injection
13,Rti 250mg Tablet
14,Rticlav 200mg/28.5mg Syrup
15,Rticlav 400mg/28.5mg Oral Solution
16,Rticlav 400mg/5ml/57mg/5ml Dry Syrup
17,Rticlav 500mg/125mg Tablet
18,Rtif Plus 30mg/20mg Capsule
19,Rtimc 60mg Injection
20,Rtist 125mg Oral Suspension
21,Rtlide 250 mg/100 mg Tablet
22,Rtlide 500 mg/100 mg Tablet
23,Rtm Forte 80mg/480mg Tablet
24,Rto Capsule
25,Rtqs 200 Tablet
26,Rtqs 400 Tablet
27,Rtrit-SP 100 Combikit
28,Rts 10mg Tablet
29,Rts 10mg Tablet
30,Rtstin 12.5 Tablet CR
31,Rtstin 25 Tablet CR
32,Rtstin 25 Tablet CR
33,Rtsun 100mg Injection
34,Rtsun 50mg Tablet
35,Rtsun 50mg Tablet DT
36,Rtsun 60mg Tablet
37,Rtsun 60mg Tablet
38,Rtsun 60mg injection
39,Rtsun SP 100mg/500mg/25mg Tablet
40,Rtsun SP 25 mg/500 mg Tablet
41,Rtsunate 120mg Injection
42,Rtsunate 50mg Tablet
43,Rtsunate 50mg Tablet
44,Rtsunate 60mg Injection
45,Rtsunate Plus Kit Tablet
46,Rtsunate Plus Kit Tablet
47,Rtsunate SP 100mg/500mg/25mg Tablet
48,Rtsunate SP 100mg/500mg/25mg Tablet
49,Rtsunate SP 200mg/500mg/25mg Tablet
50,Rtx 75mg Injection
51,Rtx RT 60mg Injection
