,items
0,SEAFAX 250 MG CAPSULE
1,SEAZOX 500 MG TABLET
2,SEDOSOLVIN SUSPENSION
3,SEMDAYS 50MG/10MG TABLET
4,SEMDAYS 50MG/10MG TABLET
5,SEMDAYS 50MG/10MG TABLET
6,SEMI GLYNASE 2.5MG TABLET
7,SENORM 10MG TABLET
8,SENORM 5 MG TABLET
9,SENVAL 300 MG TABLET
10,SENVAL 500 MG TABLET
11,SEP 10mg Tablet
12,SEP 10mg Tablet
13,SEPEXIN 250 MG TABLET
14,SEPHEN 125 MG TABLET
15,SERAX PLUS TABLET
16,SERDI TABLET
17,SEROSTAT 250MG INJECTION
18,SEROZ D 50 MG/10 MG TABLET
19,SEZIN 25MG TABLET
20,SEZIN-DM 10MG/20MG TABLET
21,SEZOPAM TABLET MD
