,items
0,SODAC 8.4% INJECTION
1,SODIUM CHLORIDE INFUSION
2,SOFALCO 100 MG CAPSULE
3,SOFRAMYCIN 0.5% EYE DROP
4,SOFRAMYCIN POWDER
5,SOLBIHALE T INHALER
6,SOLIDEC 50MG INJECTION
7,SOLIGUARD 5 MG TABLET
8,SOLIGUARD 5 MG TABLET
9,SOLOKAST 4 MG TABLET
10,SOLOKAST 5 MG TABLET
11,SOLOQUIN 100 MG TABLET
12,SOLPHEN 100MG TABLET
13,SOLPHEN 50 MG TABLET
14,SOLVIN LOZENGES
15,SOMIFIZ 40 MG TABLET
16,SOMPRAZ 50 MG INJECTION
17,SOMPRAZ FAST 20 MG TABLET
18,SOMPRAZ FAST 40 MG TABLET
19,SONADERM N CREAM
20,SONIRAB 10 MG TABLET
21,SOTRET 5 MG CAPSULE
