,items
0,SP Clav 1000 mg/200 mg Injection
1,SP Clav 200 mg/28.5 mg Dry Syrup
2,SP Clav 200 mg/28.5 mg Dry Syrup
3,SP Clav 500 mg/125 mg Tablet
4,SP Clav Tablet
5,SP Din 1000mg Injection
6,SP Din 1000mg Injection
7,SP Din 250mg Injection
8,SP Doxime 1000mg Injection
9,SP Doxime 100mg Tablet
10,SP Doxime 200mg Tablet
11,SP Doxime 500mg Injection
12,SP Doxime 50mg Dry Syrup
13,SP Doxime SB 1000mg/500mg Injection
14,SP Doxime SB 500mg/250mg Injection
15,SP Lax 10mg Tablet
16,SP Lax Suspension
17,SP Mild 10mg/250mg Tablet
18,SP Mycin 500mg Tablet
19,SP.Nac 100 mg/500 mg Tablet
20,SP.Nac 100 mg/500 mg Tablet
21,SPARBACT 200 MG TABLET
22,SPASMED TABLET
23,SPASMINDON INJECTION
24,SPASMONICE 20MG/100MG TABLET
25,SPASMONICE 20MG/100MG TABLET
26,SPAZOBID 250 MG/50 MG/325 MG TABLET
27,SPD 10mg Tablet
28,SPD 10mg Tablet
29,SPD 50mg Tablet
30,SPD Gel
31,SPD Oil
32,SPECTOREN 200 MG TABLET
33,SPILACTONE 100 MG TABLET
34,SPORMAX 125 MG DRY SYRUP
35,SPORMAX 125 MG DRY SYRUP
36,SPORMAX 250 MG CAPSULE
37,SPORMAX 500 MG CAPSULE
