,items
0,Si-On Syrup
1,Si-On Syrup
2,Siacef 1gm Injection
3,Siacef 1gm Injection
4,Siaclo 100mg Tablet
5,Siadex-P Oral Suspension
6,Siadex-P Oral Suspension
7,Siadine Ointment
8,Siaflox-OZ 200mg/500mg Tablet
9,Siagene Oral Gel
10,Sial 200mg Tablet
11,Sialar-FC Cream
12,Sialar-FC Cream
13,Sialid 100mg Tablet
14,Siamol-DC 20mg/500mg Tablet
15,Siamox 250mg Tablet
16,Sianor Eye Drop
17,Sianorm 5mg Injection
18,Sianorm 5mg Injection
19,Siaomez 20mg Capsule
20,Siaomez-D 10mg/20mg Capsule
21,Siapain Relief 50mg/500mg Tablet
22,Siarab 20mg Tablet
23,Siarab-D 10mg/20mg Tablet
24,Siate 0.2% Mouth Wash
25,Siatram 50mg Injection
26,Siazolam 0.25mg Tablet
27,Siazolam 0.5mg Tablet
28,Sibagef Tablet
29,Sibagem 200mg Injection
30,Sibanda 40 Tablet
31,Sibastin M 10mg/10mg Tablet
32,Sibastin Tablet
33,Sibatax 100mg Injection
34,Sibatax 260mg Injection
35,Sibatax 30mg Injection
36,Sibatere 20 Injection Combipack
37,Sibatere 80 Injection Combipack
38,Sibazol 4mg Injection
39,Sibbidex OR 120mg Capsule
40,Sibdom 10mg Tablet DT
41,Sibelium 10mg Tablet
42,Sibelium 5mg Tablet
43,Sibergel Forte Oral Suspension
44,Sibet 300mg Tablet
45,Sibet 400mg Tablet
46,Sibet P 300 mg/500 mg Capsule
47,Sibixime LB 200mg Tablet
48,Siblocef 1000mg Injection
49,Siblocef SB 1000mg/500mg Injection
50,Sibocure 400 Tablet
51,Sibofix 200 Tablet
52,Sibofix 400 Tablet
53,Sibofix 550 Tablet
54,Sibofix Suspension
55,Sibolone Tablet
56,Sibs 5mg/2.5mg Tablet
57,Sicam 20mg Tablet DT
58,Sicam Injection
59,Sicastat 1% Solution
60,Sicef 500mg Injection
61,Sichlor 250mg Tablet
62,Sichlor 250mg Tablet
63,Sicip 500mg Tablet
64,Sick 200mg Tablet SR
65,Sick 200mg Tablet SR
66,Sick MR 100mg/325mg/250mg Tablet
67,Sick P 100mg/325mg Tablet
68,Sick SP 100mg/325mg/15mg Tablet
69,Sick T 100mg/4mg Tablet
70,Sick T 100mg/8mg Tablet
71,Siclo 200mg Tablet SR
72,Siclo MR 100mg/325mg/250mg Tablet
73,Siclo Plus 100mg/325mg Tablet
74,Siclo Plus Oral Suspension Strawberry
75,Siclo Sera 100mg/325mg/10mg Tablet
76,Siclo-P 100mg/500mg Tablet
77,Sicloflam 100mg/325mg/15mg Tablet
78,Siclomox P 125mg/125mg Tablet DT
79,Siclomox-S Capsule
80,Siclozone CN Cream
81,Sicoff-AM Expectorant
82,Sicoff-AM Expectorant
83,Sicoril Oral Suspension
84,Sicreptin 1.25mg Tablet
85,Sicriptin 1.25 Tablet
86,Sicriptin 10mg Tablet
87,Sicriptin 5mg Tablet
88,Sicriptin Tablet
89,Sicriptin Usp 2.5mg Tablet
90,Sicrom 4% Eye Drop
91,Sidan DS Syrup
