,items
0,Smace Tablet
1,Smaclif 200mg Tablet SR
2,Smaclif Forte 100mg/325mg/10mg Tablet
3,Smaclif Plus 100mg/325mg Tablet
4,Smaclif Plus Syrup
5,Smaclif TH 100mg/4mg Tablet
6,Smacolin Plus 500mg/400mg Tablet
7,Smadip 10mg Tablet
8,Smadrot MF 80mg/250mg Tablet
9,Smadrot MF 80mg/250mg Tablet
10,Smaflin 20mg Tablet
11,Smaftif 250mg Tablet
12,Smaftif 500mg Tablet
13,Smaftif CL 500mg/125mg Tablet
14,Smafty 1000mg Injection
15,Smakofdix Syrup
16,Smapyp 1000mg/125mg Injection
17,Smapyp 4000mg/500mg Injection
18,Smapyp 4000mg/500mg Injection
19,Smarliv 300mg Tablet
20,Smart Glo Cream
21,Smart PL 75mg/40mg Capsule
22,Smartcet Tablet
23,Smartcold Tablet
24,Smartears DS Aqua Gel
25,Smartears Eye Drop
26,Smartears-DS Aqua Gel
27,Smartflam D Tablet
28,Smartflam T Tablet
29,Smartflox O Tablet
30,Smartgrow Syrup Sugar Free
31,Smartgrow Syrup Sugar Free
32,Smarti Tablet
33,Smarti-M Tablet
34,Smartilon 20 Tablet
35,Smartilon 30 Tablet
36,Smartinor 5mg Tablet
37,Smartinor CR 10mg Tablet
38,Smartinor CR 15mg Tablet
39,Smartova 100 Combipack
40,Smartova 50 Combipack
41,Smartova L 2.5mg Tablet
42,Smartova Pure 100 Capsule
43,Smartova Pure 50 Capsule
44,Smatif AL 80mg/480mg Tablet
45,Smatoxtif Syrup
46,Smatoxtif Syrup
47,Smdol 50mg Injection
48,Smdol P 37.5mg/325mg Tablet
49,Smeropen 1000mg Injection
50,Smeropen 1000mg Injection
51,Smeto Cream
52,Smeto Cream
53,Smf Kit 150 mg/500 mg/1000 mg Tablet
54,Smicet Tablet
55,Smicip 250mg Tablet
56,Smicip 250mg Tablet
57,Smidol 650mg Tablet
58,Smiflox 200mg Tablet
59,Smile Plus Eye Drop
60,Smile Tears Eye Drop
61,Smilee 500mg Tablet
62,Smilogel Mouth Ulcer Gel
63,Smilogel-CT Mouth Ulcer Gel
64,Smilor 5mg/50mg Tablet
65,Smilor 5mg/50mg Tablet
66,Smily D 30mg/20mg Capsule SR
67,Smineac MR Tablet
68,Smineac MR Tablet
69,Smirazole 40mg Tablet
70,Smite 5% Cream
71,Smocef 100mg Tablet DT
72,Smocef AZ 200mg/250mg Tablet
73,Smocef LB 200mg Tablet
74,Smocef O LB 200mg/200mg Tablet
75,Smocef OZ 200mg/500mg Tablet
76,Smocet 5mg Tablet
77,Smocet M 5mg/10mg Tablet
78,Smocet M Kid 2.5mg/4mg Tablet
79,Smocon 200mg Capsule
80,Smocort 6mg Tablet
81,Smocyp Syrup
82,Smodace GM 750mg/50mg/250mg Tablet
83,Smodic MR 250mg/50mg/325mg Tablet
84,Smodic P 50mg/325mg Tablet
85,Smodic P 50mg/325mg Tablet
86,Smodic S 50mg/10mg Tablet
87,Smodic S 50mg/10mg Tablet
88,Smodic SP 50mg/325mg/15mg Tablet
89,Smoflox 200mg Tablet
90,Smoflox 200mg Tablet
91,Smoflox OZ 200mg/500mg Tablet
92,Smoflox OZ Syrup
93,Smoflox OZ Syrup
94,Smohist 16mg Tablet
95,Smohist 16mg Tablet
96,Smoke Free  4 Chewing Gums
97,Smolax M 10mg/250mg Tablet
98,Smoltif MF Syrup
99,Smonac MR 100mg/325mg/250mg Tablet
100,Smonac P Syrup
101,Smoosh 5mg/325mg/5mg Tablet
102,Smoosh 5mg/325mg/5mg Tablet
103,Smoothspas 40mg Injection
104,Smoothspas 80mg Tablet
105,Smoothspas P 50mg/325mg Tablet
106,Smoothspas P Dry Syrup
107,Smoothspas-M Tablet
108,Smooz Syrup
109,Smopan D 30mg/40mg Capsule SR
110,Smopan D 30mg/40mg Capsule SR
111,Smopara 250mg Syrup
112,Smopara 250mg Syrup
113,Smopara 650mg Tablet
114,Smopod 200mg Tablet DT
115,Smopod 50mg Dry Syrup
116,Smopod CV 200mg/125mg Tablet
117,Smopod DS 100mg Dry Syrup
118,Smoquit 150mg Tablet SR
119,Smorab 20mg Injection
120,Smorab 20mg Tablet
121,Smorab 20mg Tablet
122,Smorab D 10mg/20mg Tablet
123,Smorab D 30mg/20mg Capsule SR
124,Smorab L 75mg/20mg Capsule SR
125,Smorex DM Syrup
126,Smorhine M 10mg/120mg Tablet
127,Smorhine M 10mg/120mg Tablet
128,Smorox 250mg Tablet
129,Smorox 250mg Tablet
130,Smozide 1000mg Injection
131,Smpm Plus 1000mg/500mg Injection
132,Smr 250 mg/50 mg/325 mg Tablet
133,Smr 250 mg/50 mg/325 mg Tablet
134,Smroxtif LS Syrup
135,Smroxtif Oral Drops
136,Smroxtif S Syrup
137,Sms 12.5mg Tablet XL
138,Sms 12.5mg Tablet XL
139,Sms 25mg Tablet XL
140,Sms 50mg Tablet XL
141,Smuk 0.5% Soap
142,Smuk 0.5% Soap
143,Smulax Liquid
144,Smulax Liquid
145,Smuth Capsule
146,Smuth Cream
147,Smuth Fiber
148,Smuth Oral Suspension
149,Smuth Oral Suspension
150,Smuth Oral Suspension Mint Sugar Free
