,items
0,Sp More 1000mg Injection
1,Sp More 125mg Injection
2,Spa D 10mg/40mg Tablet
3,Spa DP Oral Drops
4,Spaban 20mg/500mg Tablet
5,Space 250mg Suspension
6,Space 250mg Suspension
7,Spacef 100mg Tablet
8,Spacef 200mg Tablet
9,Spacef 50mg Tablet DT
10,Spacef 50mg Tablet DT
11,Spacet 5mg Tablet
12,Spacip 500mg Tablet
13,Spaclav 500mg/125mg Tablet
14,Spaclav Dry Syrup
15,Spaclo P 100mg/500mg Tablet
16,Spaclovir 200mg Tablet
17,Spacovin 40mg Tablet
18,Spacyp Syrup
19,Spade 10mg Tablet
20,Spade 20mg Tablet
21,Spade 20mg Tablet
22,Spade 5mg Tablet
23,Spade AP 100mg/325mg/15mg Tablet
24,Spade Forte 10mg Tablet
25,Spade-D Tablet
26,Spadel 10mg Tablet
27,Spadel OD 20mg Tablet
28,Spadic 75mg Injection
29,Spadon 20mg/500mg Tablet
30,Spadrot MF 80mg/250mg Tablet
31,Spadrot MF 80mg/250mg Tablet
32,Spadsspas 80mg/250mg Tablet
33,Spadsspas 80mg/250mg Tablet
34,Spafast 4mg Injection
35,Spafast D 2 mg/37.5 mg Injection
36,Spafen 10mg Tablet
37,Spafen 10mg Tablet
38,Spaflox OZ 200mg/500mg Tablet
39,Spaflox OZ 200mg/500mg Tablet
40,Spaflox Syrup
41,Spage Q10 Tablet
42,Spagel Syrup
43,Spaike 100mg Injection
44,Spaike 100mg Injection
45,Spaike 250mg Injection
46,Spakin 100mg Injection
47,Spakin 100mg Injection
48,Spakin 500mg Injection
49,Spalcin 500mg Injection
50,Spalcin 500mg Injection
51,Spalo 200mg Tablet
52,Spalon 200mg Tablet
53,Spalon 200mg Tablet
54,Spalonem 1gm Injection
55,Spalonem 1gm Injection
56,Spalonem-SB Injection
57,Spam Drop
58,Spam M 10mg/250mg Tablet
59,Spama M 20mg/250mg Tablet
60,Spamik 100mg Injection
61,Spamik 100mg Injection
62,Spamik 500mg Injection
63,Spamik 500mg Injection
64,Spamox 250mg Tablet
65,Spamox 500mg Capsule
66,Span  LB Syrup
67,Span 100mg Tablet
68,Span 200mg Tablet
69,Span 200mg Tablet
70,Span 40mg Tablet
71,Span D Tablet
72,Span R 200mg Tablet
73,Span R 200mg Tablet
74,Spand 40mg Tablet
75,Spandox PR 100mg Tablet
76,Spandox SP 100mg/15mg Tablet
77,Spandril 20 mg/250 mg Tablet
78,Spanim 100mg Tablet
79,Spanity 40mg Tablet
