,items
0,Srb 20 Capsule
1,Srcmoxo 400mg Tablet
2,Srcmoxo 400mg Tablet
3,Srd 10mg Tablet
4,Srd CL 250mg/50mg/325mg Tablet
5,Srd Plus 50mg/325mg/10mg Tablet
6,Sreyas Syrup
7,Sreyas Tablet
8,Srflox 200mg Tablet
9,Srflox 200mg Tablet
10,Srflox 400mg Tablet
11,Srflox 400mg Tablet
12,Srflox O 200mg/500mg Tablet
13,Srflox O 200mg/500mg Tablet
14,Srgaba 300mg Tablet
15,Srgest 200mg Capsule
16,Sri 10mg Tablet
17,Sri 20mg Tablet
18,Sri CZ 0.25 mg/10 mg Tablet
19,Sri Soxpin 40mg Tablet
20,Sricef 200mg Tablet
21,Sricef 500mg Tablet
22,Sricef CV 200mg/125mg Tablet
23,Sricef CV 200mg/125mg Tablet
24,Sricef Dry Syrup
25,Sricef Dry Syrup
26,Sricef O 200mg/200mg Tablet
27,Sricef-AZ Tablet
28,Sriderm Cream
29,Sridic-AQ 75mg Injection
30,Srika 250mg Injection
31,Srika 250mg Injection
32,Srika 500mg Injection
33,Srimic 500mg Injection
34,Srimox 125mg Tablet
35,Srimox 125mg Tablet
36,Srimox 250mg Capsule
37,Srimox 500mg Capsule
38,Srmoflox OZ 200mg/500mg Tablet
39,Srmoflox OZ 200mg/500mg Tablet
40,Srocef 1000 Injection
41,Srocef 500mg Injection
42,Srocef S 1000mg/500mg Injection
43,Srocef S 250mg/125mg Injection
44,Srocef T 1000mg/125mg Injection
45,Srolen 10mg Tablet
46,Sromox CA 1000mg/200mg Injection
47,Sromox-CA 625 Tablet
48,Srorab-DSR Capsule
49,Srpara Tablet SR
50,Srpride M 2mg/1000mg Tablet ER
51,Srramet 10mg Tablet
52,Srvmor 50mg/400mg Tablet
53,Srzole D 30mg/40mg Capsule SR
