,items
0,Sy Fixime 200mg Tablet
1,Syband Suspension
2,Syband Tablet
3,Syband Tablet
4,Sybil  375mg Tablet
5,Sybil  Duo Tablet
6,Sycacin 100mg Injection
7,Sycacin 250mg Injection
8,Sycacin 500mg Injection
9,Sycef 100mg Tablet
10,Sycef 100mg Tablet
11,Sycef 100mg Tablet
12,Sycef 200mg Tablet
13,Sycef 250mg Tablet
14,Sycef 250mg Tablet
15,Sycef 250mg Tablet
16,Sycef 500mg Tablet
17,Sycef Tablet
18,Sycet 10mg Tablet
19,Sychitol 600000IU Injection
20,Sychlor 250mg Capsule
21,Sychlor 500mg Capsule
22,Sychlor 500mg Capsule
23,Sychozine 100mg Tablet
24,Sychozine 50mg Tablet
25,Sycip 250mg Tablet
26,Sycip T 250mg/300mg Tablet
27,Sycip T Forte Tablet
28,Syclav 1000mg/200mg Injection
29,Syclav 500mg/125mg Tablet
30,Syclav Syrup
31,Syclav Syrup
32,Sycline 2.5mg Tablet MD
33,Sycline 5mg Tablet MD
34,Syclof-P Tablet
35,Syclof-SP Tablet
36,Syclof-T 4 Tablet
37,Syclop 100mg Tablet
38,Syclop 25mg Tablet
39,Sycloz 100mg Tablet
40,Sycloz 100mg Tablet
41,Sycloz 25mg Tablet
42,Sycloz 50mg Tablet
43,Syco Forte 50 mg/2 mg/5 mg Tablet
44,Syco Plus 5 mg/2 mg Tablet
45,Sycodep 2 mg/25 mg Tablet
46,Sycodone 1mg Tablet
47,Sycodone 1mg Tablet
48,Sycodone 2mg Tablet
49,Sycodone 3mg Tablet
50,Sycodone Plus 3 mg/2 mg Tablet
51,Sycold DS Oral Suspension
52,Sycomed 10mg Tablet
53,Sycomed ET 0.5mg/10mg Tablet
54,Sycomip 10mg Tablet
55,Sycomip 25mg Tablet
56,Sycomip 50mg Tablet
57,Sycomip 75mg Tablet SR
58,Syconil 25mg Tablet
59,Syconil 50mg Tablet
60,Syconil 75mg Tablet
61,Sycoril 100mg Tablet
62,Sycoril 25mg Tablet
63,Sycoril 25mg Tablet
64,Sycose 10 mg/1 mg Tablet
65,Sycot 2.5mg/2mg Tablet
66,Sycot 5mg/2mg Tablet
67,Sycyp Oral Suspension
68,Sydel M 80mg/500mg Tablet
69,Sydic Injection
70,Sydic Injection
71,Sydic-P Tablet
72,Sydol 100mg Injection
73,Sydol Forte Tablet
74,Sydol P 50mg/325mg Tablet
75,Sydom D 10mg/20mg Tablet
76,Sydox 200mg Tablet
77,Sydrot M 80mg/250mg Tablet
78,Sydrox 125mg Tablet DT
79,Sydrox 125mg Tablet DT
80,Sydrox 250mg Tablet DT
81,Sydrox 500mg Tablet
82,Syfex 250mg Tablet DT
83,Syfix 50mg Tablet
84,Syfix CV 200 mg/125 mg Tablet
85,Syflores 100mg Tablet
86,Syflores 200mg Tablet
87,Syflox 200mg Tablet
88,Syflox 500mg Tablet
89,Syflox TZ 200mg/600mg Tablet
90,Syflox TZ 200mg/600mg Tablet
91,Syform 500mg Tablet
92,Syfun 150mg Tablet
93,Syfur 500mg Tablet
94,Sygest 100mg Injection
95,Sygest 200mg Injection
96,Syhep Syrup
97,Syhep Syrup
98,Syklo-MF Tablet
99,Sykomin 50mg Tablet
100,Sykomin 50mg Tablet
101,Sykomin 75mg Tablet SR
102,Sykuf LS Syrup
103,Sykuf LS Syrup
104,Sykuf-AM Syrup
105,Sykuf-D Syrup
106,Syl 250mg Injection
107,Syl 250mg Tablet
108,Syl Forte 250mg Tablet
109,Syl Plus Tablet
110,Sylate 250 Tablet
111,Sylate 250mg/2ml Injection
112,Sylate 500 Tablet
113,Sylate Injection
114,Sylate T 250 mg/250 mg Tablet
115,Sylate T 500 mg/250 mg Tablet
116,Sylate-M 500 Tablet
117,Sylcoff-D Syrup Sugar Free
118,Sylcoff-X Syrup Sugar Free
119,Sylev A 5mg/75mg Tablet SR
120,Sylev A 5mg/75mg Tablet SR
121,Sylev A 5mg/75mg Tablet SR
122,Sylev Tablet
123,Sylev-M Oral Suspension
124,Sylev-M Tablet
125,Sylev-M Tablet
126,Sylex 500mg Tablet
127,Syliv Syrup
128,Sylkam 0.25mg Tablet
129,Sylkam 0.5mg Tablet
130,Sylkam 1mg 1mg Tablet
131,Sylkam 1mg Tablet
132,Syloliv 140mg Tablet
133,Syloliv Suspension
134,Sylone Cream
