,items
0,T 1 Eye Drop
1,T 1 PF Eye Drop
2,T 300mg Tablet
3,T 37 Suspension
4,T 37 Tablet
5,T 98 Plus Suspension
6,T Ator 10mg Tablet
7,T Ator 20mg Tablet
8,T Ator 40mg Tablet
9,T Beste 250mg Tablet
10,T Ceclo P 100 mg/500 mg Tablet
11,T Cef 1000mg Injection
12,T Cef 125mg Injection
13,T Cef 500mg Injection
14,T Cef CV Tablet
15,T Cet 10mg Tablet
16,T Cillin Plus Capsule
17,T Cillin Plus Forte Capsule
18,T Cillin Plus Forte Capsule
19,T Clar 250mg Tablet
20,T Clav 500mg/125mg Tablet
21,T Clav Syrup
22,T Clav Syrup
23,T Clop 75mg Tablet
24,T Clox 250mg Tablet
25,T Clox 500mg Tablet
26,T Cold Syrup
27,T Cort 40mg Injection
28,T Cure M Oral Suspension
29,T Derma 0.1% Ointment
30,T Dip 650mg Tablet
31,T Dip MF DS Suspension
32,T Dip MF Suspension
33,T Dol 37.5mg/325mg Tablet
34,T Dol 50mg Injection
35,T Dox 100mg Capsule
36,T Drot MF 80mg/250mg Tablet
37,T FLOX 400 MG/600 MG TABLET
38,T Fine 1% Ointment
39,T Fine 1% Ointment
40,T Fine 250mg Tablet
41,T Flox 400mg/600mg Tablet
42,T Flox 50mg/5ml/125mg/5ml Suspension
43,T Flu 20mg Capsule
44,T Gad 20mg Tablet
45,T Gad 20mg Tablet
46,T Gad 40mg Tablet
47,T Gad 40mg Tablet
48,T Glimet 2mg/500mg Tablet SR
49,T Glimet P 1mg/500mg/15mg Tablet ER
50,T Glip 20 Tablet
51,T Glip 20 Tablet
52,T Glip 20 Tablet
53,T Glip-M 1000 Tablet ER
54,T Glip-M 1000 Tablet ER
55,T Glip-M 1000 Tablet ER
56,T Glip-M 500 Tablet ER
57,T Glip-M 500 Tablet ER
58,T Glip-M 500 Tablet ER
59,T H Eye Ointment
60,T Hexy 2mg Tablet
61,T Hexy 5mg Tablet
62,T Jel 7.50% Gel
63,T Kox Tablet
64,T Kox Tablet
65,T Kuf Suspension
66,T Kuf Suspension
67,T Lac 10mg Tablet
68,T Lac Eye Drop
69,T Levo 500mg Infusion
70,T Levo 500mg Infusion
71,T Lith 450mg Tablet CR
72,T Livo 250mg Tablet
73,T Livo 500mg Tablet
74,T Lol 0.5% Eye Drop
75,T Lor 2mg Tablet
76,T M 250mg Capsule
77,T M SF Capsule
78,T MINIC CS SYRUP
79,T Mal 150mg Injection
80,T Mal 75mg Injection
81,T Mart H 80mg/12.5mg Tablet
82,T Mart H 80mg/12.5mg Tablet
83,T Mate 100mg Tablet
84,T Mate 25mg Tablet
85,T Mate 50mg Tablet
86,T Maz 200mg Tablet CR
87,T Maz 400mg Tablet CR
88,T Mox 100mg Oral Drops
89,T Mox 250mg Capsule
90,T Mox 500mg Tablet
91,T Mox Dry Syrup
92,T Mox Kid 125mg Tablet
93,T Mox Kid 125mg Tablet
94,T Mox Plus Capsule
95,T Mox Plus Forte Capsule
96,T Mr 4mg Capsule
97,T Mr 8mg Capsule
98,T Mr Plus 60mg/4mg Tablet
99,T Mycin Forte 250mg Tablet
100,T Mycin Forte 250mg Tablet
101,T Mycin Kid Tablet
102,T Nac Cream
103,T Nac Cream
104,T Nac Cream
105,T Nex 500mg Injection
106,T Nex 500mg Injection
107,T Nor Suspension
108,T Norm 650mg Tablet
109,T PRESSIN 1 MG INJECTION
110,T Pan 40mg Tablet
111,T Pan 40mg Tablet
112,T Pan D SR Capsule
113,T Pan D SR Capsule
114,T Para 37.5mg/325mg Tablet
115,T Pep 4000mg/500mg Injection
116,T Piper 4000mg/500mg Injection
117,T Plus Eye Drop
118,T Plus Eye Drop
119,T Pod 100mg Tablet DT
120,T Pod 200mg Tablet DT
121,T Pod 50mg Syrup
122,T Pod 50mg Tablet DT
123,T Press 1mg Injection
124,T Press AM 40mg/5mg Tablet
125,T Pro Forte 500mg/600mg Tablet
126,T Rab 10mg/20mg Tablet
127,T Rab 20mg Tablet
128,T Rab D 30mg/20mg Capsule SR
129,T Rab DSR Tablet
130,T Rosu 20mg Tablet
131,T Star 40mg Tablet
132,T Star H 40mg/12.5mg Tablet
133,T Syl 250mg Tablet
134,T Syl Tablet
135,T Top 333mg Capsule
136,T UP Tablet
137,T Zine 10mg Tablet
138,T Zine 50mg Tablet
139,T Zobact 4000mg/500mg Injection
140,T Zone 1000mg Injection
141,T Zone 1000mg Injection
142,T Zox 1gm Injection
