,items
0,T-72 Injection
1,T-98 DS Suspension
2,T-98 Paediatric Drops
3,T-98 Paediatric Suspension
4,T-98 Tablet
5,T-98 Tablet
6,T-Ator-F Tablet
7,T-BACT CREAM
8,T-BET Eye Drop
9,T-Bact 2% Ointment
10,T-Bact 2% Ointment
11,T-Ban Ointment
12,T-CEF 200MG TABLET
13,T-Can IT 200 Capsule
14,T-Cef 200mg/5ml Dry Syrup
15,T-Cef 50 mg Dry Syrup
16,T-Cef 50 mg Dry Syrup
17,T-Cef-200 LB Tablet
18,T-Cold Oral Drops
19,T-Cool 250mg Syrup
20,T-Cool 250mg Syrup
21,T-Cool Oral Drops
22,T-Cool Plus DS Oral Suspension
23,T-Ctam Syrup
24,T-Cypo Syrup
25,T-Derv 250mg Tablet
26,T-Dol Injection
27,T-Film 20mg Disintegrating Strip
28,T-Film 20mg Disintegrating Strip
29,T-Fin 250 Tablet
30,T-Fine 250 Tablet
31,T-Flex Tablet
32,T-Ford Eye Drop
33,T-Glimet 1 Tablet SR
34,T-Glimet-P2 Tablet ER
35,T-Glimet-P2 Tablet ER
36,T-Him Depot Injection
37,T-LET-H Tablet
38,T-Let 20 Tablet
39,T-Let 20 Tablet
40,T-Let 40 Tablet
41,T-Let-AM Tablet
42,T-Levo 500mg Tablet
43,T-MINIC COLD SYRUP
44,T-MINIC PLUS TABLET
45,T-MINIC TABLET
46,T-Mart 20mg Tablet
47,T-Mart 40 H Tablet
48,T-Mart 40 H Tablet
49,T-Mart 40 Tablet
50,T-Mart AM Tablet
51,T-Mart R Tablet
52,T-Minic COLD Oral Drops
53,T-Minic Oral Drops Orange
54,T-Minic Plus Syrup
55,T-Minic Syrup
56,T-Muce Ointment
57,T-Muce Ointment
58,T-Mycitin 500mg Capsule
59,T-Mycitin Oral Suspension
60,T-Mycitin Oral Suspension
61,T-NEX 500MG INJECTION
62,T-NIL 500MG TABLET
63,T-NIL 650MG TABLET
64,T-Nil 125 Syrup
65,T-Nil 250 Oral Suspension
66,T-Nil M Oral Suspension
67,T-Nil Oral Drops
68,T-Nil Oral Drops
69,T-Nir Dry Syrup
70,T-Pill 21 Tablet
71,T-Pill 250mg Tablet
72,T-Pill Kit
73,T-Pill Tablet
74,T-Planin 200 Injection
75,T-Planin 400 Injection
76,T-Q Tablet
77,T-R Eye Drop
78,T-R Eye Drop
79,T-Rest 40 Tablet
80,T-Rest 40 Tablet
81,T-Rest-AM Tablet
82,T-Rest-AM Tablet
83,T-Rosu 10 Tablet
84,T-Rosu-F Tablet
85,T-Score Kit
86,T-Sol Soap
87,T-Stat 1000mg Tablet
88,T-Stat 100mg Injection
89,T-Stat 500 Tablet
90,T-Stat MF Tablet
91,T-Telmi 40 Tablet
92,T-Top Forte Ointment
93,T-Top Ointment
94,T-Val CR 300 Tablet
95,T-Val CR 500 Tablet
96,T-Val CR-200 Tablet
97,T-Val CR-200 Tablet
98,T-Vobit 1 Tablet SR
99,T-Vobit 2 Tablet SR
100,T-Vobit 2 Tablet SR
101,T-Vobit VX1 Tablet SR
102,T-Vobit VX2 Tablet SR
103,T-Xime 100mg Tablet
104,T-Xime 100mg Tablet
105,T-Xime 200mg Tablet
106,T-Xime 50mg Dry Syrup
107,T-Xime Plus 200mg/200mg Tablet
108,T-Zest 250 Tablet
109,T-Zest 500 Tablet
110,T-Zole 400mg Tablet
