,items
0,THEMIBUTOL PLUS 300MG/800MG TABLET
1,THEMISYLATE 250MG TABLET
2,THEMISYLATE 500MG TABLET
3,THEMISYLATE 500MG TABLET
4,THERMOL 156.25MG/5ML SYRUP
5,THERMOL 156.25MG/5ML SYRUP
6,THIOACT 4 MG TABLET
7,THIOACT D 8MG CAPSULE
8,THIOFACT 4MG TABLET
9,THIOFACT 8MG TABLET
10,THIOSOL 1 GM INJECTION
11,THIOSOL 500 MG INJECTION
12,THP 2mg Tablet
13,THROMBOPARIN 25000IU INJECTION
14,THROMBOPARIN 5000IU INJECTION
15,THT D 40mg/12.5mg Tablet
16,THYMOGLOBULIN 25 MG INJECTION
17,THYMOLIV 1.6 MG INJECTION
