,items
0,Taap 98 Infusion
1,Tabator 10mg Tablet
2,Tabator 20mg Tablet
3,Tabcare-OF Tablet
4,Tabcip 250mg Tablet
5,Tabcip 250mg Tablet
6,Tabcip 500mg Tablet
7,Tabcip TZ 500mg/600mg Tablet
8,Tabdoz 200 LB Tablet DT
9,Tabdoz Cold Tablet
10,Tabdoz LC 5mg/10mg Tablet
11,Tabdoz MR 250mg/50mg/325mg Tablet
12,Tabdoz Mef 80mg/250mg Tablet
13,Tabdoz NP Tablet
14,Tabdoz NP Tablet
15,Tabdoz-SP Tablet
16,Tabheal SP 100mg/325mg/15mg Tablet
17,Tabi 50mg Tablet
18,Tabi Tablet
19,Tabi Tablet
20,Tabicad 200mg Injection
21,Tabimol MF 500mg/325mg Tablet
22,Tabimol MF Oral Suspension
23,Tabimol MF Plus Oral Suspension
24,Tablin 10mg Tablet
25,Tablo 200mg Tablet
26,Tablo 200mg Tablet
27,Tablo 400mg Tablet
28,Tablo OZ 200 mg/500 mg Tablet
29,Tablo OZ 50mg/5ml/125mg/5ml Suspension
30,Tablox 200mg Tablet
31,Tablox OZ 200mg/500mg Tablet
32,Tablura 40 Tablet
33,Tablura 80mg Tablet
34,Tabmin 80mg Injection
35,Tabmox 250mg Tablet DT
36,Tabmox 500mg Tablet DT
37,Tabo 200mg Tablet
38,Tabocef 100mg Tablet DT
39,Tabocef 200mg Tablet DT
40,Tabocef 200mg Tablet DT
41,Tabocef AZ 200mg/250mg Tablet
42,Tabocef CV 200mg/125mg Tablet
43,Tabocef CV Plus Dry Syrup
44,Tabocef O 200mg/200mg Tablet
45,Tabofex M 10mg/120mg Tablet
46,Taboflox 200mg Tablet
47,Taboflox 400mg Tablet
48,Taboflox OZ 200 mg/500 mg Tablet
49,Tabogab NT 75mg/10mg Tablet
50,Tabomax 200mg/600mg Tablet
51,Tabopan 40mg Injection
52,Tabopan D 10mg/40mg Tablet
53,Tabopan D 10mg/40mg Tablet
54,Tabopan DSR 30mg/40mg Tablet
55,Taborab 20mg Tablet
56,Taborab L 75mg/20mg Capsule
57,Taboran P 100 mg/500 mg Tablet
58,Taborut Tablet
59,Taborut Tablet
60,Taborut-D Tablet
61,Taborut-D Tablet
62,Tabozith 200mg Oral Suspension
63,Tabozith 250mg Tablet
64,Tabozith 500mg Tablet
65,Tabozith 500mg Tablet
66,Tabrol 200mg/40mg Suspension
67,Tabrol 400mg/80mg Tablet
68,Tabrol DS Tablet
69,Tabrol Syrup
70,Tabrosa F Eye Drop
71,Tabrox 150mg Tablet
72,Tabrox 150mg Tablet
73,Tabrox KID 50mg Tablet
74,Tabsuv 500mg Tablet
75,Tabsuv 500mg Tablet
76,Tabutol 1000mg Tablet
77,Tabze 100mg Tablet
78,Tabze 250mg Capsule
79,Tabze 250mg Capsule
80,Tac 20mg Capsule
81,Tac O 4mg/10mg Tablet
82,Tac RD 10mg/20mg Capsule
83,Tacalsis 4mcg Ointment
84,Tacalsis Ointment
85,Tacbest Forte Ointment
86,Tacbest Ointment
87,Tacbest Ointment
88,Taceedo 20 Injection
89,Taceedo 80 Injection
90,Tacehext 1000 mg/125 mg Injection
91,Tacehext 500 mg/62.5 mg Injection
92,Tacet 10mg Tablet
93,Tacet 10mg Tablet
94,Tacgold-DT Tablet
95,Tacgold-DT Tablet
96,Tachosil Large 9.5cm X 4.8cm Patch
97,Tachosil Medium 4.8cm X 4.8cm Patch
98,Tachosil Mini 3.0cm X 2.5cm Patch
99,Tachy-H 0.25mg/10mg Tablet
100,Tachylol 50mg Tablet ER
101,Tachyra 100 Tablet
102,Tachyra 150mg Injection
103,Tachyra 200 Tablet
104,Tacia 20mg Tablet
105,Tacia-M 1000mg Tablet SR
106,Tacia-M 1000mg Tablet SR
107,Tacia-M 500mg Tablet SR
108,Tacimun 1mg Capsule
109,Tacimun 1mg Capsule
110,Tacin 500mg Injection
111,Tacin 500mg Injection
112,Tacip 500mg Tablet
113,Tacip 500mg Tablet
114,Tacip Z 500mg/600mg Tablet
115,Tacit 4mg Tablet
116,Tackel Tablet
117,Tacko M 20mg Tablet
118,Tackodom 10mg/10mg Capsule
119,Tackon 0.03% Ointment
120,Tackon Forte 0.1% Ointment
121,Taclic 0.1% Cream
122,Taclicept 0.5mg Capsule
123,Taclicept 1mg Capsule
124,Tacliment Eye Ointment
125,Tacloran 1 Capsule
126,Tacloran 2mg Tablet
127,Tacloran 5mg Capsule
128,Tacmed Ointment
129,Tacmod Forte Ointment
130,Tacmod Lotion
131,Tacmus 1mg Capsule
132,Tacnomus 0.03% Cream
133,Tacoba 0.03% Ointment
134,Tacoba Forte 0.1% Ointment
135,Tacoba Forte 0.1% Ointment
136,Tacocef O 200mg/200mg Tablet
137,Tacoderm 0.1% Ointment
138,Tacof Cold Oral Drops
139,Tacof Cold Oral Drops
140,Tacof D Syrup
141,Tacof EX Expectorant
142,Tacof P Drop
143,Tacof P Syrup
144,Tacof P Tablet
145,Tacolone 50 Injection
146,Tacomax Forte Ointment
147,Tacomax Ointment
148,Taconaz Lotion
149,Tacopod 200mg Tablet
150,Tacopod 50mg Dry Syrup
151,Tacorav 0.1% Ointment
152,Tacoryza Ointment
153,Tacoryza Ointment
