,items
0,Tgbest 50mg Injection
1,Tgcef 125mg injection
2,Tgcef 1gm injection
3,Tgcef 250mg injection
4,Tgcef 500mg injection
5,Tgcef TZ 1000 mg/125 mg Injection
6,Tgcef TZ 250 mg/31.25 mg Injection
7,Tgclyn 50mg Injection
8,Tgkem 50mg Injection
9,Tgkem 50mg Kit
10,Tgl 20mg Tablet
11,Tgl 20mg Tablet
12,Tgl MF Forte 1000mg/20mg Tablet
13,Tglo 200mg Tablet
14,Tgm 500mg/20mg Tablet SR
15,Tgmet 1gm Tablet SR
16,Tgmet 1gm Tablet SR
17,Tgmet-G 1mg/500mg Capsule
18,Tgmet-P 15mg/500mg Tablet
19,Tgmet-P 30mg/500mg Tablet
20,Tgn 20mg Tablet
