,items
0,Tiako Ointment
1,Tiam 2ml Injection
2,Tiapip 4mg/0.5mg Injection
3,Tiaprex 100mg Tablet
4,Tiaprex 100mg Tablet
5,Tiaprex 25 Tablet
6,Tiaprex 50mg Tablet
7,Tiaptin 12.5mg Tablet
8,Tiare 90mg Tablet
9,Tiate 18mcg Transcaps
10,Tiate 9mcg Transcaps
11,Tiate Transhaler
12,Tiban M 20/1000mg  Tablet ER
13,Tiban M 20/500mg Tablet ER
14,Tiban Tablet
15,Tibikit Plus 450 mg/300 mg Tablet
16,Tibikit Plus 450 mg/300 mg Tablet
17,Tibikit Tablet
18,Tibirif INH 450mg/300mg Tablet
19,Tibitol 800mg Tablet
20,Tibizim 750mg Tablet
21,Tibizim 750mg Tablet
22,Tibizim Forte Tablet
23,Tibofem Tablet
24,Tibomax 2.5mg Tablet
25,Tibrif 150mg Tablet
26,Tibrif 150mg Tablet
27,Tibrolin D  Tablet
28,Tibrolin Tablet
29,Tibrozen Tablet
30,Tibs 6mg Tablet
31,Tibs 6mg Tablet
32,Tic Bact 4000mg/500mg Injection
33,Tic Tac 0.1% Ointment
34,Ticabest Tablet
35,Ticabid 60mg Tablet
36,Ticabid Tablet
37,Ticacip 60 Tablet
38,Ticacip 90mg Tablet
39,Ticaflo 90mg Tablet
40,Ticagat Tablet
41,Ticagold Tablet
42,Ticalclav 3000mg/100mg Injection
43,Ticamist 50mcg Nasal Spray
44,Ticantrol 3000mg/100mg Injection
45,Ticaplat 60mg Tablet
46,Ticaplat 90mg Tablet
47,Ticar C 3000mg/100mg Injection
48,Ticarnate 3.1gm Injection
49,Ticarnic  3.1 Injection
50,Ticarnip 3000mg/1000mg Injection
51,Ticarset 3000mg/100mg Injection
52,Ticarvib Injection
53,Ticarwin CV 3000mg/100mg Injection
54,Ticasave 60mg Tablet
55,Ticasave Plus Tablet
56,Ticasave Tablet
57,Ticaspan 60 Tablet
58,Ticaspan Tablet
59,Ticavic 60 Tablet
