,items
0,Tmatecad 100mg Tablet
1,Tmatecad 50mg Tablet
2,Tmc 0.3% Eye Drop
3,Tmd 100mg Injection
4,Tmd 100mg Injection
5,Tmd 50mg Injection
6,Tmel Tablet
7,Tmide Eye Drop
8,Tmine 100mg Tablet
9,Tmp 300mg Tablet
10,Tmr 40mg Tablet
11,Tmr 80mg Tablet
12,Tmr H 40mg/12.5mg Tablet
13,Tmsartan 20mg Tablet
14,Tmsartan 40mg Tablet
15,Tmston A 40mg/5mg Tablet
16,Tmston H 40mg/12.5mg Tablet
17,Tmt 20mg Tablet
18,Tmt 40mg Tablet
19,Tmt 500 mg/250 mg Tablet
20,Tmx 500mg Capsule
21,Tmx Clav 500mg/125mg Tablet
22,Tmx Clav Syrup
23,Tmx DS 250mg Tablet
