,items
0,Tra M 500mg/250mg Tablet
1,Tra-MF 500mg/250mg Tablet
2,Traal P 37.5mg/325mg Tablet
3,Trabec 1mg Solution for Infusion
4,Trabest 325mg/37.5mg Tablet
5,Trabifin 250mg Tablet
6,Trabzid 20mg Tablet
7,Trabzid D 10mg/20mg Tablet
8,Trabzid IT 20mg/150mg Tablet
9,Trabzid IV Injection
10,Trabzid-AX Capsule SR
11,Trabzid-AX Capsule SR
12,Trabzid-XL Capsule SR
13,Trac 3 450 mg/300 mg/800 mg Tablet
14,Trac 4 Tablet
15,Trac Eye Drop
16,Trace 500mg Tablet
17,Trace Plus 100mg/5000IU Tablet
18,Tracemol 650 Tablet
19,Tracemol MF 250mg/325mg Tablet
20,Tracemol MF Oral Suspension
21,Tracemol-SP Tablet
22,Tracepar-MR Tablet
23,Tracepar-P Tablet
24,Tracepar-SP Tablet
25,Tracepar-T Tablet
26,Tracet 325 mg/37.5 mg Tablet
27,Traceta 325 mg/37.5 mg Tablet
28,Trachol Eye Drop
29,Tracica 1000mg/1000IU Tablet
30,Tracin 500mg Injection
31,Tracin-P 37.5mg/325mg Tablet
32,Track D 80mg/250mg/250mg Tablet
33,Traclot 500mg Tablet
34,Traclot 500mg Tablet
35,Traco Gold 100mg Capsule
36,Traco Gold 200mg Capsule
37,Traco Gold Dusting Powder
38,Tracomol-NT Tablet
39,Tracon 100 Capsule
40,Tracon 200mg Capsule
41,Tracon 200mg Capsule
42,Tracoset 50mg Capsule
43,Tracoset 50mg Capsule
44,Tracoz 200mg Capsule
45,Tracrium 25mg/ml Injection
46,Tract 200mg Tablet
47,Tractadol Injection
48,Traczo 1000mg Injection
49,Traczo 100mg Tablet
50,Traczo 200mg Tablet
51,Traczo S 1000mg/500mg Injection
52,Traczole 100mg Capsule
53,Tradgaba M 750mcg/75mg Capsule
54,Tradigut 400 Tablet
55,Tradium Syrup
56,Tradnerv 1500mcg Injection
57,Tradnerv C Injection
58,Tradnerv Forte Injection
59,Tradnerv Forte Injection
60,Tradnerv N 75mg/10mg/1500mcg Tablet
61,Tradnerv P 750mcg/75mg Capsule
62,Tradnerv P 750mcg/75mg Capsule
63,Trado 325mg/37.5mg Tablet
64,Trado 325mg/37.5mg Tablet
65,Tradol 50mg Injection
66,Tradol Plus 37.5mg/500mg Tablet
67,Tradxone 1000mg Injection
68,Tradxone 500mg Injection
69,Tradxone S 1000mg/500mg Injection
70,Tradxone S 250mg/125mg Injection
71,Tradxone TZ 1000mg/125mg Injection
72,Trafen Tablet
73,Trafen Tablet
74,Trafix 100mg Injection
75,Trafix 50mg Injection
76,Trafix MF 500 mg/250 mg Tablet
77,Trafix P 325mg/37.5mg Tablet
78,Trafna 500mg/250mg Tablet
79,Trafna 500mg/250mg Tablet
80,Trafnic 500 mg/250 mg Tablet
81,Tragbal 100mg Injection
82,Tragbal 100mg Injection
83,Tragbal 200mg Injection
84,Tragen MF Tablet
85,Tragesic 50mg Capsule
86,Tragesic 50mg Injection
87,Tragesic P 37.5mg/325mg Tablet
88,Trago 50mg Injection
89,Tragon 100mg Tablet
90,Tragon 25mg Tablet
91,Tragon 50mg Tablet
92,Tragon Injection
93,Tragon Injection
94,Trahaspore L 1% Cream
95,Trait 10mg/1mg Tablet
96,Traizu 1000mg Injection
97,Traizu TZ 1000mg/125mg Injection
98,Trajenta 5mg Tablet
99,Trajenta Duo 2.5mg/1000mg Tablet
100,Trajenta Duo 2.5mg/500mg Tablet
101,Trajenta Duo 2.5mg/850mg Tablet
102,Trajone 1000mg Injection
103,Trajone 1000mg Injection
104,Trajone 250mg Injection
105,Trajone SB 250mg/125mg Injection
106,Trajone Taz 1000mg/125mg Injection
107,Trajone Taz 1000mg/125mg Injection
108,Trajone Taz 250mg/31.25mg Injection
109,Traketo 1% Soap
110,Traketo 1% Soap
111,Traketo Shampoo
112,Trakinz-P Tablet
113,Trakip MF 500mg/250mg Tablet
114,Trakip MF 500mg/250mg Tablet
115,Traklot MF 500 mg/250 mg Tablet
116,Trakonax MF 500mg/250mg Tablet
117,Tralate 500mg Injection
118,Tralate Tablet
119,Traldo 50mg Injection
120,Traldo 50mg Injection
