,items
0,U Bet Injection
1,U Cef 1500mg Injection
2,U Ceff 250mg Injection
3,U Clav 1000mg/200mg Injection
4,U Clov 1000mg/200mg Injection
5,U Cox 120mg Tablet
6,U Cox 90mg Tablet
7,U Cox MR 60mg/4mg Tablet
8,U Cox P 60mg/325mg Tablet
9,U Dic 300mg Tablet
10,U Ease 40mg Tablet
11,U Fix 200mg Tablet
12,U Fix O 200mg/200mg Tablet
13,U Fixim 200mg Tablet
14,U Frag 250000IU Injection
15,U Frag 500000IU Injection
16,U Frag 5000IU Injection
17,U Frag 750000IU Injection
18,U Hawk 250mg Tablet
19,U Hawk 500mg Tablet
20,U Hawk 500mg Tablet
21,U Life 1000mg Injection
22,U Life 250mg Injection
23,U Life 500mg Injection
24,U Line 100mg/200mg Softgel Capsule
25,U Mom 50mg/600mg Tablet
26,U Rab 20mg Tablet
27,U Rab DSR 30mg/20mg Capsule
28,U Rom 500mg Tablet
29,U Spas Tablet
30,U Too Tablet
31,U Tor 10mg Tablet
32,U Tryp 100000IU Injection
